resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,,,,,,,
Job Details,,,checklist,,,Job Details,,,,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,Site QA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,Rough In,,,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,,BASEMENT 1,,,,,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-B1.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-B1.3,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-B1.4,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-B1.5,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-B1.6,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-B1-2,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,CPEF-B.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,PSF-B1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,PEF-B1,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,,GROUND FLOOR,,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.1,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.2,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.3,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.4,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.5,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.6,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.7,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.8,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.9,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.10,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.11,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.12,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.13,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.14,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FCU-G.15,,,,,,,,,,,,,,,,,,,,,,
Wall Closure 1 Rough In [A],Ceiling Closure 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,ERV-G.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,CPSF-G.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,CPSF-G.2,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,CPSF-G.3,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,OAF-G.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,OAF-G.2,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-G.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,TEF-G.1,,,,,,,,,,,,,,,,,,,,,,
Duct Installation [C],Sign Off,,folder-with-checklists,,,,,,SAF-G.3,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,,BUILDING A,,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,,,Ground Level,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,,,,Apartment Wall Closure,,,,,,,,,,,,,,,,,,,,,
