"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"15b66d85-b2a7-4579-81e1-cddf0b290d3d","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"ef52f75a-e08a-4de7-a0ba-7d9f7252aaae","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"4175bfdb-1597-4c8a-bea7-dde7ade138b1","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"a079a84b-0702-4c2d-96f8-ca14a137319d","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"116b5bd6-44e3-4db8-a717-c6978d74ae61","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"11d71dcc-6a71-4618-9a99-137f01446010","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"375c8726-3323-4d69-9cc9-fff08928a1f4","","folder-normal","pass","","step","TRUE","FALSE"," QA"
"871dca51-8b02-413c-b4a9-852fa1bab6ff","","folder-normal","pass","","step","TRUE","FALSE"," QA","12no RoofSafe Cable Systems"
"5baf3ea4-d8f3-4898-b7a5-e2c0a1b1dc1f","","folder-normal","pass","","step","TRUE","FALSE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01"
"9a727234-643a-4b91-a2ee-982b25cdc260","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Pre-Fit Off Checklist - Line 01"
"51eceb53-2911-4258-9957-0dd1de941998","","checkpoint-status","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Confirm structure is in accordance to the details provided"
"c4c517ee-3b8e-4a92-a896-dc2df2ce40a5","","holdpoint","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Pre-Fit Off Checklist - Line 01","EMAIL PM"
"08d34aa7-ad9d-4d6c-b4b2-1ba2495f86f5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Plinths/ bases/post installed in accordance with details provided"
"3244d65b-2543-410a-9fdc-d363540fe5b4","","checkpoint-status","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Photos taken"
"eca08e1b-2c93-4713-8ab9-d3f104811670","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Fit Off Checklist - Line 01"
"9a2cd3d9-d883-4b1a-8ce5-6881c47d4ebb","","checkpoint-status","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"5f5832df-2076-4cde-bfe7-34421953a426","","holdpoint","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"1faf0fc6-ccde-4e5c-ac75-c018661b92b7","","checkpoint-status","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test and swages"
"b8d50389-f192-47ba-9f80-ccdf52490c0d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"8701ab7f-5bfe-4804-8b90-4cd44763a66a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","12no RoofSafe Cable Systems","Roofsafe Cable Line 01","Fit Off Checklist - Line 01","Video taken of system"
