QUALITY MANAGEMENT SYSTEM  ,,,,,,,,
INSPECTION and TEST PLAN - CHECKLIST,,,,,,,,
MECH,,,,,,,,
Contract:,Bourke Street Zetland,Lot No.:,,,,Lot Opened:,,
Client:,Binah ,Location:,,,,Lot Closed:,,
Checklist Ref.:,ITP-J282,,,,,Signed (HB):,,
Comments:,,"(Delays/Disruption,Improvements,Other)",,,,No. of Pages:,,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
No.,Process,Spec/Std/Dwg,Acceptance Criteria,Pass,Fail,CAR Ref:,Initial(ITP),Date
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
#REF!,#REF!,#REF!,#REF!,,,,,
Note: Ensure all Test Certificates are attached to the ITP,,,,,,,,
,,,,,,,,
