"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b8685f91-063e-4ed3-b65a-6f044df37d82","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"9251b7ac-796e-4183-b45a-a79cf3443a7f","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"eca9fb07-85f4-45cc-a587-9706d45a422c","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"939a3f11-a457-49fa-b1ea-c2cea7a40812","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"82622567-33f8-4b6c-ac1e-3d062c31d103","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"100bf9a1-2ccc-4a15-8e9e-88d6a459737b","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"298d32e8-3603-4748-b2a2-d23576a8e859","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"19ed13a1-35d3-40b2-b53d-37f306e69561","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs"
"875c23d6-753c-47c3-8155-4e219232ce89","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System "
"3ad84ea0-9ed0-430c-9f9e-b96df4b6bb3c","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 "
"c15779f4-e79d-4857-a2eb-df1bcf65714e","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Pre-Fit Off Checklist - UNRail 01"
"7729a603-4849-4489-8743-72c54b21f01c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Pre-Fit Off Checklist - UNRail 01","Confirm structure is in accordance to the details provided"
"8d3cff69-26a9-4cb8-bdb0-5501e2cb1f7f","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Pre-Fit Off Checklist - UNRail 01","EMAIL PM"
"08a8d11b-78bf-48a8-afc8-520bcb466169","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Pre-Fit Off Checklist - UNRail 01","Plinths/ bases/post installed in accordance with details provided"
"90f63360-08dc-47c0-8254-956d0b694adb","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Pre-Fit Off Checklist - UNRail 01","Photos taken"
"0c221c4e-ab59-4992-814e-53be9bca2662","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Rail Checklist 01"
"b49fdbae-320b-4b25-a7c2-7cfb0eb35819","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Rail Checklist 01","Confirm the structure is in accordance with the details supplied by PBI"
"a8951fe3-1768-47e6-a202-3d6060d57178","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Rail Checklist 01","EMAIL PM"
"c7b15328-68c6-4a4f-808f-d641d7ce6a6b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Rail Checklist 01","Photo taken of Engraved Line Plate / ID Tag"
"e81f39fc-bfee-42af-9ad1-67b2b9b35774","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Rail Checklist 01","Video taken of system"
