"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cd89ac53-6e40-44ad-b6ad-e315c54a4b93","","folder-normal","work-in-progress","","step","TRUE","FALSE","Barriers"
"7aa448e8-c9a1-4e44-a1b5-76fea4417149","","folder-normal","pass","","step","TRUE","FALSE","Barriers","TL5"
"40d569c6-c4c3-44af-adab-f4ad96bad8e8","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Barriers","TL5","TL5-01 09/10"
"3bc473ff-3c8e-5ebd-9efc-a6c54f49be93","","checkpoint-group","no-status-not-started","Panel Checklist V2:03ab3306-cb78-40ae-aa66-58f8bb637253","","FALSE","FALSE","Barriers","TL5","TL5-01 09/10","Info"
"7ef991c1-1fb5-58a8-994a-458671537309","","checkpoint-no-status","no-status-not-started","Panel Checklist V2:03ab3306-cb78-40ae-aa66-58f8bb637253:f59d3f80-2684-4d50-9058-80d7314424b1","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Info","Information Complete"
"40083b47-b9fe-50cd-9523-f6cc4017fc33","","checkpoint-group","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd","","FALSE","FALSE","Barriers","TL5","TL5-01 09/10","Prepour"
"03bef765-10cb-59ab-99fb-ffb9d13bbaa1","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:28a8a1dc-45ee-4748-9c59-5c3dcc5b578d","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Length/Width/Thickness/Cutouts"
"6eaa2c46-afcc-50d7-b7c7-a8d57f17fe6b","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:2c79e9c3-a653-4d5c-b152-6874f7bc9a52","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Square"
"20594d58-db94-585c-a16f-a1d756895283","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:ee15a31b-43cd-4056-ba45-3eb0919d96cd","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Edge Details & Rebates"
"74f526fd-4d05-57eb-890e-575d86c70c11","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:77c422cf-c054-4172-ad04-3d03bdd83d29","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Cast in items (Inserts, Weldplates)"
"070c94c3-dad0-5d3c-963f-8de64a187e10","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:89398b3c-6838-4f40-81f3-7fd9be775d98","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Main Reinforcing"
"1e5fc977-2f42-57b9-81b6-f09e08ad9b48","","checkpoint-status","not-applicable","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:3bd20473-bc8e-4c36-9bb6-2b31562cab6a","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Starters"
"4ab15e44-dd41-5c46-9ce4-721439b161de","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:36de0294-ef77-4245-84b1-f113b4936977","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Stirrups"
"387413c8-8015-5e3e-8e8d-b240be3ecf8a","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:1fbdf7e7-8a2a-4c05-85df-4ef77992bad3","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Lifters"
"519e4242-2192-5803-8f9a-ecebf930b1a6","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:61758461-5a81-411f-96e3-797aa6a42433","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Mould Cleaned & Oiled"
"132ebfc7-2353-5911-98ff-4c71a5f863b5","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:44d557d2-53df-4300-b8c9-3b4098d2c57f","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Tie wire Trimmed"
"9e552ed4-bfd5-5f53-8d50-fa6fd51d1870","","checkpoint-status","not-applicable","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:35a9c520-5bb3-4637-848a-e47afe54d779","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Rugasol"
"68473074-2619-5eb9-b407-9cfeb04314ea","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:3fdaeaad-e45c-435f-b06c-b8b4ea6ffd88","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Prepour","Drawings & General Photos"
"edd3445f-d975-5f0f-8975-6493e74f35bc","","checkpoint-group","pass","Panel Checklist V2:26fa92a6-ae9a-4a61-b389-04796f6fe40f","","FALSE","FALSE","Barriers","TL5","TL5-01 09/10","Concrete"
"070164e7-68be-5f86-9887-862c47e1be1b","","checkpoint-status","not-applicable","Panel Checklist V2:26fa92a6-ae9a-4a61-b389-04796f6fe40f:5e704cf8-1cf7-4a38-978f-891086c8c405","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Concrete","Concrete results obtained"
"d9d39a54-5493-52a4-840c-045c2a902683","","checkpoint-status","pass","Panel Checklist V2:26fa92a6-ae9a-4a61-b389-04796f6fe40f:7232495b-a5ea-4e89-8a8f-d854ab307594","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Concrete","Concrete Docket Attached (photo)"
"09192f5c-61e3-506b-8452-34c6ed86875c","","checkpoint-group","pass","Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b","","FALSE","FALSE","Barriers","TL5","TL5-01 09/10","Post Pour"
"77ab0598-7bc5-563f-9fd6-6955edab159b","","checkpoint-status","pass","Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:92443ca4-b573-47f1-8202-d9764c53b07e","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Post Pour","Post pour Complete"
"be090170-3234-5f7d-bfd7-08d7f6f31632","","checkpoint-status","not-applicable","Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:f31c3832-ed41-4506-ab2a-1f9aa767341f","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Post Pour","Remedial Required"
"490b180c-0b94-5a8f-b224-4b5dd2b5497e","","checkpoint-status","pass","Panel Checklist V2:31d280f0-0278-4d20-90af-238003bd4d0b:84c50dfb-fdcb-4415-a1ba-72835ae16944","","TRUE","TRUE","Barriers","TL5","TL5-01 09/10","Post Pour","Mould Face Finish"
