"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27ee9fee-b299-4a24-a658-b61604603e9f","","folder-normal","","","step","TRUE","FALSE","Below Ground"
"c7f8442c-6c07-4001-97bb-48882a602ef2","","folder-normal","","","step","TRUE","FALSE","Below Ground","Site/Early Works"
"bd2a7657-8525-48ac-b936-f93f32822148","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Document Upload"
"588dec42-855f-46a5-9185-0c459c4c7335","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Below Ground Sewer Drainage"
"089cd6d3-a335-4cc9-a09d-a67d8a656aa3","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Cold Water"
"4065cd66-543e-4f92-bff8-076825af82c0","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Site/Early Works","Fire Service Inground"
"d247f892-2d4b-4b70-8787-448925794c79","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 1"
"4e6e568c-fc43-4d9e-9d2a-238f0ea57e3a","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Zone Plan Upload"
"39c125d8-8e45-424f-a7f2-5fd1ae4565fa","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Below Ground Sewer Drainage"
"ecefdb2b-d681-4b6e-ad9e-2ce536d63632","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Cold Water"
"fb253eb1-2d17-4598-8e93-296256f0df8b","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Sanitary Waste & Vents"
"618eec8d-c9aa-4b89-bd71-7d47f8224871","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Stormwater Below Ground"
"c1565486-b118-4c53-ba6a-e1408db0d993","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 1","Penetrations"
"cdeaafd4-e3a7-4aee-a3d6-b50157d11130","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 2"
"fc82d6c7-eb04-449c-bf1f-8afe0fa4ddde","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Document Upload"
"3a43468e-50fd-4a18-a698-d32fa24aefb5","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Below Ground Sewer Drainage"
"f28e0314-6529-4977-8554-03768dc3c810","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Cold Water"
"e80d7edc-c336-4cce-8b1c-ed7a463301ed","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Stormwater Below Ground"
"ca3d654e-5db6-440f-aa20-05513fb6d0b7","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 2","Penetrations"
"3147dd33-fee3-468d-a42b-aa8c2e3ba8c3","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 3"
"1d726641-271e-4e61-8534-437cbecb00a5","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Document Upload"
"9d77b2f3-e43d-47e0-a320-2ec27c885ebe","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Below Ground Sewer Drainage"
"cab72d9f-dabb-4555-808d-5e77cf76ad36","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Cold Water"
"47cf8755-5d43-480b-9aff-d5f4a10d03fd","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Stormwater Below Ground"
"7771f0e3-a772-429b-91d0-6e26ce55d8d4","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 3","Penetrations"
"7ac87083-c8a8-456c-b3f4-56cce6335974","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 4"
"36920549-abdd-47f3-910b-ad6da58365dc","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Document Upload"
"3d989c2a-46de-4be2-8215-3791b6a739a4","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Below Ground Sewer Drainage"
"65d1db6d-d00a-4def-abcd-d4a97e7f9e16","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Cold Water"
"c54756ba-eef4-4e94-884e-f52d76a25a61","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Stormwater Below Ground"
"9a6c1cca-677a-499c-869c-925688c4546e","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 4","Penetrations"
"d08ebe04-e109-4495-984f-c60e2514e8f2","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 5"
"c6678dbe-1d51-4cef-8fd5-6ff79d96a88f","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Document Upload"
"236f6aef-eb2d-4812-8af0-a67ebdfd5887","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Below Ground Sewer Drainage"
"67edc8a1-1832-43f2-ae21-c8bffb2cc077","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Cold Water"
"1a9d36d5-0695-4dc6-8c3d-6ea0da0b4a9e","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Stormwater Below Ground"
"7f1d612b-780a-47cf-b3b0-c5d9bc27db06","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 5","Penetrations"
"df1690cd-ea5b-4c86-8acf-7385df8d8464","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 6"
"61d8930c-5deb-48ae-97a2-a08ea1b9713c","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Document Upload"
"a9049a4e-7175-4262-b328-f7cd8d960c67","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Below Ground Sewer Drainage"
"5397562f-5bf4-43ba-b15a-d970e8e79d1b","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Cold Water"
"6e5dcd3d-8809-439d-8d19-b9c3cd6bd40c","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Stormwater Below Ground"
"d5803780-c13e-4f97-b8a5-3f91f98e5a63","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 6","Penetrations"
"d06d6ba9-e10d-4fec-a28c-e312d3e91eb9","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 7"
"7f43e92e-a4c5-4128-8bfb-d7ce6b0b017f","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Document Upload"
"b08dd182-3e76-4b57-a6a9-a24048ce1975","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Below Ground Sewer Drainage"
"2cbd0865-035e-40af-8835-89a5b3e46c9a","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Cold Water"
"e625f898-cd04-4bb9-b9fc-8b89bd7c0a7f","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Stormwater Below Ground"
"a6fe692c-28c0-4674-a5ed-9d02dfff82ff","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 7","Penetrations"
"9b32f379-bb5a-4b59-8217-0a33c774a787","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 8"
"2869401e-7f16-4cb6-b2b0-53b344b676d3","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Document Upload"
"d5d0a5c7-d2cc-417b-8edc-583fdd38cd08","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Below Ground Sewer Drainage"
"a0c5fcce-7f3b-41d4-8d9b-fec84d77c6b2","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Cold Water"
"668ef250-08c2-4d7c-a276-32dccbcec425","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Stormwater Below Ground"
"3eeaf007-2f6a-4686-b909-8ec4628272d2","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 8","Penetrations"
"26aa670e-2a14-4223-abe5-5f16b42bf29a","","folder-normal","","","step","TRUE","FALSE","Below Ground","Zone 9"
"6291fe19-7d36-4bf4-9d94-275b28ac6d3c","","checklist-flat","","Document Attachment Checklist","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Document Upload"
"51aeeba2-fcbc-4b37-99fc-46e35476cb4f","","checklist-flat","","Below Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Below Ground Sewer Drainage"
"6432946a-4c2b-4f76-a928-5dc0baecd36e","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Cold Water"
"f751a88d-aa81-43f8-ba15-9531fb711c91","","checklist-flat","","Stormwater Below Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Stormwater Below Ground"
"45baa22e-fcbd-4d6c-9123-9bfa1fe17ebe","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Below Ground","Zone 9","Penetrations"
"2f3122d2-37e9-4946-a309-749576623bf3","","folder-normal","","","step","TRUE","FALSE","Ground Floor"
"50d7540e-496f-4089-9487-92bceb781057","","folder-normal","","","step","TRUE","FALSE","Ground Floor","Zone 1"
"621bb3dc-bc3e-4239-829b-0d178a4e2d4f","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Above Ground Sewer Drainage"
"a424fd53-c1dd-4de4-8936-3e3d10e4d6b5","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Cold Water"
"534a0e71-b6e6-420d-bea8-dd2936a0a467","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Hot Water"
"964bb9b4-1b17-4f67-a3b7-069313cbe33d","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Sanitary Waste & Vents"
"64ec8cbd-fe66-42a8-9d37-d28300294eb6","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Sanitary Fixture"
"db6a1aba-d123-4b52-96f3-24b47e2d41c3","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Stormwater Above Ground"
"ed405d34-45ad-4ca4-9fcc-5f74ba403946","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Downpipe Installation"
"67830338-3048-4274-8cbe-4eedfa8c5360","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Recycled Water"
"1247b35b-18f7-40f8-b0c6-46c8a3bafe38","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Penetrations"
