"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5220acec-7563-469c-8961-38583c20c270","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"5d74c054-5c54-46a4-b4be-ff0bdf27f3ee","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 2"
"c7ccbc21-c102-4325-8da4-6a097e50f43c","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","201"
"99616112-9c5e-4ad2-8c9c-cefa1f9f61db","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","202"
"4c19b387-ad26-477d-afed-8dd11779936d","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","204"
"141241e2-6119-4593-837f-02b5decf2d67","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","205"
"17d41aca-ae53-4696-9af5-29ba7bd3b539","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","206"
"5e5429aa-1a09-4e8a-b00b-d4615569c513","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","207"
"7dedd20e-1ce3-4da2-92a5-3cbb8ac795a3","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","208"
"a6787057-f989-45dc-a831-d32acf541fef","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","209"
"3abb3ae2-9088-4ab5-8205-487df1af17a9","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","210"
"612ad06d-aa3b-419b-a2be-4d9f54e269a1","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","211"
"92dbf3b5-fd12-4893-9c28-64f159544b48","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","212"
"0b9455c0-f129-413c-ac1a-f0daa631c932","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","213"
"031a307d-f065-4f7a-ab46-3d703690263b","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","214"
"15fd1a4f-1805-47ba-b0a4-f7cf551fedf3","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","215"
"d799f52d-021d-4a6d-8d39-b32eff22db7f","","checklist-sectioned","work-in-progress","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","216"
"8302a6ab-d0fc-4b7b-ac58-032ac9fd884d","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","217"
"f41ed8d6-6c83-4aac-a189-0dfda180a935","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","218"
"1bbcf418-6265-4e3c-b8e9-d872d07ae2d8","","checklist-sectioned","not-started","Z - SYS - Grouting Checkist (old version)","checklist","FALSE","FALSE","Site QA","Level 2","219"
"5fe9ddf4-9f87-4c7d-a515-bd3b78ffe6fb","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 2","Level Signoff"
"7e796fb3-33ee-4564-929b-86ede841394a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"f8ceb3f2-1f57-4cc4-83c3-3331d89b7593","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","301"
"b9f45005-0ee3-43d6-b7bd-78b1b971855e","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","302"
"d383529b-249a-41e3-82f3-739328cccf79","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","304"
"49a19f9a-2c38-4655-83ab-6f0a424e970d","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","305"
"bd8bb37b-ba4d-45d3-a01e-c658186953a7","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","306"
"130081c9-2b1e-43d1-a5f4-7b4f92e26a65","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","307"
