"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"N17 - Offsite QA (Factory) - Apartment Overview"
,"Scope",,
,"Rows"
,,"N17 - Ground Floor","grouping","ground floor","n17","apartments"
,,"GRD-01","expanded","ground floor","grd-01-a-tb-r(n17-gf-01-r-m1b)","n17","apartments"
,,"GRD-02","expanded","ground floor","grd-02-m-te1-l(n17-gf-02-l-m1e1, m2e1, m3e1)","n17","apartments"
,,"GRD-03","expanded","ground floor","grd-03-m-te1-l(n17-gf-03-l-m1e1, m2e1, m3e1)","n17","apartments"
,,"GRD-04","expanded","grd-04-m-te2-l(n17-gf-04-l-m1e2, m2e2, m3e2)","ground floor","n17","apartments"
,,"GRD-05","expanded","ground floor","n17","grd-05-m-te1-r(n17-gf-05-r-m1e1, m2e1, m3e1)","apartments"
,,"GRD-06","expanded","ground floor","n17","grd-06-m-te1-r(n17-gf-06-l-m1e1, m2e1, m3e1)","apartments"
,,"GRD-07","expanded","ground floor","grd-07-m-tf-r(n17-gf-07-r-m1f, m2f, m3f)","n17","apartments"
,,"GRD-08","expanded","ground floor","grd-08-m-te1-l(n17-gf-08-l-m1e1, m2e1, m3e1)","n17","apartments"
,,"GRD-09","expanded","ground floor","grd-09-m-te1-l(n17-gf-09-l-m1e1, m2e1, m3e1)","n17","apartments"
,,"GRD-10","expanded","ground floor","n17","grd-10-m-te1-l(n17-gf-10-l-m1e1, m2e1, m3e1)","apartments"
,,"GRD-11","expanded","ground floor","grd-11-m-tk-r(n17-gf-11-r-m1k, m2k)","n17","apartments"
,,"GRD-12","expanded","ground floor","n17","grd-12-a-tb-l(n17-gf-12-l-m1b)","apartments"
,,"GF-L-S2ST","expanded","ground floor","n17","apartments","n17-gf-l-s2st & n17-gf-r-s1st"
,,"N17 - 1st Floor","grouping","1st floor","n17","apartments"
,,"L1-01","expanded","1st floor","n17","apartments","l1-01-a-tb-r(n17-l1-01-r-m1b)"
,,"L1-02","expanded","1st floor","n17","l1-02-m-tc-l(n17-l1-02-l-m1c, m2c, m3c)","apartments"
,,"L1-03","expanded","1st floor","l1-03-m-tc-l(n17-l1-03-l-m1c, m2c, m3c)","n17","apartments"
,,"L1-04","expanded","1st floor","l1-04-m-te2-l(n17-l1-04-l-m1e2, m2e2, m3e2)","n17","apartments"
,,"L1-05","expanded","1st floor","l1-05-m-te1-r(n17-l1-05-r-m1e1, m2e1, m3e1)","n17","apartments"
,,"L1-06","expanded","1st floor","n17","l1-06-m-te1-r(n17-l1-06-r-m1e1, m2e1, m3e1)","apartments"
,,"L1-07","expanded","1st floor","l1-07-m-tf-r(n17-l1-07-r-m1f, m2f, m3f)","n17","apartments"
,,"L1-08","expanded","1st floor","n17","l1-08-m-tg-r(n17-l1-08-r-m1g, m2g, m3g)","apartments"
,,"L1-09","expanded","1st floor","l1-09-m-te1-l(n17-l1-09-l-m1e1, m2e1, m3e1)","n17","apartments"
,,"L1-10","expanded","1st floor","l1-10-m-tg-l(n17-l1-10-l-m1g, m2g, m3g)","n17","apartments"
,,"L1-11","expanded","1st floor","l1-11-a-tc-l(n17-l1-11-l-m1c, m2c, m3c)","n17","apartments"
,,"L1-12","expanded","1st floor","n17","l1-12-a-tc-l(n17-l1-12-l-m1c, m2c, m3c)","apartments"
,,"L1-13","expanded","1st floor","l1-13-a-tc-l(n17-l1-13-l-m1c, m2c, m3c)","n17","apartments"
,,"L1-14","expanded","1st floor","l1-14-a-tk-r(n17-l1-14-r-m1k, m2k)","n17","apartments"
,,"L1-15","expanded","1st floor","n17","l1-15-a-tb-l(n17-l1-15-l-m1b)","apartments"
,,"L1-L-S2ST","expanded","1st floor","n17","n17-l1-l-s2st & n17-l1-r-s1st","apartments"
,,"N17 - 2nd Floor","grouping","n17","2nd floor","apartments"
,,"L2-01","expanded","l2-01-a-tb-r(n17-l2-01-r-m1b)","n17","2nd floor","apartments"
,,"L2-02","expanded","l2-02-a-tc-l(n17-l2-02-l-m1c, m2c, m3c)","n17","2nd floor","apartments"
,,"L2-03","expanded","l2-03-a-tc-l(n17-l2-03-l-m1c, m2c, m3c)","n17","2nd floor","apartments"
,,"L2-04","expanded","l2-04-m-te2-l(n17-l2-04-l-m1e2, m2e2, m3e2)","n17","2nd floor","apartments"
,,"L2-05","expanded","l2-05-m-te1-r(n17-l2-05-r-m1e1, m2e1, m3e1)","n17","2nd floor","apartments"
,,"L2-06","expanded","l2-06-m-te1-r(n17-l2-06-r-m1e1, m2e1, m3e1)","n17","2nd floor","apartments"
,,"L2-07","expanded","l2-07-m-tf-r(n17-l2-07-r-m1f, m2f, m3f)","n17","2nd floor","apartments"
,,"L2-08","expanded","l2-08-m-tg-r(n17-l2-08-r-m1g, m2g, m3g)","n17","2nd floor","apartments"
,,"L2-09","expanded","l2-09-m-te1-l(n17-l2-09-l-m1e1, m2e1, m3e1)","n17","2nd floor","apartments"
,,"L2-10","expanded","n17","2nd floor","l2-10-m-tg-l(n17-l2-10-l-m1g, m2g, m3g)","apartments"
,,"L2-11","expanded","l2-11-a-tc-l(n17-l2-11-l-m1c, m2c, m3c)","n17","2nd floor","apartments"
,,"L2-12","expanded","l2-12-a-tc-l(n17-l2-12-l-m1c, m2c, m3c)","n17","2nd floor","apartments"
