"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2e35dcfc-ecd4-4096-8515-433ed3778257","","work-in-progress","","folder","TRUE","FALSE","Zone 1"
"884df446-af4c-4ca4-803a-109f296a7abc","","work-in-progress","QA - Brickwork Level 0","checklist","FALSE","FALSE","Zone 1","Level 0"
"492b6540-58de-4d8d-ab62-c2aaeb7f743f","","work-in-progress","QA - Brickwork Level 2","checklist","FALSE","FALSE","Zone 1","Level 1"
"00d0fa2e-ae09-46c6-b5af-c6dbd91b75ad","","work-in-progress","","folder","TRUE","FALSE","Zone 2"
"7154154c-f8e2-4f31-8a2b-16025aebf922","","work-in-progress","QA - Brickwork Level 0","checklist","FALSE","FALSE","Zone 2","Level 0"
"e1814d3c-ed72-4ac3-a533-03cbe2438de2","","work-in-progress","QA - Brickwork Level 2","checklist","FALSE","FALSE","Zone 2","Level 1"
"1094cc17-969b-4def-a411-8e0a16c30183","","work-in-progress","QA - Brickwork Level 2","checklist","FALSE","FALSE","Zone 2","Level 2"
"c683e91c-529c-4d76-b1b4-6e62fbeb2f90","","work-in-progress","","folder","TRUE","FALSE","Zone 3"
"4ca7edb0-e98f-436a-9ecc-58b8e83d66b5","","work-in-progress","f8211a6bb4ab4a14b12be3bc2969be7ef9f558680f830c6c888eaf932f1a0591","checklist","FALSE","FALSE","Zone 3","Level 0"
"68031917-726d-41f8-8826-4e0cccc2cd5b","","work-in-progress","f920a39e110ce033fb2c83ffd51b2443dc974276d4c0a8c40d6d573d78adcee0","checklist","FALSE","FALSE","Zone 3","Level 1"
"00a05cc8-4a25-4cc1-8d69-f7a3f808dc1c","","work-in-progress","00830c1967c67acafc5a920eacd387de72458f132567cfaca546ae8e5e2b0865","checklist","FALSE","FALSE","Zone 3","Level 2"
