"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"51cdc344-a3f0-4c5c-bc26-3def62e8f8a8","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"130ebf7c-400c-4181-9abf-822367a7ae60","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Stage 1"
"e12ab284-42b0-4794-bb2c-7e80d7cdb087","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12"
"6e545636-c428-4de5-8a49-f0a18470c6e0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation"
"916bdccc-4f20-4790-a3f9-761e28ab2279","","checklist-sectioned","not-started","Installation Authority Main to Meter","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Authority Main to Meter Installation"
"7b8298b6-e457-4572-925a-32cccade5136","","checklist-sectioned","not-started","Installation Drainage (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Drainage Installation (In-ground)"
"175524fc-9b88-40a6-b729-25b80147559c","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Water Service Installation (In-ground)"
"c2753c6b-59d0-4f09-add0-5c429ac96c4d","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"0e7c1068-f566-4799-a94e-fd93596efaa4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation"
"9f424657-7f05-4891-b138-5d2201a9ef60","","checklist-sectioned","not-started","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation","Waste & Vent Installation"
"0fe10ff8-cf5f-45c6-86d5-025a95feb5db","","checklist-sectioned","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"a5e6b546-5293-4bf4-a08f-6d7e3a2dd059","","checklist-sectioned","not-started","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"fbabc48e-210d-48a6-afb9-1d18ed6a1ff6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation"
"beda3dc9-7d1a-441a-b2fe-e1c7ae37585f","","checklist-sectioned","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"ebd5225b-bdfb-423e-8bd9-6d7ec2097498","","checklist-sectioned","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"27b0c97d-fee5-48fc-830e-96682acbca1f","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Shower & Tapware Installation"
"9362c41e-9dd5-43be-b220-07bf6d02f571","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Bath & Tapware Installation"
"0265a9be-a51d-42aa-81a2-b238943b430b","","checklist-sectioned","not-started","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"6a93601a-defb-42b5-9aaf-cc867b09a1ca","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Washer Machine Installation"
"1c11fbea-b783-4381-9a2a-465c831ea70e","","checklist-sectioned","not-started","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"36e0f18c-d848-4654-945e-81ef0b47295e","","checklist-sectioned","not-started","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Tundish Installation"
"00e0490c-fc49-494f-af57-1441c93c3ea0","","checklist-sectioned","not-started","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Hose Tap Installation"
"092cccd9-59fb-4ac0-b74e-5c34759fe9bb","","checklist-sectioned","not-started","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Fit-off Plumbing Installation","Gas Appliance Installation"
"4affdf1f-fa32-46b4-b77b-e5177c96413a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Hot Water Unit Installation"
"54857f49-a153-4faf-a7eb-3460eeff6b15","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"8e1d1b77-64b9-477a-ad63-9f5492ec0ac9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Testing"
"41f11c4e-0394-48cd-a96d-68411899a14e","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Drainage Pipework (Air Test)"
"d46f7562-ae12-46ea-9a32-8cf98f3653d5","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Drainage Pipework (Water Test)"
"30432b53-d39f-42eb-91a4-15fa61aeda13","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Water Pipework (Water Test)"
"dbbfcc45-eb91-4b59-9308-4ba5e0eb151c","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Testing","Testing Gas Service (Air Test)"
"30508572-d5e2-42d7-8b42-bfd13a2de827","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Commissioning"
"689f040e-e704-49ed-baa0-d0b6258ef3b6","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Commissioning","Commission Fixture Group"
"05220794-2071-4b42-9936-63f022283cac","","checklist-sectioned","not-started","Commission Hot Water Generating Plant","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Commissioning","Commission Hot Water Generating Plant"
"1af98ff2-83f0-411e-9e5f-714787ca67ce","","checklist-sectioned","not-started","Commission Reduced Pressure Zone Device","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 12","Commissioning","Commission Reduced Pressure Zone Device"
"178573d8-cbce-44c1-abc4-406b13c3a30f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13"
"698f2b8b-48e5-4a55-8e9d-fdab83ffc16a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation"
"2b85badc-4236-4fc9-82f3-7cee2ebdc090","","checklist-sectioned","not-started","Installation Authority Main to Meter","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Authority Main to Meter Installation"
"35ab3535-cfad-4a7c-b1d4-53dba365d504","","checklist-sectioned","not-started","Installation Drainage (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Drainage Installation (In-ground)"
"d8eae860-9a7c-4171-995f-8eced9a6d587","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Water Service Installation (In-ground)"
"c84244cf-88fc-4e26-a1cb-7d49363edf65","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"4e66f823-9cf7-4ad4-88da-2362cd8719e7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation"
"ac256047-5276-45af-aa91-456e85ee2e22","","checklist-sectioned","not-started","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation","Waste & Vent Installation"
"ddae602c-f100-4b9d-b7d2-4077fc15ee8b","","checklist-sectioned","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"fb8fc4e9-4fb8-4dc2-912f-4de66f54959c","","checklist-sectioned","not-started","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"bd019564-d66c-4801-a77d-dfcf2dda44e1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation"
