type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,ITP-075-AX-LOT-XXX - Desc,itp,,,,Yes,ITP 0075 - Asphalt Placement,9fb03d06-6160-4b7b-a83b-cfefade42822,,
section,Lot Information,,,,,,,,,
checkpoint,1.0 Lot Information,,,,,,,,,
textbox,Lot Created On,,,,,,,,,
textbox,Lot Opened On,,,,,,,,,
textbox,Work Commenced On,,,,,,,,,
dropdown,Lot Type,"CIL-Civil Lot, DRL- Drainage Lot, EAL- Earthworks Lot, ELL- Electrical Lot, UTL- Utility Lot, STL- Structural Lot",,,,,,,,
textbox,From and To Chainage,,,,,,,,,
dropdown,Construction Element,PAVI - Paving,,,,,,,,
dropdown,Activity,PAVI - Asphalt Placement,,,,,,,,
dropdown,Design Package No,"1145-ACM-CVD-DPK-0002, 1145-ACM-CVD-DPK-0003, 1145-ACM-CVD-DPK-0004, 1145-ACM-CVP-DPK-0001, 1145-ACM-CVP-DPK-0002, 1145-ACM-CVR-DPK-0001, 1145-ACM-CVR-DPK-0002, 1145-ACM-CVR-DPK-0003, 1145-ACM-CVR-DPK-0004, 1145-ACM-ELE-DPK-0001, 1145-ACM-ELE-DPK-0002, 1145-ACM-LDE-DPK-0001, 1145-ACM-LDE-DPK-0002, 1145-ACM-SBA-DPK-0001, 1145-ACM-STR-DPK-0001, 1145-ACM-TSI-DPK-0001, 1145-ACM-TSI-DPK-0002, 1145-ACM-TSI-DPK-0003, 1145-ACM-TSI-DPK-0004, 1145-ACM-UTL-DPK-0001, 1145-ACM-UTL-DPK-0002",,,,,,,,
dropdown,Traffic Direction,"EB - Eastbound, ME - Median, NB - Northbound, SB - Southbound, WB - Westbound",,,,,,,,
textbox,Engineer Responsible,,,,,,,,,
textbox,comments,,,,,,,,,
section,1 - Preliminary Works,,,,,,,,,
checkpoint,1.1 Submission of Mix Design,,,,,,,,,
note,Frequency: Prior to commencing paving,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: Ensure this mix design has been registered and is approved by Superintendent prior to laying mix.,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: VicRoads Spec. Cl.407.06,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Correspondence of receipt of mix design,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: VR approval Completed ITP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,HP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Asphalt Supervisor / Superintendent,,,,,,,,,
signoff,HOLD POINT,,,,,,,,,
checkpoint,1.2 Ensure underlying lot conforms,,,,,,,,,
note,Frequency: Prior to Commencing,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,"Acceptance Criteria: All quality information received for lot (includes levels, area and volume) and NCRs (BIRs) approved.",,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: Relevant ITP for underlying lot,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Document review,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Inspection and Test Plan,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,HP*,,,,,,,,,
checkpoint,1.3 Visual Inspection of underlying lot,,,,,,,,,
note,Frequency: Prior to Commencing,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,"Acceptance Criteria: If the execution of any part of the work under the Subcontract is dependent upon the quality and completeness of an existing surface or work performed by Separate Contractors, the subcontractors shall visually inspect the existing surface or Separate Contractor's work for matters including the following:",,,,,,,,,
note,(i) Homogeneous surface and pavement material,,,,,,,,,
note,(ii) Uniform in texture,,,,,,,,,
note,(iii) Free from tearing and scabbing,,,,,,,,,
note,(iv) Free from laminations,,,,,,,,,
note,(v) Free from loose and foreign materials,,,,,,,,,
note,and immediately notify the Contractors Representative of all matters discovered that a competent contractor who specialises in the type of works performed under Subcontract should have discussed by such inspection which in the Subcontractor's opinion render such work unsuitable for the proper execution of the work under the Subcontract.,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: CTW-175S Special Condition 11 (Refer Downer ITP - 1145-C200-FUL-QAC-CHK-0001),,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Visual Inspection,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Inspection and Test Plan ITP Signed,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,WP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Asphalt Supervisor,,,,,,,,,
checkpoint,1.4 Ambient Conditions for Placing,,,,,,,,,
note,Frequency: Prior to commencing paving,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: The majority of the surface area to be paved has a temperature greater than or equal to the following:,,,,,,,,,
note,Base & Intermediate Courses: 5°C for conventional binders or,,,,,,,,,
note,10°C for PMBs & Class 600,,,,,,,,,
note,Wearing Courses: 10°C for conventional binders or 15°C for PMBs,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: 407.13,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Verify,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Thermometer / gauage,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,IP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Asphalt Supervisor,,,,,,,,,
checkpoint,1.5 Planning of Joints,,,,,,,,,
note,Frequency: Prior to commencing paving,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: Runs to be marked to ensure placement of joints satisfy the following unless otherwise approved by the Client (MRPV):,,,,,,,,,
note,(i) Transverse Joints Offset from layer to layer by at least 2m,,,,,,,,,
note,(ii) Longitudinal Joints Offset from layer to layer by at least 150mm and be within 300mm of the lane line or centre of lane. V,,,,,,,,,
note,(iii) Wearing course shall be on lane lines.,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: 407.17 (b) & (c) Pavement Drawings,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Measure and mark out runs by tape measure or survey,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Paving Plan,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,WP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Project Engineer/ Asphalt Supervisor Superintendent,,,,,,,,,
checkpoint,1.6 Longitudinal Joints with existing Pavement,,,,,,,,,
note,Frequency: Prior to commencing paving,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,"Acceptance Criteria: Where new pavement abuts an existing pavement, the existing pavement shall be removed in steps to achieve an offset from layer to layer of not less than 150mm. Depth of step to be cut to the full depth of each indiviual layer.",,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: 407.16 (c) Project Specs. Section 3040.06 (d)(vii),,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Visual Inspection,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: ITP Signed,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,WP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Project Engineer/ Asphalt Supervisor,,,,,,,,,
section,2 - Asphalt Placement,,,,,,,,,
checkpoint,2.1 Commencement of placement,,,,,,,,,
note,Frequency: Prior to commencing Paving,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: Approval to place asphalt on the sub-base or granular base for a new pavement or for an ordinary of an existing bituminous surfaced pavement.,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: 404.13 405.07 407.18 (Refer Downer ITP - 1145-C200-FUL-QAC-CHK-0001),,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Visual Inspection,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Inspection and Test Plan,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,HP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Asphalt Supervisor / Superintendent,,,,,,,,,
signoff,HOLD POINT,,,,,,,,,
checkpoint,2.2 Cold Weather Placement Management Plan,,,,,,,,,
note,Frequency: Prior to commencing Paving (Seasonal),,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,"Acceptance Criteria: Prior to commencing cold weather placement of asphalt, the Contractor shall submit a job specific cold weather placement management plan to the Superintendent for review.",,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: 407.17C,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Document review,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Inspection and Test Plan,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,HP*,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Project Engineer/ Asphalt Project Manager or Engineer,,,,,,,,,
checkpoint,2.3 Mix Design Confirmation,,,,,,,,,
note,Frequency: Each lot,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: Check correct mix design as per pavement design has been delivered prior to laying mix.,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: VicRoads Spec. Cl.407.06,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Visual Inspection & Delivery Docket,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Delivery docket Completed ITP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,HP*,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Asphalt Supervisor,,,,,,,,,
checkpoint,2.4 Running traffic on Placed Asphalt,,,,,,,,,
note,Frequency: During Construction,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: Traffic not to be placed on asphalt placed until Fulton Hogan agree the surface temperature is less than the required mix temp. (SMA 40°C) to receive traffic.,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: 404.14 (Refer Downer ITP - 1145-C200-FUL-QAC-CHK-0001),,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Verify,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Inspection and Test Plan ITP Signed Thermometer / gauage,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,HP*,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Asphalt Supervisor,,,,,,,,,
section,3 - Testing,,,,,,,,,
checkpoint,3.1 Placing Material,,,,,,,,,
note,Frequency: Per Lot,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: 407.21 - DGA as per 407.22 405.08 - RGG - not less than 3 passes with steel wheeled roller. 3 passes to be made within time to compaction cessation substrate (pavement) temperature is between 7° and 10°C.,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: 407.21 405.08 404.14 417.12 (Refer Downer ITP - 1145-C200-FUL-QAC-CHK-0001),,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Material Sampling & testing,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Visual Inspection/ Compaction test results Visual Inspection/ Visual Inspection/ Field Report/,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,WP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Asphalt Supervisor Superintendent,,,,,,,,,
checkpoint,3.2 Survey Level Conformance,,,,,,,,,
note,"Frequency: Per 4,000m2 at completion of work",,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Acceptance Criteria: 407.293 Surface Level Tolerances for Sub-base and Pavement Courses,,,,,,,,,
note,,,,,,,,,,
note,Scale of Surface Level Measurement -,,,,,,,,,
note,         Granular or CT Subbase,,,,,,,,,
note,         Range (mm)    Max S. (mm),,,,,,,,,
note,Scale A -   +4 to -8          8,,,,,,,,,
note,Scale B -   +6 to -12         13,,,,,,,,,
note,,,,,,,,,,
note,         Asphalt Layers,,,,,,,,,
note,         Range (mm)    Max S. (mm),,,,,,,,,
note,Scale A -  +/- 5             8,,,,,,,,,
note,Scale B -  +/- 8            10,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Reference Documents: VicRoads Sec 407.293 Surface Level Tolerances for Sub-base and Pavement Courses,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Inspection / Test Method: Document Review/ Site Inspection,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,Record of Conformity: Survey Conformance Report,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
note,SCP,,,,,,,,,
note,- - - - - - - - -,,,,,,,,,
textbox,Responsibility: Site Engineer/ Surveyor / Survey Manager,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,
note,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan's Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,
textbox,Print Name:,,,,,,,,,
textbox,Position:,,,,,,,,,
textbox,Date:,,,,,,,,,
textbox,Work Completed On,,,,,,,,,
section,Lot Verification,,,,,,,,,
checkpoint,Lot Verification.,,,,,,,,,
dropdown,Is the relevant RFI attached to the Lot?,"YES, NO, N/A",,,,,,,,
dropdown,Is the relevant NCR attached to the Lot?,"YES, NO, N/A",,,,,,,,
dropdown,Are any relevant Mails/ Transmittals attached to the Lot?,"YES, NO, N/A",,,,,,,,
dropdown,Lot verified By,"Babak Rudd-Project Quality Manager, Nicola Lodo (Area 2 Manager), Nicolas Terpstra (Delivery Manager),Other:",,,,,,,,
textbox,Other:,,,,,,,,,
dropdown,Lot Status,"OUTSTANDING, CLOSED",,,,,,,,
textbox,Lot Closed On,,,,,,,,,
textbox,comments,,,,,,,,,
