"Warnings","Id","Type","Name","Values","Prompting Name","Prefix","Postfix","Usage Count","Resource Id"
"checklist-flat has incorrect meta.stepType holdpoint",,"checklist-flat","_TEMP","","AUTHORITY HOLDPOINT",,,0,"cb18f4f3-813d-4bad-9f7f-5995955e5839"

"",,"checklist","1630-P200-SYM-QAC-ITP-0001 Site Clearing and Grubbing","itp","1630-P200-SYM-QAC-ITP-0001 Site Clearing and Grubbing",,,10,"a073e436-6148-4f4e-a1cf-0ac516489764"
"",,"section","1.0 Pre-start activities",,,,,,
"",,"checkpoint","1.1 - Define Lot",,,,,,
"","1aeaacd4-4230-5865-95c7-c87b67f2f725","note","Ref docs - 1200.15 (b) (i) (B)",,,,,,
"","3051c949-737e-5f17-91d2-d04bc948cd17","note","Acceptance criteria - Clearly mark out lot and extents.",,,,,,
"","25f3fbd6-318a-5d65-a217-61e8af37ca55","note","• All No-Go Zones must be protected by temporary fencing and signage visible.",,,,,,
"","e9c9eb16-22e5-521a-bc5f-0ef130232142","note","• All fencing of No-Go Zones must be:",,,,,,
"","ecddb32e-7a18-5e98-9fa4-a7143532f8b8","note","a. erected a minimum of 1 metre beyond the boundary of the habitat to be protected, at the Tree Protection Zone or as directed by the Superintendent;",,,,,,
"","99495e62-1c44-50e3-a545-ba563cb4783e","note","b. at minimum, constructed of star picket and paraweb with two wire supports. The star pickets must be 1.3m in height, installed to a height of 1m above ground level and the paraweb must be installed to ensure a minimum 30cm gap is available between the bottom of the fence and existing ground to allow for fauna movement;",,,,,,
"","a255df34-f2a2-559a-b045-2a60203e192a","note","c. communicated by signage installed on the temporary fencing at intervals no less than 10 metres apart stating ‘Environmental No-Go Zone – no unauthorised access’;",,,,,,
"","ab6a4518-209c-5efe-a7cc-1e738598fe04","note","d. installed prior to commencement of works in the immediate area, in accordance with the relevant approved SEP; and",,,,,,
"","568faa27-ea5e-5522-bef7-dc75982fd353","note","e. retained in place for the duration of construction activities.",,,,,,
"","a2ec6a87-7d84-5ed9-bab7-5201a648016d","button","Has all of the above been completed?","Yes, No, N/A",,,,,
"","7f7c9a1b-c030-5997-9f37-8956a46d8830","note","Freq - Prior to start of works",,,,,,
"","9c7638ba-17e3-58a3-af91-d967e4e51e98","note","Key - R",,,,,,
"","067a77d9-060a-5143-8e55-8390c0ede22c","note","Resp - SE",,,,,,
"","6ecb996b-d7d5-50ae-833b-4a296f144f2e","date","Inspection Date:",,,,,,
"",,"checkpoint-no-value","1.1.1 - Lot Map",,,,,,
"","b489b33a-e894-50f7-8c1c-b138239e478a","button","Lot map","Yes,No,N/A",,,,,
"","613ac238-8319-5ae0-baa9-1f3b3f5eeabc","date","Inspection Date:",,,,,,
"",,"checkpoint","1.2 - Works required inside a No-Go Zone",,,,,,
"","688d3eca-247d-5a7a-b7b8-acf90a952cce","note","Ref docs - 1200.15 (b) (i) (B)",,,,,,
"","fde1cadf-b659-5684-bfc1-d3340246aa53","note","Acceptance criteria - No works are to occur inside any No-Go Zones, except for where the following process is followed:",,,,,,
"","f732ba0c-e9fd-5929-8e92-7c4091da8c37","note","• Before commencement, where works have potential to impact flora and fauna protected by a No Go Zone, the Superintendent has been provided a report to the requirements of 1200.15 (b) (i) (B) for approval 5 days before the proposed Delivery Activities and it has been approved by the Superintendent.",,,,,,
"","f04de08a-0d34-5f7f-9f75-010c0a684c1a","button","Has all of the above been completed?","Yes, No, N/A",,,,,
"","28124040-ea02-55df-9758-54259c361318","note","Freq - Prior to start of works",,,,,,
"","4164726a-ef54-5049-9e7b-ce07d6c2dd95","note","Key - H",,,,,,
"","e12ed4c0-a438-59c1-86cf-80df686a891c","note","Resp - SE",,,,,,
"","fe262d40-665f-5cc2-aaec-2754e0e61847","date","Inspection Date:",,,,,,
"",,"checkpoint","1.3 - MRPV Vegetation Removal Permit",,,,,,
"","7a32c4b3-012d-5891-8c3f-6e4e4dcc2985","note","Ref docs - Vegetation Removal Permit / PS3020.07 (a) (ii)",,,,,,
"","8eada7fd-3d79-5a74-9c08-5df5768ef2a7","note","Acceptance criteria - Sign off by the Project and MRPV Environmental Representatives. This is to be reviewed by the Superintendent prior to removal and provided to Environmental team",,,,,,
"","91c9385b-5359-5c43-a9da-ef3460a5a3a4","button","Has all of the above been completed?","Yes, No, N/A",,,,,
"","1e81eec6-8f15-5f5c-96a7-05ff41dfdfab","note","Freq - Prior to start of works",,,,,,
"","134cdc22-d059-503f-95b4-726cd717a2f7","note","Key - H",,,,,,
"","949dfb55-f788-516a-bea0-33cd437f9916","note","Resp - SE",,,,,,
"","930838fc-ee73-52da-a4f3-110030ccbd87","note","SI Key - H",,,,,,
