"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2b13dfcd-a5f6-4a3d-93f6-18ef136f1f75","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"4ce589c6-0313-4557-ac2d-270e6714f8c2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd"
"03bb9293-1ad5-43e2-9561-3144dfeb7124","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","2.01 - Traffic Management"
"11325e25-a00f-4375-b8c4-284a37564f4b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","3.09 - Removal of Existing Drainage Structures and Concrete Slabs"
"58c69697-3a5c-4651-a282-ad195b093b83","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","3.10 - Supply and Installation of Precast Concrete Culverts"
"767b3e36-c163-42ac-8326-f9be88aaf816","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","3.11 - Installation of Culvert Components and Structures - Precast or In-Situ"
"74a81ae1-23b5-4a7b-b6b3-e91a5055a85b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","3.22 - Subsoil Drainage"
"49d833ae-b7b2-470e-970e-278a7aeaa47a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","3.35 - Rock Protection"
"6fe55c70-6ec1-4623-af68-6257d27f31b8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.07 - Clear and Grub"
"8309ff5b-67bc-49c9-8d16-c1a58f4c85ed","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.08 - Stripping of Topsoil"
"40b2b9cc-6a39-4e46-a701-bff5991a99b9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.09 - Unsuitable Material"
"699dfb2f-fd60-4cd6-b2b7-1649f6d7a3cf","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.12 - Ground Surface Treatment"
"a55177b7-0480-4620-a297-a4a7c5962288","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.13 - General Excavation"
"c33d197d-9a1d-4370-9ea6-ce26e7078887","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.14 - Embankment"
"52d1ed9b-ae34-4f9f-af4f-8390a9f834fb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.181 - Subgrade Level"
"24d60510-8ae1-476f-97b1-72c4e520ad08","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.182 - Subgrade Treatment Type A"
"b9d4b37a-b603-4cae-9894-504cc4aae65f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","4.183 - Subgrade Treatment Type C"
"3a7aa2c6-9f0b-4e29-8b6d-4409de414027","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","5.01 - Unbound Pavement"
"72860157-9e0d-43cc-9145-4371075cd6a0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","10.01 - Plant Mixed Lightly Bound Pavements"
"648ae265-ac03-459d-8419-1b7468f5ce46","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Compton Rd","14.07 - Demolition of Road Furniture"
