"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"42af2a7d-b353-4ba3-92d9-af7d8d7b19c8","","folder-normal","","","step","TRUE","FALSE","Site QA"
"ac227b7a-08ba-4e5c-8a77-edcdb38879a8","","folder-normal","","","step","TRUE","FALSE","Site QA","Sprinkler Pipe Installation Rough In"
"cf9d8e0e-4dd1-4caa-83a9-91d01ef78acb","","checklist-sectioned","","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","B2"
"56b51301-b86c-438b-b742-6e3807fd5745","","checklist-sectioned","","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","B1"
"4b5db2c2-8a2a-4031-983e-204f0c6f6c43","","checklist-sectioned","","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Ground Floor"
"e157fadc-833c-43f8-a3ef-48c9c89cc474","","checklist-sectioned","","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Level 1"
"e84fb122-f2bd-49e3-8e99-8326f0cf9a5f","","checklist-sectioned","","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Level 2"
"02014701-7311-4667-8569-84c2896b8ff6","","checklist-sectioned","","Sprinkler System Installation ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Rough In","Rooftop"
"0a52977a-0fc8-42b3-8a3e-648d3a24dae7","","folder-normal","","","step","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Fit Off "
"8d1ff0a6-0dda-4f1b-855f-9b47d8652444","","checklist-sectioned","","Sprinkler System Installation Fit Off ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Fit Off ","B2"
"95274e1e-13eb-4f07-8cc0-4ea6d8b2a9d4","","checklist-sectioned","","Sprinkler System Installation Fit Off ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Fit Off ","B1"
"d9749ed1-39e4-4bf0-ab9a-dc44b09d47fd","","checklist-sectioned","","Sprinkler System Installation Fit Off ITP","checklist","FALSE","FALSE","Site QA","Sprinkler Pipe Installation Fit Off ","Rooftop"
"3e69e8fc-0270-4887-a9dc-49611565468a","","folder-normal","","","step","TRUE","FALSE","Site QA","Sprinkler System Commissioning"
"068514d8-2691-4ba2-bc7f-96a5ff4eaf19","","checklist-sectioned","","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","B2"
"1204416c-e2d7-478f-988b-0140c4ee67c6","","checklist-sectioned","","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","B1"
"1f274cfb-1fe8-450c-9380-df9cff7d230f","","checklist-sectioned","","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Ground Floor"
"0714b52f-e301-4d05-91e5-c5ec9c4a5356","","checklist-sectioned","","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Level 1"
"ef10190f-4d7a-4880-aaf4-c85dc2232632","","checklist-sectioned","","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Level 2"
"ca7fb143-ddcf-4c88-ab08-8b8c0952893e","","checklist-sectioned","","Sprinkler System Commissioning","checklist","FALSE","FALSE","Site QA","Sprinkler System Commissioning","Rooftop"
"470cde01-e29a-4429-9178-5ae77568e674","","folder-normal","","","step","TRUE","FALSE","Site QA","Fire Detection Installation Rough In"
"d8e9040f-8e59-4e20-a9bb-d51a4e10f7ca","","checklist-sectioned","","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","B2"
"3ba294b7-c86b-41e6-a8b7-b8f30ee4ec81","","checklist-sectioned","","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","B1"
"2eb6aced-f834-443f-9693-30393fa1e568","","checklist-sectioned","","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Ground Floor"
"65370ace-0442-4883-ba49-4d7d2f12d3ba","","checklist-sectioned","","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Level 1"
"c3b7e9ea-8a64-48bf-9bb3-40f3c68a9d13","","checklist-sectioned","","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Level 2"
"0f0bf1db-5b15-4b4f-a177-634ac4c95728","","checklist-sectioned","","Fire Detection Installation ITP","checklist","FALSE","FALSE","Site QA","Fire Detection Installation Rough In","Rooftop"
"bd5eea5d-4c91-47cb-bb75-e0affcf792e4","","folder-normal","","","step","FALSE","FALSE","Site QA","Fire Detection Installation Fit Off "
"bd30e358-af34-468b-a658-e87df04aabd8","","checklist-flat","","Smoke Detection & EWIS/OWS Fit Off","checklist-flat","FALSE","FALSE","Site QA","Fire Detection Installation Fit Off ","B2"
"0ea6c968-c5f1-4d51-8fa5-bd614ccf8552","","checklist-flat","","Smoke Detection & EWIS/OWS Fit Off","checklist-flat","FALSE","FALSE","Site QA","Fire Detection Installation Fit Off ","B1"
"1b35b295-f5b8-4d40-a694-8972ea41d7bd","","checklist-flat","","Smoke Detection & EWIS/OWS Fit Off","checklist-flat","FALSE","FALSE","Site QA","Fire Detection Installation Fit Off ","Rooftop"
"e89a4bb4-d2b0-4cd4-a9c1-694b61525c98","","folder-normal","","","step","TRUE","FALSE","Site QA","Fire Detection System Commissioning"
"99a12699-4012-4932-bb12-0bafb3f73926","","checklist-sectioned","","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","B2"
"a50a68c7-7292-44fc-8694-cc907ff7241d","","checklist-sectioned","","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","B1"
"658ac337-867d-4324-942f-22693e32ea9a","","checklist-sectioned","","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Ground Floor"
"921ce200-e08d-449a-ac6e-f968b36b4b7c","","checklist-sectioned","","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Level 1"
"e074a2b4-5059-4503-84c3-529c729bf38b","","checklist-sectioned","","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Level 2"
"568c72e2-8f34-434f-b678-47d4ef8db677","","checklist-sectioned","","Fire Detection System Commissioning","checklist","FALSE","FALSE","Site QA","Fire Detection System Commissioning","Rooftop"
"a163fa36-d7cd-4d29-a926-67b68339c1f6","","checklist-flat","","Fire Pump Commissioning","checklist-flat","FALSE","FALSE","Site QA","Pump"
"86fc040e-fdd4-40d0-8a08-6f7afac0f5e0","","checklist-flat","","Document Attachment","checklist-flat","FALSE","FALSE","Site QA","Drawings"
"3b6ee6f8-1c38-43b7-b03d-c3d1cf85276d","","folder-normal","","","step","TRUE","FALSE","Site QA","Day Dockets"
"e0496edf-f982-468d-a66a-37337bc62379","","checklist-flat","","Variation","checklist-flat","FALSE","FALSE","Site QA","Day Dockets","1"
"3332b62c-30af-4d47-8cc9-4d305cbf44e7","","folder-normal","","","step","TRUE","FALSE","Variation"
"e4ad348d-c87e-4844-9a03-96936c9739a5","","folder-normal","","","step","TRUE","FALSE","Injury Form"
"00b6320d-23e2-4365-abf6-ba61bf1278cf","","folder-normal","","","step","TRUE","FALSE","Toolbox Meeting"
"1651df6e-28f7-42a4-af94-df4f29d8051e","","folder-normal","","","step","TRUE","FALSE","Toolbox Meeting","February "
"f3f0d362-20be-4675-92aa-c81019dfb45f","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox Meeting","February ","3/3/23"
"2788f121-b80f-4d01-b070-a090bc05509f","","folder-normal","","","step","TRUE","FALSE","Toolbox Meeting","March"
"636af6d0-539b-4a33-b401-250eba112732","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox Meeting","March","10/3/23"
"8431631a-3fd3-40e7-96bf-fd70fa24fd9e","","folder-normal","","","step","TRUE","FALSE","Toolbox Meeting","May"
"a575230a-217e-40cc-91af-ab31689b0a32","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox Meeting","May","9/5/2023"
"fcb14d19-4ae5-4c58-aba1-360c6b7dcdd5","","folder-normal","","","step","TRUE","FALSE","Toolbox Meeting","June"
"7483b9e9-5e31-4268-a0cf-00356dd97c86","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox Meeting","June","30/6/23"
"900e4dcc-f3b3-4439-a415-69f39c95b993","","folder-normal","","","step","TRUE","FALSE","Site Induction"
"4bc623ed-0259-48c2-9e9d-89aa2051183d","","folder-normal","","","step","TRUE","FALSE","Daily Pre Start/Works"
"7908824c-6697-4922-b770-49384fb5e4a5","","folder-normal","","","step","TRUE","FALSE","Daily Pre Start/Works","February"
"c5e6c53d-02e7-48fd-8fa4-1e0e4c57bf99","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","02/02/23"
"79b672f8-81e8-4e40-a496-ea70757496c2","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","3/3/23"
"b365dab4-b889-4854-9d9a-fd29da72d109","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","6/2/23"
"e612f022-a5ff-4d7b-ae86-802e36a50809","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","7/2/23"
"99596917-37db-4f83-beda-417627a1e187","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","8/2/23"
"9664d6db-963a-4e86-9920-07b7332bef3c","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","10/2/23"
"43cbdd10-6bea-4946-8230-719a97c9df7f","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","13/2/22"
"60ec43ae-4572-490b-a0f2-9d7aee4c2f37","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","14/2/23"
"0580aaa9-bb35-421b-9b3e-1f0eec8e95cf","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","15/2/23"
"9828a20f-fdaa-4c6f-92cc-d75b7dac744c","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","16/2/23"
"c6c48465-5d25-4d49-b144-a8e3a6c5be76","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","17/2/23"
"83eaf59c-e1c8-4184-934e-d71fdc2da76a","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","20/2/23"
"77073e56-d8b3-4ef7-9951-1c38826155f1","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","21/2/23"
"d453f8de-b682-45c4-9884-7e50a626450d","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","22/2/23"
"45825b02-ffab-4b0e-9b13-6f9faa884712","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","23/2/23"
"beb1db23-9e7f-4312-9a95-ddd24d7fe33d","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","24/2/23"
"ea7a76ed-e242-4bb9-bd0e-4015a4e42a4a","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","27/2/23"
"c678b404-6483-4ab3-9cf4-e828130f7604","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","28/2/23"
"e97d7909-9df1-4d27-bbc5-c7567ba4ae66","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","29/5/23"
"9601a099-c9c0-43e4-b5b4-44b9e24f1945","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","February","30/5/23"
"3af29af8-236a-4daa-942a-d5b3f3c4eb83","","folder-normal","","","step","TRUE","FALSE","Daily Pre Start/Works","March"
