"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"84618502-4c97-4f0c-a639-6f3d00744f24","","folder-normal","","","step","TRUE","FALSE","Project QA"
"7b3e0a0d-9561-40a8-9ac4-1da2b60d1627","","checklist-sectioned","","Freezer Room","checklist","FALSE","FALSE","Project QA","Freezer Room"
"cd6f26d0-f047-4247-bd68-012127304a7c","","checklist-sectioned","","Ambient Room","checklist","FALSE","FALSE","Project QA","Ambient Room"
"9e6157ed-5b21-47b3-862e-4e33b2e14235","","checklist-sectioned","","Cool Room","checklist","FALSE","FALSE","Project QA","Cool Room"
"c8950f26-7367-4b27-8d19-eb5efba5686e","","checklist-sectioned","","Ceiling","checklist","FALSE","FALSE","Project QA","Ceiling"
"772318b3-a678-4d5e-84a9-2af8fe9d426d","","folder-normal","","","step","TRUE","FALSE","Health and Safety"
"ab1acd3d-9e87-435b-a8da-457a9d1f0a6b","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"44d711ac-c290-46b7-81ff-7d94f1290e3c","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","June 2023"
"0b8aa64f-7425-4a85-a079-4f2a1d851983","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","July 2023"
"14ef320f-985e-432a-8170-962e0813074d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2023"
"e06f7cc7-d14d-4a6e-a772-b4d11c6187c5","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2023"
"efaa17ad-0732-444b-9852-bc4d7b27ddd3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2023"
"48ef2722-452e-4fac-bb6a-45bd9be833aa","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","November 2023"
"1e79db07-3c93-4c7d-8efe-c88881433a8d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","December 2023"
"99707a0e-f739-414f-9130-f388aa8d1327","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","January 2024"
"09dfeb41-b6c4-42d0-82aa-589e7b139191","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","February 2024"
"047194b8-754b-4167-b360-a63c2d657c3a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","March 2024"
"5345a052-b8b6-4bd1-a648-f9d9a78368c9","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","April 2024"
