"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"43134bb7-5649-4782-a188-b9d687b971e9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"52a8c670-9b28-410e-9a61-260ca3a46ff7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground Floor"
"35e970ee-7481-45e6-95cc-34200d10852b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground Floor","Pre façade"
"e8ff0fa4-77d5-4448-a49b-c4d8d8c61a1e","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Pre façade","Zone A"
"f694d0e2-e5b1-566f-ada4-30f0ccb414a9","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Set out"
"4d2beabb-26fb-529a-8a4f-619c72804fac","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Soffit Installation"
"2c8e811b-1f36-5804-8baf-703eac0d4ea7","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Speedpanel & Caulking"
"66e9da4c-6db7-5504-a63d-16d646149f71","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Frame walls"
"0958c076-2303-589e-b481-f4b87f84e1cf","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Install noggins"
"0dcbdee1-6f83-5d12-bf8f-0290736e8ab1","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Plaster walls"
"5963b97e-72d0-5e53-a619-98043b414336","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Frame ceilings"
"3258733e-716a-57c7-8a0f-27dc9c4ca8df","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Sheet ceilings"
"483ffabb-084a-552f-9cb0-a02f64aad8a1","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Caulking"
"e3da2633-588f-5773-b0ea-0ff312d8d317","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone A","Area clean and handover"
"96b42e89-4ac5-4031-8a4a-afd4778800a7","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Pre façade","Zone B"
"0a522025-e777-5811-b920-e7ff353256df","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Set out"
"a522f65b-51c2-571e-b884-7a004a122432","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Soffit Installation"
"04170fdd-3278-523b-aec8-8cbb4a7ca3a7","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Speedpanel & Caulking"
"04a082ff-93a8-5ee7-ae31-33d3b18bea3a","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Frame walls"
"34cbbf6c-0d43-5b65-ac99-d851830392e7","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Install noggins"
