"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f12e6f2a-b2fc-4966-80d0-d4a467ec75d3","","","","folder","TRUE","FALSE","First Fix to Walls"
"f6b5697e-7648-49d4-a8e5-d1c06a534566","","","","folder","TRUE","FALSE","First Fix to Walls","Level 0"
"e661aac3-3b25-4bb4-aef6-4b5650f7c8a5","","","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1"
"2f088115-8901-49bb-9658-793076ac43a9","","","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004"
"ec32884b-5128-431f-99da-3ea1c33b016b","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Hanlon Plumbing"
"909ec620-a88e-474a-9b0d-8be091050b34","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - HelRimu"
"3309f718-8ffe-4380-adf5-03687aae5fc4","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Gilcom"
"d644c724-5f20-47ec-aba1-6daacfa08bbd","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Rauland"
"f0c6ffed-f715-481f-8f59-781a3871b011","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Premier Fire"
"82498165-a7ab-4c1f-9df9-e0060cc868e2","","","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Data Talk"
"465305f2-ca54-4d21-b314-6210e9c53e71","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Lamson"
"a463272f-2348-405e-afda-fc183797a268","","","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - VAE"
"2e4e7a80-175c-4d16-a0f5-23b202711e81","","","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Contego"
"5f472a81-97ac-43d3-9ba6-e7e7a368c55c","","","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - LCL"
