"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"35d0a7c7-ed3c-4c71-a97f-cb9c761a312f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"c24ff9f2-648f-45d3-92bd-824fa0c86770","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Civil"
"01dcc4a9-b4e6-4ac8-84a8-be119562e3ae","","checklist-flat","not-applicable","Gas Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Gas Checklist"
"cb5c22ba-fd30-45d9-814d-988e8f2be232","","checklist-flat","not-started","Lightning Protection Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Lightning Protection Checklist"
"296c1feb-4023-4fe8-a77c-3eaf01d73b01","","checklist-flat","not-started","Civil - Sanitary Sewer","checklist-flat","FALSE","FALSE","Site QA","Civil","Civil - Sanitary Sewer"
"6591cae1-cdc6-4217-8a94-32540911a844","","checklist-flat","not-started","Flushing Water Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Flushing Water Checklist"
"80eb798c-83df-47c8-92ed-ef004ca290bb","","checklist-flat","not-started","HV Ducts Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","HV Ducts Checklist"
"ec486d04-ce45-4543-8fd4-783198397e12","","checklist-flat","not-started","Earthing Protection Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Earthing Protection Checklist"
"18f4b0c3-09de-4052-9058-58f971379d8d","","checklist-flat","not-started","Potable Water Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Potable Water Checklist"
"fd0090e3-de48-41cb-9f01-2d22836509b4","","checklist-flat","not-started","Comms Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Comms Checklist"
"cbcc5f6c-2d3d-4fd7-bb0e-b1bea1873abb","","checklist-flat","not-started","Storm Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Storm Checklist"
"7ded12d8-2298-456f-ac59-54af467d3ac4","","checklist-flat","not-started","Sub Soil Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Sub Soil Checklist"
"5d4e9dd3-d623-4832-a2ef-8ab1d02c647b","","checklist-flat","not-started","Foul Checklist","checklist-flat","FALSE","FALSE","Site QA","Civil","Foul Checklist"
"0a468d8d-b09d-4fb8-ae7e-3b31cc55ce1e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Foundations"
"8c3a208e-8aec-43e1-881e-2da8176432d5","","checklist-flat","not-started","Site Establishment Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Site Establishment Checklist"
"149d19b7-9e1c-41fb-991a-ce7bff063bac","","checklist-flat","not-started","Service Location / Isolation Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Service Location / Isolation Checklist"
"94601805-aa65-4128-a621-4be577b21d50","","checklist-sectioned","not-started","Demolition Checklist","checklist","FALSE","FALSE","Site QA","Foundations","Demolition Checklist"
