resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,LEVEL 3,,,,,,,,,
,step,,,,F.3.01,,,,,,,,
AE-ITCX-028 - Lead-Ins Checklist (Rev 1 +Names),checklist-flat,,,,F.3.01,Leadins,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),checklist-flat,,,,F.3.01,Roughin,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),checklist-flat,,,,F.3.01,Cut out,,,,,,,
AE-ITCX-31 - Fit-Off General Checklist (Rev 1 +Names),checklist-flat,,,,F.3.01,Fit off,,,,,,,
AE-ITCX-32 - Electrical Commissioning Checklist (Rev 1 +Names),checklist-flat,,,,F.3.01,Commissioining,,,,,,,
,step,,,,F.3.02,,,,,,,,
AE-ITCX-028 - Lead-Ins Checklist (Rev 1 +Names),checklist-flat,,,,F.3.02,Leadins,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),checklist-flat,,,,F.3.02,Roughin,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),checklist-flat,,,,F.3.02,Cut out,,,,,,,
AE-ITCX-31 - Fit-Off General Checklist (Rev 1 +Names),checklist-flat,,,,F.3.02,Fit off,,,,,,,
AE-ITCX-32 - Electrical Commissioning Checklist (Rev 1 +Names),checklist-flat,,,,F.3.02,Commissioining,,,,,,,
,step,,,,F.3.03,,,,,,,,
AE-ITCX-028 - Lead-Ins Checklist (Rev 1 +Names),checklist-flat,,,,F.3.03,Leadins,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),checklist-flat,,,,F.3.03,Roughin,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),checklist-flat,,,,F.3.03,Cut out,,,,,,,
AE-ITCX-31 - Fit-Off General Checklist (Rev 1 +Names),checklist-flat,,,,F.3.03,Fit off,,,,,,,
AE-ITCX-32 - Electrical Commissioning Checklist (Rev 1 +Names),checklist-flat,,,,F.3.03,Commissioining,,,,,,,
,step,,,,F.3.04,,,,,,,,
AE-ITCX-028 - Lead-Ins Checklist (Rev 1 +Names),checklist-flat,,,,F.3.04,Leadins,,,,,,,
AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),checklist-flat,,,,F.3.04,Roughin,,,,,,,
AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),checklist-flat,,,,F.3.04,Cut out,,,,,,,
AE-ITCX-31 - Fit-Off General Checklist (Rev 1 +Names),checklist-flat,,,,F.3.04,Fit off,,,,,,,
AE-ITCX-32 - Electrical Commissioning Checklist (Rev 1 +Names),checklist-flat,,,,F.3.04,Commissioining,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
