"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9ee5df60-7cb0-4007-be40-4c8df3c2512d","","folder-normal","","","step","TRUE","FALSE","Site QA"
"2b39ade7-19aa-40a3-91a1-23108ea5ed11","","folder-normal","","","step","TRUE","FALSE","Site QA","In Ground Works"
"a8d20df6-c078-4f16-a149-6eec1b33c499","","checklist-sectioned","","001 - Pre Works","checklist","FALSE","FALSE","Site QA","In Ground Works","Ground Floor"
"9971a5d7-533d-4470-9b10-a0ccd6e6e96f","","folder-normal","","","step","TRUE","FALSE","Site QA","In Slab Works"
"4b934647-2c17-4fff-b477-c7b4f93dd61b","","checklist-sectioned","","010 - In-Slab Works Installation","checklist","FALSE","FALSE","Site QA","In Slab Works","Ground Floor"
"5e8f636e-2522-47ce-b6cf-b9e310dfb747","","checklist-sectioned","","010 - In-Slab Works Installation","checklist","FALSE","FALSE","Site QA","In Slab Works","First Floor"
"561628b8-0abe-48c2-88dc-aae7cafb08a8","","folder-normal","","","step","TRUE","FALSE","Site QA","Mains & Sub Mains Installation"
"32c54893-51f5-4128-b2bf-a83b85cd41c2","","checklist-sectioned","","011 - Mains & Sub Mains Installation","checklist","FALSE","FALSE","Site QA","Mains & Sub Mains Installation","Ground Floor"
"4a0b7dd7-3a20-4aab-9cdc-f271b1e3c990","","checklist-sectioned","","011 - Mains & Sub Mains Installation","checklist","FALSE","FALSE","Site QA","Mains & Sub Mains Installation","First Floor"
"cc65f6c1-e697-4931-9a2f-1f2dfd84bafd","","folder-normal","","","step","TRUE","FALSE","Site QA","Light & Power Rough"
"7efb1da2-68b0-4a25-9e88-c22f725b1d60","","folder-normal","","","step","TRUE","FALSE","Site QA","Light & Power Rough","Light"
"ecd0168f-807e-4fb2-8778-c30fc1ad65ec","","folder-normal","","","step","TRUE","FALSE","Site QA","Light & Power Rough","Light","Ground"
"2379b51b-716c-4691-878e-c5e061dc9ac7","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Principal"
"3f1755d3-c73f-40e0-b58e-61b1f7c90299","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Secretary"
"f9b72db7-5449-4c9f-91d2-9b689ce3711e","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Business Manager"
"a1ba485a-4fe4-49c4-ac73-7dda63561d2d","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Conference"
"f92cb4cb-ae6a-4958-80e0-584f947a25c4","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Assistant Principal"
"8b29b93d-f09b-4cd7-9808-ca47129941dc","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Finance"
"67bd853d-e6ce-4fee-ac2a-839e56f338ac","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Public Reception"
"991fdafc-8237-47c0-a682-99e617edabb6","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Meeting 1"
"8f5cce1c-062e-42b7-b948-44efbdc367c4","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","Meeting 2"
"b1786dc3-ad7b-4d97-84bf-3e49de262c27","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","AWC"
"9f7f8948-124b-4996-9610-cdb970280ae5","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","WC1"
"ca6320b4-d05b-42aa-8e6f-7e2f0d02f0e5","","checklist-sectioned","","004 - Lighting","checklist","FALSE","FALSE","Site QA","Light & Power Rough","Light","Ground","WC2"
