"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Ground Floor",,"ground floor"
,,"First Floor",,"first floor"
,"Columns"
,,"In Ground Works",,"in ground works"
,,"In Slab Works",,"in slab works"
,,"Mains & Sub Mains Installation",,"mains & sub mains installation"
,,"Light & Power Rough",,"light & power rough"
,,"Power, Switches & Accessories",,"power, switches & accessories"
,,"Testing & Commissioning",,"testing & commissioning"
,,"Switchboard Pre-Energisation Inspections",,"switchboard pre-energisation inspections"
,,"Cable Tray / Ladder",,"cable tray / ladder"
,,"Horizontal Cabling",,"horizontal cabling"

