Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Hydrant Install Progress,,,,,,,
,Scope,,,Hydrant Install,,,
,Rows,,,,,,
,,Basements,grouping,Basements,,,
,,Basement 2,,Basement 2,Hydrant Install,Site QA,
,,Basement 1,,Basement 1,Hydrant Install,Site QA,
,,Building A,grouping,Building A,,,
,,Ground Floor,,Ground Floor,Building A,Hydrant Install,Site QA
,,Level 1,,Level 1,Building A,Hydrant Install,Site QA
,,Level 2,,Level 2,Building A,Hydrant Install,Site QA
,,Level 3,,Level 3,Building A,Hydrant Install,Site QA
,,Level 4,,Level 4,Building A,Hydrant Install,Site QA
,,Level 5,,Level 5,Building A,Hydrant Install,Site QA
,,Level 6,,Level 6,Building A,Hydrant Install,Site QA
,,Level 7,,Level 7,Building A,Hydrant Install,Site QA
,,Building B,grouping,Building B,,,
,,Ground Floor,,Ground Floor,Building B,Hydrant Install,Site QA
,,Level 1,,Level 1,Building B,Hydrant Install,Site QA
,,Level 2,,Level 2,Building B,Hydrant Install,Site QA
,,Level 3,,Level 3,Building B,Hydrant Install,Site QA
,,Level 4,,Level 4,Building B,Hydrant Install,Site QA
,,Level 5,,Level 5,Building B,Hydrant Install,Site QA
,,Level 6,,Level 6,Building B,Hydrant Install,Site QA
,,Level 7,,Level 7,Building B,Hydrant Install,Site QA
,,Building C,grouping,Building C,,,
,,Ground Floor,,Ground Floor,Building C,Hydrant Install,Site QA
,,Level 1,,Level 1,Building C,Hydrant Install,Site QA
,,Level 2,,Level 2,Building C,Hydrant Install,Site QA
,,Level 3,,Level 3,Building C,Hydrant Install,Site QA
,,Level 4,,Level 4,Building C,Hydrant Install,Site QA
,,Level 5,,Level 5,Building C,Hydrant Install,Site QA
,,Level 6,,Level 6,Building C,Hydrant Install,Site QA
,,Level 7,,Level 7,Building C,Hydrant Install,Site QA
,,Building D,grouping,Building D,,,
,,Ground Floor,,Ground Floor,Building D,Hydrant Install,Site QA
,,Level 1,,Level 1,Building D,Hydrant Install,Site QA
,,Level 2,,Level 2,Building D,Hydrant Install,Site QA
,,Level 3,,Level 3,Building D,Hydrant Install,Site QA
,,Level 4,,Level 4,Building D,Hydrant Install,Site QA
,,Level 5,,Level 5,Building D,Hydrant Install,Site QA
,,Level 6,,Level 6,Building D,Hydrant Install,Site QA
,,Level 7,,Level 7,Building D,Hydrant Install,Site QA
,Columns,,,,,,
