resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
,step,,,Site QA,,,,,,,,,,,,,
,step,,,,Hydrant Install,,,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Basement 2,,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,Basement 1,,,,,,,,,,,
,step,,,,,Building A,,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Ground Floor,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 1,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 2,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 3,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 4,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 5,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 6,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 7,,,,,,,,,,
,step,,,,,Building B,,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Ground Floor,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 1,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 2,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 3,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 4,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 5,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 6,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 7,,,,,,,,,,
,step,,,,,Building C,,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Ground Floor,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 1,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 2,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 3,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 4,,,,,,,,,,
ITR-001 Hydrant Install,checklist,,,,,,Level 5,,,,,,,,,,
