Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,"INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3",itp,,,,Yes,"INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev 3",fb9861af-a689-4541-93a0-241e1cc8be4a
checkpoint-group,,,section,1.0 General,,,,,,,
checkpoint-status,,,checkpoint,1.1 - Material Submission / Approval,,,,,,,
label,38dc39c1-97aa-5987-bc61-8cc1a17d59b7,,note,Ref docs - AS 3600 235929-000- CV-SP-00007,,,,,,,
label,66bc53e2-f270-563e-a4b5-d9d15ed3de85,,note,"Acceptance criteria - Has the mix design to be approved prior to placement. Material properties meet project specification, AS 3600, AS 1379?",,,,,,,
label,2051261c-d26c-51f1-a53b-15cc5181a8cd,,note,○ Do Structural Elements meet: Minimum Concrete strength 40 MPa or as specified in Drawings?,,,,,,,
label,5f725601-87d4-5f25-98f8-ff0c4a102d4e,,note,○ Do Non-Structural Elements meet: Minimum Concrete strength 15 MPa or as specified in Drawings?,,,,,,,
label,0b478f3b-221b-593b-bd2a-27904927049d,,note,○ Has Steel Reinforcement schedule provided to MDR for review and approved?,,,,,,,
label,fd49ac14-fc4c-577d-b810-d73735edd6c8,,note,○ Do admixtures shall conform with AS 1478.1 and are permitted if used in accordance with manufacturers instructions?,,,,,,,
label,bfd4a202-eac0-583a-8d60-53ff6f4a61f1,,note,○ Mixtures containing calcium chloride shall not be used.,,,,,,,
button,1e83a2a2-1a47-58b0-9171-77d1d5b38a78,,button,Acceptance,"Yes,No,N/A",,,,,,
label,de1c3c54-5e6f-59fd-9d9f-cc7d4a4f11f6,,note,Key - H,,,,,,,
label,dc65c313-7a5a-5d5d-a677-e787b15d0c60,,note,MDR/VIVA Key - H,,,,,,,
label,556114eb-a1b4-5385-b989-cb03ac46bf52,,note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - Mix Design Number, Bar Bending Schedules, Material compliance certificates",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,,,checkpoint,1.2 - Determine lot size,,,,,,,
label,5ae5a78b-cf2a-597c-bce9-680c9cdad51c,,note,Acceptance criteria -,,,,,,,
text,9cc93c84-89f3-523e-af5a-3b1a4e2623ca,,textbox,Lot Size = Each pour section per day (location or m2) or each structural (Pilecap),,,,,,,
label,dfe7de41-a4ef-5ac9-b818-c1a6c13751da,,note,Key - S,,,,,,,
label,c76448c8-724e-5395-b5f5-34fc6089ff77,,note,MDR/VIVA Key - S,,,,,,,
checkpoint-status,,,checkpoint,1.3 - Permits,,,,,,,
label,9bff6d0e-771e-52a8-946a-8d127d399758,,note,"Acceptance criteria - The following are relevant, in place and signed onto:",,,,,,,
label,5af0f85a-9817-5358-b330-02e31e30ebc7,,note,– Penetration permit,,,,,,,
label,da668d64-52b7-55d5-b6ed-31b53edc1a2d,,note,– Hot works permit,,,,,,,
label,f304070e-4b95-5b82-a3d3-695a812a5b09,,note,– Temporary work permit,,,,,,,
label,79378160-af0d-5fa8-97d6-79591e53e5bc,,note,– Working at heights permit,,,,,,,
button,1b6ccd4a-1282-5b7c-b04d-9e07d17fb828,,button,Acceptance,"Yes,No,N/A",,,,,,
label,138c99c4-157f-5bbc-9974-29302a05cf6b,,note,Key - H,,,,,,,
label,51da0678-2edf-5890-9cd5-b33a628dca49,,note,MDR/VIVA Key - S,,,,,,,
checkpoint-group,,,section,2.0 Blinding/Lean Concrete,,,,,,,
checkpoint-status,,,checkpoint,2.1 - Set out,,,,,,,
label,86fe4bc4-62ff-5c40-9bb9-3a7cd82075f1,,note,Ref docs - IFC drawings,,,,,,,
label,089626ac-9bbd-548e-bd18-dacf51ff92f9,,note,"Acceptance criteria - Extents, grades and levels correct to relevant drawings. All services have been marked out.",,,,,,,
button,33a08e2f-ba2f-5484-a2b9-57125200af6a,,button,Acceptance,"Yes,No,N/A",,,,,,
label,f591230a-d954-5fcf-a8ca-acc37573e700,,note,Key - W,,,,,,,
label,a4ef8778-38d4-53a9-b6bb-1d5f4a174358,,note,MDR/VIVA Key - W,,,,,,,
checkpoint-status,,,checkpoint,2.2 - Pre-Pour Inspection,,,,,,,
label,ec7ee693-13c8-5626-ab42-5d7cca6da121,,note,Ref docs - Bulk Earthworks ITP 02,,,,,,,
text,d6ed777d-3d29-5f36-8e20-774571a70ff7,,textbox,Underlying lot number: ---------------------------,,,,,,,
label,508b44c2-a4d5-5b6a-8064-f431605ab32e,,note,"Acceptance criteria - Has a pre-pour inspection been completed with the client, and they have verified in writing that the pour is able to commence?",,,,,,,
label,01eabe0a-10f8-5400-9041-d074788419d5,,note,"○ The foundation base excavation shall be tested, surface compacted and approved prior to placement of the blinding.",,,,,,,
label,ae86cf42-f983-5714-ab6c-42571514a449,,note,"○ The foundation location, depth and dimensions shall also be checked and confirmed prior. to placing the blinding.",,,,,,,
label,4de94789-0a5f-514d-b31d-d228bee0d2aa,,note,"○ Approval shall be provided, in writing, by McDermott to the foundation. subcontractor before commencing with concrete placement.",,,,,,,
label,766f8803-c430-5e51-9098-f4c55463bf94,,note,○ Has this been completed?,,,,,,,
button,be854e56-748b-562b-b097-10edb85de43e,,button,Acceptance,"Yes,No,N/A",,,,,,
label,85c6c7fb-2f8a-53f4-b9f3-8d5eac4d1f55,,note,Key - H,,,,,,,
label,e6e9c8c3-c1d8-54f1-88e0-e11486688fa5,,note,MDR/VIVA Key - H,,,,,,,
label,ca558a49-2270-58c0-a08d-98204cced2cc,,note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - Pre-Pour Checklist, 235929-000-CV-SP-00007 Appendix 7.1 Pre-Concrete Placement Checklist",,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,
checkpoint-status,,,checkpoint,2.3 - Lean Mix Concrete,,,,,,,
label,c0181690-db59-5f12-936c-d0cb9382f4ec,,note,Ref docs - Section 5.1.2 of document 235929-000- CV-SP-00007,,,,,,,
label,b999404c-0268-5609-b37f-fe95f278faf5,,note,Acceptance criteria - Approved Concrete Mix Design.,,,,,,,
button,d4c31910-d804-590a-8b32-76c475a8e69a,,button,Acceptance,"Yes,No,N/A",,,,,,
label,6983f950-b771-5c06-850e-ab5b59e303b2,,note,Key - W,,,,,,,
label,0c5e9dcb-64e5-5698-8cf9-c92c8380d069,,note,MDR/VIVA Key - W,,,,,,,
label,15a44087-ddb2-5c30-a1fc-a12f8ba0a5ef,,note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - Dockets",,,,,,,
checkpoint-status,,,checkpoint,2.4 - Placement of Lean Mix,,,,,,,
label,49209e33-c527-599b-bd12-ae606910c89e,,note,Ref docs - 235929-000-CV-SP-00007,,,,,,,
label,a84414c6-b35c-56cf-b14c-8fc6cd13cf02,,note,Acceptance criteria - Has the blinding been poured to the correct level? The following are acceptable:,,,,,,,
label,5a62b3de-cf3f-5125-bd5e-4329bb47d03b,,note,– Minimum Thickness = 50mm,,,,,,,
button,6e9a8561-a3de-5bbf-a3cd-386009a4c82c,,button,Acceptance,"Yes,No,N/A",,,,,,
