type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,DB #,itp,,,,,SMCSWSPS-HEY-OSN-ED-ITP-000003 - Main Switchboards,
section,PRE-REQUISITE WORKS,,,,,,,
checkpoint,Confirm All Work Has Been Completed,,,,,,,
section,INSTALLATION CHECKS,,,,,,,
checkpoint,"Completion of ""Visual Inspection of Distribution Board"" Check list",,,,,,,
section,VISUAL INSPECTION,,,,,,,
checkpoint,Complete Visual inspection immediately prior to testing,,,,,,,
button,No damage,"YES,NO",,,,,,
button,Sufficient supports,"YES,NO",,,,,,
button,Correct labelling,"YES,NO",,,,,,
section,INSULATION RESISTANCE,,,,,,,
checkpoint,R-W,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,R-B,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,W-B,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,R-N,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,W-N,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,B-N,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,R-E,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,W-E,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
checkpoint,B-E,,,,,,,
label,"AS/NZS 3017:2007 Insulation resistance tests are necessary to ensure that the insulation resistance between all live conductors and earth or, as the case may be, all live parts and earth is adequate to ensure the integrity of the insulation.",,,,,,,
textbox,The insulation resistance shall be not less than 1 MΩ.,,,,,,,
section,CIRCUIT BREAKER OPERATION,,,,,,,
checkpoint,OPEN POSITION,,,,,,,
label,Continuity Test – With breaker in open and closed position,,,,,,,
checkpoint,CLOSED POSITION,,,,,,,
label,Continuity Test – With breaker in open and closed position,,,,,,,
section,CIRCUIT BREAKER SETTING CHECKS,,,,,,,
checkpoint,"Verify Breaker Settings are as per Distribution Board Shop drawings, Associated schematics & DB Schedules (Board Drawings to be attached to ITC)",,,,,,,
section,CURRENT TRANSFORMER POLARITY CHECKS,,,,,,,
checkpoint,Visual Inspection – Confirm CT Marking Indicators are as per manufacturer Install. Guidelines. Visual Inspection of all other wiring,,,,,,,
section,CURRENT TRANSFORMER RATIO CHECK,,,,,,,
checkpoint,Visual Inspection of CT Ratio. Record CT ratio and confirm it is as per the switchboard shop drawing,,,,,,,
textbox,CT Ratio,,,Record actual CT ratio,,,,
textbox,Shop Drawing,,,Record CT ratio on Chadwick’s shop drawing,,,,
section,METER CALIBRATION CHECKS,,,,,,,
checkpoint,Multimeter reading (V=Volts & A=Amps),,,,,,,
textbox,Red Phase,,,Record V & A,,,,
textbox,White Phase,,,Record V & A,,,,
textbox,Blue Phase,,,Record V & A,,,,
checkpoint,DB Meter reading (V=Volts & A=Amps),,,,,,,
textbox,Red Phase,,,Record V & A,,,,
textbox,White Phase,,,Record V & A,,,,
