"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Site QA Overall Progress"
,"Scope",,
,"Rows"
,,"Ground - Zone 1A","grouping","ground","zone 1a"
,,"mech plenum","expanded","mech plenum","ground","zone 1a"
,,"external shaft","expanded","external shaft","ground","zone 1a"
,,"access wc","expanded","access wc","ground","zone 1a"
,,"ambulant male","expanded","ground","zone 1a","ambulant male"
,,"ambulant female","expanded","ambulant female","ground","zone 1a"
,,"cleaners room","expanded","cleaners room","ground","zone 1a"
,,"Ground - Zone 1B","grouping","ground","zone 1b"
,,"wc","expanded","wc","ground","zone 1b"
,,"cleaners wc","expanded","ground","zone 1b","cleaners wc"
,,"cleaners room","expanded","cleaners room","ground","zone 1b"
,,"amenities - male","expanded","ground","amenities - male","zone 1b"
,,"amenities - female","expanded","amenities - female","ground","zone 1b"
,,"access wc","expanded","access wc","ground","zone 1b"
,,"ambulant male","expanded","ground","zone 1b","ambulant male"
,,"ambulant female","expanded","ambulant female","ground","zone 1b"
,,"Ground - Zone 1C","grouping","zone 1c","ground"
,,"mech plenum","expanded","zone 1c","mech plenum","ground"
,,"Ground - Zone 1D","grouping","zone 1d","ground"
,,"fuel tank 1","expanded","zone 1d","ground","fuel tank 1"
,,"fuel tank 2","expanded","fuel tank 2","zone 1d","ground"
,,"waste","expanded","waste","zone 1d","ground"
,,"non secure washroom","expanded","non secure washroom","zone 1d","ground"
,,"Ground - Zone 1E","grouping","zone 1e","ground"
,,"female change/ shower","expanded","female change/ shower","zone 1e","ground"
,,"male change/ shower","expanded","male change/ shower","zone 1e","ground"
,,"Level 1 - Zone 1A","grouping","level 1","zone 1a"
,,"mech plenum","expanded","level 1","mech plenum","zone 1a"
,,"access wc","expanded","level 1","access wc","zone 1a"
,,"ambulant male","expanded","level 1","zone 1a","ambulant male"
,,"ambulant female","expanded","ambulant female","level 1","zone 1a"
,,"cleaners room","expanded","cleaners room","level 1","zone 1a"
,,"Level 1 - Zone 1B","grouping","level 1","zone 1b"
,,"mech plenum","expanded","level 1","mech plenum","zone 1b"
,,"nextdc amenities","expanded","level 1","nextdc amenities","zone 1b"
,,"cleaners room","expanded","cleaners room","level 1","zone 1b"
,,"unisex wc","expanded","level 1","zone 1b","unisex wc"
,,"accessible amenities","expanded","accessible amenities","level 1","zone 1b"
,,"male ambulant","expanded","level 1","male ambulant","zone 1b"
,,"female ambulant","expanded","level 1","female ambulant","zone 1b"
,,"Level 1 - Zone 1C","grouping","zone 1c","level 1"
,,"fwu equipment zone","expanded","zone 1c","level 1","fwu equipment zone"
,,"fwu corridor","expanded","zone 1c","level 1","fwu corridor"
,,"attenuation zone","expanded","zone 1c","attenuation zone","level 1"
,,"Level 1 - Zone 1D","grouping","zone 1d","level 1"
,,"fwu equipment zone","expanded","zone 1d","level 1","fwu equipment zone"
,,"fwu corridor","expanded","zone 1d","level 1","fwu corridor"
,,"attenuation zone","expanded","attenuation zone","zone 1d","level 1"
,,"LV Switchrooms Internal - Zone 1A","grouping","lv switchrooms internal","zone 1a"
,,"switch room aa","expanded","lv switchrooms internal","switch room aa","zone 1a"
,,"switch room ab","expanded","switch room ab","lv switchrooms internal","zone 1a"
,,"switch room ac","expanded","switch room ac","lv switchrooms internal","zone 1a"
,,"switch room ad","expanded","lv switchrooms internal","zone 1a","switch room ad"
,,"switch room ae","expanded","lv switchrooms internal","switch room ae","zone 1a"
,,"switch room af","expanded","switch room af","lv switchrooms internal","zone 1a"
,,"switch room ag","expanded","switch room ag","lv switchrooms internal","zone 1a"
,,"switch room ah","expanded","lv switchrooms internal","zone 1a","switch room ah"
,,"switch room ba","expanded","lv switchrooms internal","zone 1a","switch room ba"
,,"LV Switchrooms Internal - Zone 1B","grouping","lv switchrooms internal","zone 1b"
,,"switch room bb","expanded","lv switchrooms internal","switch room bb","zone 1b"
,,"switch room bc","expanded","switch room bc","lv switchrooms internal","zone 1b"
,,"switch room bd","expanded","switch room bd","lv switchrooms internal","zone 1b"
,,"switch room be","expanded","lv switchrooms internal","switch room be","zone 1b"
,,"switch room bf","expanded","lv switchrooms internal","switch room bf","zone 1b"
,,"switch room bg","expanded","switch room bg","lv switchrooms internal","zone 1b"
,,"switch room bh","expanded","switch room bh","lv switchrooms internal","zone 1b"
,,"switch room bi","expanded","lv switchrooms internal","zone 1b","switch room bi"
,,"switch room bj","expanded","lv switchrooms internal","switch room bj","zone 1b"
,,"Level 2 - Zone 1A","grouping","zone 1a","level 2"
,,"area 1","expanded","area 1","zone 1a","level 2"
,,"area 2","expanded","area 2","zone 1a","level 2"
,,"area 3","expanded","zone 1a","level 2","area 3"
,,"area 4","expanded","zone 1a","area 4","level 2"
,,"office roof north 1","expanded","zone 1a","level 2","office roof north 1"
,,"office roof north 2","expanded","office roof north 2","zone 1a","level 2"
,,"Office Roof North 3","expanded","office roof north 3","zone 1a","level 2"
,,"Office Roof North 4","expanded","office roof north 4","zone 1a","level 2"
,,"Level 2 - Zone 1B","grouping","level 2","zone 1b"
,,"area 1","expanded","area 1","level 2","zone 1b"
,,"area 2","expanded","area 2","level 2","zone 1b"
,,"area 3","expanded","level 2","zone 1b","area 3"
,,"area 4","expanded","area 4","level 2","zone 1b"
,,"office roof east 1","expanded","level 2","zone 1b","office roof east 1"
,,"office roof east 2","expanded","office roof east 2","level 2","zone 1b"
,,"Office Roof East 3","expanded","office roof east 3","zone 1b","level 2"
,,"Office Roof East 4","expanded","office roof east 4","zone 1b","level 2"
,,"Level 2 - Zone 1C","grouping","zone 1c","level 2"
,,"area 1","expanded","zone 1c","area 1","level 2"
,,"area 2","expanded","area 2","zone 1c","level 2"
,,"area 3","expanded","zone 1c","level 2","area 3"
,,"area 4","expanded","zone 1c","area 4","level 2"
,,"Level 2 - Zone 1D","grouping","zone 1d","level 2"
,,"area 1","expanded","area 1","zone 1d","level 2"
,,"area 2","expanded","area 2","zone 1d","level 2"
,,"area 3","expanded","zone 1d","level 2","area 3"
,,"area 4","expanded","zone 1d","area 4","level 2"
,,"Planter Boxes","grouping","planter boxes"
,,"planter 1","expanded","planter 1","planter boxes"
,,"planter 2","expanded","planter 2","planter boxes"
,,"planter 3","expanded","planter 3","planter boxes"
,,"planter 4","expanded","planter 4","planter boxes"
,,"planter 5","expanded","planter 5","planter boxes"
,,"planter 6","expanded","planter 6","planter boxes"
,,"planter 7","expanded","planter 7","planter boxes"
,,"planter 8","expanded","planter 8","planter boxes"
,,"planter 9","expanded","planter 9","planter boxes"
,,"planter 10","expanded","planter 10","planter boxes"
,,"planter 11","expanded","planter 11","planter boxes"
,,"planter 12","expanded","planter 12","planter boxes"
,,"planter 13","expanded","planter 13","planter boxes"
,,"planter 14","expanded","planter 14","planter boxes"
,,"planter 15","expanded","planter 15","planter boxes"
,,"LV Switchroom Roofs - Building A","grouping","building a","lv switchroom roofs"
,,"Area 1","expanded","area 1","building a","lv switchroom roofs"
,,"Area 2","expanded","area 2","building a","lv switchroom roofs"
,,"LV Switchroom Roofs - Building B","grouping","building a","lv switchroom roofs"
,,"Area 1","expanded","area 1","lv switchroom roofs","building b"
,,"Area 2","expanded","area 2","lv switchroom roofs","building b"
,"Columns"
,,"Surface Preparation",,"surface preparation"
,,"Installation",,"installation"
,,"Testing",,"testing"

