ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Outstations"
,"Scope",,
,"Rows"
,,"OS-A1-01","grouping","outstations","os-a1-01"
,,"sla sensor sla-dha1-05 dha1","expanded","dha1 sla sensors","sla sensors","sla sensor sla-dha1-05 dha1"
,,"sla sensor sla-dha1-06 dha1","expanded","dha1 sla sensors","sla sensors","sla sensor sla-dha1-06 dha1"
,,"sla sensor sla-dha1-07 dha1","expanded","dha1 sla sensors","sla sensors","sla sensor sla-dha1-07 dha1"
,,"sla sensor sla-dha1-08 dha1","expanded","dha1 sla sensors","sla sensors","sla sensor sla-dha1-08 dha1"
,,"sla sensor sla-dha1-09 dha1","expanded","dha1 sla sensors","sla sensors","sla sensor sla-dha1-09 dha1"
,,"sla sensor sla-dha1-10 dha1","expanded","dha1 sla sensors","sla sensors","sla sensor sla-dha1-10 dha1"
,,"sla sensor sla-dha1-11 dha1","expanded","dha1 sla sensors","sla sensors","sla sensor sla-dha1-11 dha1"
,,"DHA2 SLA Sensors","grouping","sla sensors","dha2 sla sensors"
,,"sla sensor sla-dha2-01 dha2","expanded","sla sensors","sla sensor sla-dha2-01 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-02 dha2","expanded","sla sensor sla-dha2-02 dha2","sla sensors","dha2 sla sensors"
,,"sla sensor sla-dha2-03 dha2","expanded","sla sensors","sla sensor sla-dha2-03 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-04 dha2","expanded","sla sensors","sla sensor sla-dha2-04 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-05 dha2","expanded","sla sensors","sla sensor sla-dha2-05 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-06 dha2","expanded","sla sensors","sla sensor sla-dha2-06 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-07 dha2","expanded","sla sensors","sla sensor sla-dha2-07 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-08 dha2","expanded","sla sensors","sla sensor sla-dha2-08 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-09 dha2","expanded","sla sensors","sla sensor sla-dha2-09 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-10 dha2","expanded","sla sensors","sla sensor sla-dha2-10 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-11 dha2","expanded","sla sensor sla-dha2-11 dha2","sla sensors","dha2 sla sensors"
,,"DHA2 SLA Sensors","grouping","sla sensors","dha2 sla sensors"
,,"sla sensor sla-dha2-01 dha2","expanded","sla sensors","sla sensor sla-dha2-01 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-02 dha2","expanded","sla sensor sla-dha2-02 dha2","sla sensors","dha2 sla sensors"
,,"sla sensor sla-dha2-03 dha2","expanded","sla sensors","sla sensor sla-dha2-03 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-04 dha2","expanded","sla sensors","sla sensor sla-dha2-04 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-05 dha2","expanded","sla sensors","sla sensor sla-dha2-05 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-06 dha2","expanded","sla sensors","sla sensor sla-dha2-06 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-07 dha2","expanded","sla sensors","sla sensor sla-dha2-07 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-08 dha2","expanded","sla sensors","sla sensor sla-dha2-08 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-09 dha2","expanded","sla sensors","sla sensor sla-dha2-09 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-10 dha2","expanded","sla sensors","sla sensor sla-dha2-10 dha2","dha2 sla sensors"
,,"sla sensor sla-dha2-11 dha2","expanded","sla sensor sla-dha2-11 dha2","sla sensors","dha2 sla sensors"
,"Columns"
,,"Reference Documents",,"reference documents"
,,"Visual & Pre Inspection",,"visual & pre inspection"
,,"Approval / Witnessing",,"approval / witnessing"

"L3 Devices"
,"Scope",,
,"Rows"
,,"SLA sensor SLA-DHA1","grouping","sla sensor sla-dha1"
,,"l3","expanded","l3","sla sensor sla-dha1"
,,"l4","expanded","l4","sla sensor sla-dha1"
,,"SLA sensor SLA-DHA2","grouping","sla sensor sla-dha2"
,,"l3","expanded","sla sensor sla-dha2","l3"
,,"l4","expanded","sla sensor sla-dha2","l4"
,,"SLA sensor SLA-SR-AA Switchroom System AA","grouping","sla sensor sla-sr-aa switchroom system aa"
,,"reference documents","expanded","sla sensor sla-sr-aa switchroom system aa","reference documents"
,,"visual & pre inspection","expanded","sla sensor sla-sr-aa switchroom system aa","visual & pre inspection"
,,"approval / witnessing","expanded","approval / witnessing","sla sensor sla-sr-aa switchroom system aa"
,,"SLA sensor SLA-SR-AB Switchroom System AB","grouping","sla sensor sla-sr-ab switchroom system ab"
,,"reference documents","expanded","sla sensor sla-sr-ab switchroom system ab","reference documents"
,,"visual & pre inspection","expanded","sla sensor sla-sr-ab switchroom system ab","visual & pre inspection"
,,"approval / witnessing","expanded","sla sensor sla-sr-ab switchroom system ab","approval / witnessing"
,,"SLA sensor SLA-SR-AC Switchroom System AC","grouping","sla sensor sla-sr-ac switchroom system ac"
,,"reference documents","expanded","sla sensor sla-sr-ac switchroom system ac","reference documents"
,,"visual & pre inspection","expanded","visual & pre inspection","sla sensor sla-sr-ac switchroom system ac"
,,"approval / witnessing","expanded","approval / witnessing","sla sensor sla-sr-ac switchroom system ac"
,,"SLA sensor SLA-SR-AD Switchroom System AD","grouping","sla sensor sla-sr-ad switchroom system ad"
,,"reference documents","expanded","sla sensor sla-sr-ad switchroom system ad","reference documents"
,,"visual & pre inspection","expanded","sla sensor sla-sr-ad switchroom system ad","visual & pre inspection"
,,"approval / witnessing","expanded","sla sensor sla-sr-ad switchroom system ad","approval / witnessing"
,,"SLA sensor SLA-SR-AE Switchroom System AE","grouping","sla sensor sla-sr-ae switchroom system ae"
,,"reference documents","expanded","sla sensor sla-sr-ae switchroom system ae","reference documents"
,,"visual & pre inspection","expanded","visual & pre inspection","sla sensor sla-sr-ae switchroom system ae"
,,"approval / witnessing","expanded","approval / witnessing","sla sensor sla-sr-ae switchroom system ae"
,,"SLA sensor SLA-SR-AF Switchroom System AF","grouping","sla sensor sla-sr-af switchroom system af"
,,"reference documents","expanded","sla sensor sla-sr-af switchroom system af","reference documents"
,,"visual & pre inspection","expanded","sla sensor sla-sr-af switchroom system af","visual & pre inspection"
,,"approval / witnessing","expanded","approval / witnessing","sla sensor sla-sr-af switchroom system af"
,,"SLA sensor SLA-SR-AG Switchroom System AG","grouping","sla sensor sla-sr-ag switchroom system ag"
,,"reference documents","expanded","sla sensor sla-sr-ag switchroom system ag","reference documents"
,,"visual & pre inspection","expanded","visual & pre inspection","sla sensor sla-sr-ag switchroom system ag"
,,"approval / witnessing","expanded","approval / witnessing","sla sensor sla-sr-ag switchroom system ag"
,,"SLA sensor SLA-SR-AH Switchroom System AH","grouping","sla sensor sla-sr-ah switchroom system ah"
,,"reference documents","expanded","sla sensor sla-sr-ah switchroom system ah","reference documents"
,,"visual & pre inspection","expanded","sla sensor sla-sr-ah switchroom system ah","visual & pre inspection"
,,"approval / witnessing","expanded","approval / witnessing","sla sensor sla-sr-ah switchroom system ah"
,,"Weather Station WS-01","grouping","weather station ws-01"
,,"l3","expanded","weather station ws-01","l3"
,,"l4","expanded","weather station ws-01","l4"
,,"110V DC BTU-MP-1-A","grouping","110v dc btu-mp-1-a"
,,"l3","expanded","110v dc btu-mp-1-a","l3"
,,"l4","expanded","l4","110v dc btu-mp-1-a"
,,"110V DC BTU-MP-1-B","grouping","110v dc btu-mp-1-b"
,,"l3","expanded","110v dc btu-mp-1-b","l3"
,,"l4","expanded","l4","110v dc btu-mp-1-b"
,,"110V DC BTU-MP-2-A","grouping","110v dc btu-mp-2-a"
,,"l3","expanded","110v dc btu-mp-2-a","l3"
,,"l4","expanded","l4","110v dc btu-mp-2-a"
,,"110V DC BTU-MP-2-B","grouping","110v dc btu-mp-2-b"
,,"l3","expanded","110v dc btu-mp-2-b","l3"
,,"l4","expanded","110v dc btu-mp-2-b","l4"
,,"110V DC BTU-HVSB1-A","grouping","110v dc btu-hvsb1-a"
,,"l3","expanded","110v dc btu-hvsb1-a","l3"
,,"l4","expanded","l4","110v dc btu-hvsb1-a"
,,"110V DC BTU-HVSB2-B","grouping","110v dc btu-hvsb2-b"
,,"l3","expanded","110v dc btu-hvsb2-b","l3"
,,"l4","expanded","l4","110v dc btu-hvsb2-b"
,,"110V DC BTU-AA System AA","grouping","110v dc btu-aa system aa"
,,"l3","expanded","110v dc btu-aa system aa","l3"
,,"l4","expanded","l4","110v dc btu-aa system aa"
,,"110V DC BTU-AB System AB","grouping","110v dc btu-ab system ab"
,,"l3","expanded","110v dc btu-ab system ab","l3"
,,"l4","expanded","110v dc btu-ab system ab","l4"
,,"110V DC BTU-AC System AC","grouping","110v dc btu-ac system ac"
,,"l3","expanded","110v dc btu-ac system ac","l3"
,,"l4","expanded","l4","110v dc btu-ac system ac"
,,"110V DC BTU-AD System AD","grouping","110v dc btu-ad system ad"
,,"l3","expanded","110v dc btu-ad system ad","l3"
,,"l4","expanded","l4","110v dc btu-ad system ad"
,,"110V DC BTU-AE System AE","grouping","110v dc btu-ae system ae"
,,"l3","expanded","110v dc btu-ae system ae","l3"
,,"l4","expanded","110v dc btu-ae system ae","l4"
,,"110V DC BTU-AF System AF","grouping","110v dc btu-af system af"
,,"l3","expanded","110v dc btu-af system af","l3"
,,"l4","expanded","l4","110v dc btu-af system af"
,,"110V DC BTU-AG System AG","grouping","110v dc btu-ag system ag"
,,"l3","expanded","110v dc btu-ag system ag","l3"
,,"l4","expanded","l4","110v dc btu-ag system ag"
,,"110V DC BTU-AH System AH","grouping","110v dc btu-ah system ah"
,,"l3","expanded","110v dc btu-ah system ah","l3"
,,"l4","expanded","110v dc btu-ah system ah","l4"
,,"EV Charging EVCS-1","grouping","ev charging evcs-1"
,,"l3","expanded","ev charging evcs-1","l3"
,,"l4","expanded","ev charging evcs-1","l4"
,,"EV Charging EVCS-2","grouping","ev charging evcs-2"
,,"l3","expanded","l3","ev charging evcs-2"
,,"l4","expanded","l4","ev charging evcs-2"
,,"EV Charging EVCS-3","grouping","ev charging evcs-3"
,,"l3","expanded","ev charging evcs-3","l3"
,,"l4","expanded","l4","ev charging evcs-3"
,,"EV Charging EVCS-4","grouping","ev charging evcs-4"
,,"l3","expanded","ev charging evcs-4","l3"
,,"l4","expanded","l4","ev charging evcs-4"
,,"EV Charging EVCS-5","grouping","ev charging evcs-5"
,,"l3","expanded","ev charging evcs-5","l3"
,,"l4","expanded","ev charging evcs-5","l4"
,,"EV Charging EVCS-6","grouping","ev charging evcs-6"
,,"l3","expanded","ev charging evcs-6","l3"
,,"l4","expanded","l4","ev charging evcs-6"
,,"Generator GEN-AE System AE","grouping","generator gen-ae system ae"
,,"l3","expanded","generator gen-ae system ae","l3"
,,"l4","expanded","l4","generator gen-ae system ae"
,,"Generator GEN-AG System AG","grouping","generator gen-ag system ag"
,,"l3","expanded","generator gen-ag system ag","l3"
,,"l4","expanded","l4","generator gen-ag system ag"
,,"Generator GEN-AH System AH","grouping","generator gen-ah system ah"
,,"l3","expanded","generator gen-ah system ah","l3"
,,"l4","expanded","l4","generator gen-ah system ah"
,,"HV Operator Panel HV-ROP-1 22-MP-1 & 22-HVSB1","grouping","hv operator panel hv-rop-1 22-mp-1 & 22-hvsb1"
,,"l3","expanded","hv operator panel hv-rop-1 22-mp-1 & 22-hvsb1","l3"
,,"l4","expanded","l4","hv operator panel hv-rop-1 22-mp-1 & 22-hvsb1"
