"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"883fbdd8-484c-4738-8090-c6c51fb5f51d","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"89663762-af85-5690-adbc-a2af4d9cd90a","","checkpoint-status","not-started","Job Details Checklist:3d098030-e418-4675-b5b1-7520caf5ee77","","TRUE","TRUE","Job Details","Project details entered below"
"a551f5d6-8996-496d-a4e4-47423b805579","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture"
"e9b8cf87-f7fb-429e-a54a-6bd37edba0a4","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels"
"b751ea7f-e569-4df4-8ce8-14492158a487","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels","Building C"
"373b155f-ff1d-4202-8bcb-6fab8906a5fa","","checklist-sectioned","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01"
"4c768774-9eb8-5588-9099-85a3f88390f9","","checkpoint-group","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Precast Element Details"
"94a6f8e6-6b4f-5dc4-89e8-3889f2dfd00e","","checkpoint-status","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9:1932e93b-d3e9-402f-83d0-e322d0c77950","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Precast Element Details","Concrete Details Complete"
"01830701-1cd9-578d-b5ac-94928dc34fa8","","checkpoint-group","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)"
"303b339b-a1fe-51f6-ac6b-333ae580f737","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:21d3dbc3-941c-48c6-a5ee-c5b912086cbb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"49046cc6-f52a-5ae1-a79c-cde70cd6c99e","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:bb308721-634f-4bbe-84b3-d179a4e31d53","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"d6a1eee9-53af-5975-9049-de133dd5fa7f","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:61dd630f-70fb-4725-9653-100c8b5910fa","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
"cce0249f-4d72-544b-8d68-6a1fcddaff2e","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:6f468d98-e7a3-4541-956f-64ebaa447fb1","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Cast in Items checked and marked on cage (Dross Ducts, Inserts Weld Plates)"
"5843f766-c6d3-5e1a-9f1f-0ed5dd3501df","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:5f0cdd3a-3cf3-4908-a9a4-9f9c9b156a08","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Overall cage dimensions in plan checked and there will be sufficient concrete cover to edges"
"e5cf29aa-2da8-5c04-978c-88c657837ee8","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:2f4fa979-ff3c-4149-a392-16a2624a489a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Overall cage thickness checked and there will be sufficient cover to MF and TF"
"0e902238-d862-5d58-a1c6-dc91e84e1647","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:e8337ee1-4b43-4477-897a-dbee87ff9293","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","There is sufficient cover to rebates around openings or along edge forms"
"1cf871ba-d68e-5200-a94a-ade5d20a3688","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:60e24774-6ebd-4386-b1a7-eea778d30cad","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Weld plates can be fitted to cage in correct locations?"
"e3dbc56c-627c-5e61-ac72-52ed14b2da49","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:b6cb4e1e-70c6-44ed-9da7-8c45faeb52bb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Reinforcing Yard Checks (Reo QA)","Reinforcing details checked/highlighted off against shop drawing (upload photo)"
"288af7d0-cdcc-5eed-8339-f9707b8e7b21","","checkpoint-group","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Formwork Set  Up Checks (Tables QA)"
"05656f7c-43d9-5ac3-a266-d00e26345bc7","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:d40db9c7-f72c-4b19-90ab-3ec27f928208","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Formwork Set  Up Checks (Tables QA)","Sides Straight & Magnets Fastened"
