"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b7eb3f6-9352-4e94-bab2-a71125e703e6","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP1- OOG2"
"a53d382b-c0d9-4d55-98d5-69e2833af591","","checklist-flat","pass","QA - Reinforcing Checklist","checklist-flat","FALSE","FALSE","SP1- OOG2","QA - Reinforcing Checklist"
"9a21c33d-67cf-4b94-bf1f-acff5f2486cb","","checklist-sectioned","pass","QA - Concrete Pour Checklist","checklist","FALSE","FALSE","SP1- OOG2","Concrete Pour for Area:"
"0dae5b7f-2633-411d-b62f-4a753f2b80d3","","checklist-flat","pass","Wall Framing Checks","checklist-flat","FALSE","FALSE","SP1- OOG2","Wall Framing Checks"
"562fb867-6f2f-47d7-8ee9-b6f474ce0d3f","","checklist-flat","pass","ZSYS - Ecoply Sheet Fixing (old version)","checklist-flat","FALSE","FALSE","SP1- OOG2","Ecoply Sheet Fixing"
"88822ddd-8c2c-4daa-96e6-bc3613b60f6c","","checklist-flat","not-started","Doors Checklist","checklist-flat","FALSE","FALSE","SP1- OOG2","Doors"
"f871c276-d2d9-4902-98d0-6876aa268651","","checklist-flat","pass","QA - Structural Steel","checklist-flat","FALSE","FALSE","SP1- OOG2","QA - Structural Steel"
"0c417778-c945-4a0a-b018-87c5e9e20686","","checklist-flat","pass","Bollard Checklist","checklist-flat","FALSE","FALSE","SP1- OOG2","Bollard Checklist"
"c1526798-8686-46e8-90b1-fbc879e4fc0f","","checklist-flat","pass","Fencing Checklist","checklist-flat","FALSE","FALSE","SP1- OOG2","Fencing Checklist"
"5e9867d1-b688-4ca7-9f2b-202371391f1d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2 - Level 2 Lounge Extension and Fire Egress Stairs"
"c4eef445-1249-48aa-8fe8-ca935a6c3237","","checklist-flat","not-started","ZSYS - Ecoply Sheet Fixing (old version)","checklist-flat","FALSE","FALSE","Ecoply Sheet Fixing"
