"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"599f4f8b-22f3-4d0e-b3f3-728ee02a2fd7","","fail","","folder","TRUE","FALSE","Site QA"
"ed704b45-014f-485e-b3ef-3fec5ea2d7b6","","fail","","folder","TRUE","FALSE","Site QA","Doors"
"8df70a0f-179e-4702-8704-0c7c1355c78d","","fail","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)"
"b57776c5-d087-49bd-b43d-1d6eefec67dc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02"
"a37b4d08-ac8e-4274-b240-e2fd385e4550","","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Standard"
"2042c8e7-c547-4937-af95-e909b7e8778e","","pass","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated"
"0de96f13-05c6-4468-86aa-47c3d50e107d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D1"
"6ab702ab-5e7d-45bd-9538-610415e76aeb","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D2"
"4e1f337d-2c6b-4119-9cab-d2c51937fc2d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D3"
"2ae47705-f879-48d7-900a-c23017dbbe2d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D4"
"894536d7-7f0c-4485-8bf0-7c0ded28a31e","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.002.D1"
"a32ad42f-e691-4adc-92d9-f942acd6da7f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.003.D1"
"f5f47ed3-47fa-4c82-9fa2-308988d55b92","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.005.D1"
"0e10c23b-e8f2-4a2f-866c-34dc62a6c0d1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.008.D1"
"3852188a-7a39-47c8-8b55-80396e81eaad","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.009.D1"
"c849e666-a994-40f8-946a-2b7ccaa27e69","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.010.D1"
"343c8712-5501-4b10-8d8f-53be3f5e95b0","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.011.D1"
"e114ff9a-dff9-4773-b17d-76adb0c610f7","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.011.D2"
"574bc5bc-22c1-4233-ab39-a2ec4fb5995b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.012.D1"
"27534bbe-a4ca-4f5e-bfe4-b082ebc5d174","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.013.D1"
"901fea0d-8954-409e-92f4-118d4468a802","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.013.D2"
"ae501809-46ff-4ba4-b064-444cbf434dd1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated","B2.B.014.D1"
"a9ea0a31-b947-4e8a-a28b-4a7f1870914f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01"
"dc305e38-9876-4d2b-b764-ba819809b1a5","","pass","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Standard"
"1c6bfe39-13d8-4103-999f-bad7f8bcad19","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated"
"837f8a2f-2225-41f6-ad31-fabad6d4349c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.063.D1"
"364f51fc-e8f7-4cbf-a88c-00e7d36278a1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.065.D1"
"2f8d8601-b266-48a0-9095-32b87ff83ed6","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.066.D1"
"2146eb8a-2f18-443e-97e1-01a8ea62bc38","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.103.D1"
"5c655d1b-2a66-4b26-ae98-a6fdda476aba","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.104.D1"
"d3d7b586-ea17-43d6-85e6-a8e05622c445","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.105.D1"
