"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dc67c687-3687-4f25-a7fd-bdedb79ede4c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Documentation"
"bf305f5d-cffa-435b-a662-bcc0e497738f","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Sprinkler Control Valve Detail"
"cd6dc9b0-675a-42b5-9bad-345cbddbf37c","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Fire Hydrant Detail"
"33040e6c-732f-44fa-bfb8-7c13354c78f1","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Hose Reel Detail"
"dfc902c7-3ad1-44e9-b978-7d6c33954c8a","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Booster Detail"
"c0abc812-08e4-4825-80ac-bc8d78067e92","","folder-normal","work-in-progress","","step","TRUE","FALSE","Documentation","Penetration Register "
"5fc2dc42-eb93-4824-9a22-de5f5fbbd27b","","checklist-flat","work-in-progress","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Penetration Register ","Penetration Register "
"e2cbf842-15bf-4286-9ada-91efcd689345","","folder-normal","not-started","","step","TRUE","FALSE","Shop Drawings"
"607d308a-a419-4717-a684-8032ff06cb0f","","checklist-flat","not-started","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Shop Drawings","Shop Drawing"
"dc009a2a-1534-4d4b-84be-9eaff64fbd3a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA"
"d63b53b6-f1dd-4371-b3e8-e57f8a3b25b3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels"
"887f2622-159f-40d1-869a-f2c178b2703c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire"
"ff4b6a31-acff-44bd-aec6-f267d442acdc","","checklist-flat","work-in-progress","Pre-start checklist (V.090322)","checklist-flat","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Pre-Start"
"9809bffe-1128-41d9-96fc-4d0eee2c34db","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 1"
"b4784994-fd12-476d-8ab1-fe3ad37e5911","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 1","Sprinkler Installation/Fitoff"
"b1f5d929-e78d-4dfd-912d-eb42526c44c7","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 1","Sprinkler & Hydrant Hydrostatic Test"
"90584d49-dfb5-4120-8391-62a2027a9494","","checklist-sectioned","not-applicable","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 1","Sprinkler Control Valve"
"7c86331f-5cef-4f81-aa3c-0be16d11b4c2","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 1","Hydrant Installation"
"d0cc1a74-1393-4f65-9993-8d26be9e2671","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 1","Hose Reel Installation"
"861c2743-acb0-455f-80f5-2aa764fe3f53","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 2"
"f88a471a-0201-4ea1-a9da-beda70deb1a7","","checklist-sectioned","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 2","Sprinkler Installation/Fitoff"
"02cfdbab-13a8-49f4-a5b1-1f1ea88f3cf6","","checklist-sectioned","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 2","Sprinkler & Hydrant Hydrostatic Test"
"7d59a320-b2b4-4ddb-b8ea-eed69ecb7491","","checklist-sectioned","not-applicable","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 2","Sprinkler Control Valve"
"a8308868-4fb4-4314-bfea-f03c025b796e","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 2","Hydrant Installation"
