"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dcf05f67-0322-41e8-ad70-998e607aa7e5","","folder-normal","","","step","TRUE","FALSE","H&S"
"3bc61d22-173a-4488-a2a7-5d82eea6736c","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 27/9/22"
"59986f29-8ec6-4e04-b64e-f4cb3be5f6f2","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 4/10/22"
"d6b46f39-ccd8-43bc-a509-3053b6019130","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 12/10/22"
"91efe5f5-6111-43eb-93d6-5f238fafa5a7","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 18/10/22"
"15694d13-bab4-4012-aaac-581317f89331","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 26/10/22"
"c4dbc3e8-dca6-46ec-a8c8-8d383f51085c","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 2/11/22"
"60c46f42-f6e5-49d0-a798-534d699e38f7","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 9/11/22"
"e5917a63-4be1-44c3-81e1-00406b50259b","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 15/11/22"
"925e638a-fdd8-4522-85ef-b1f2f185626c","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 23/11/22"
"a7142677-6524-4b56-9e01-83ae1c57bd96","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 28/11/22"
"de0754d9-2013-46c1-adc1-54670d9b207a","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 06/12/22"
"32f99f14-a134-4a8e-a2c1-082aaabf2e17","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 13/12/22"
"d5cc2175-5795-46c5-b2d7-b173b8f271a5","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 10/1/23"
"153284d4-204a-4170-8c93-352b77bc4ce8","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 17/1/23"
"3290394a-d09f-4958-a698-04c4c49953f1","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 24/01/23"
"e9714857-219b-4b23-a101-bb0eb725b58d","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 01/02/23"
"fa57f98a-e54b-46f6-b038-6998d834010f","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 07/02/23"
"ce96c8dc-f326-47aa-a912-695b0b232125","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 16/02/23"
"c4d5d340-0d88-4f6c-8210-b23704c6b4b3","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 21/02/23"
"07e5462c-5d3e-4cac-9897-a3b167437d02","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 1/03/23"
"94b008d0-1177-4b16-9b58-be31624ad636","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 07/03/23"
"c441bb90-fa2c-4bb5-b2cc-8cbe575cd5dc","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 17/03/24"
"7a792699-4149-4186-a1ac-4afe4e85c0b2","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 22/03/23"
"10b2cbd5-1efe-4a84-b84b-3b85fdb856bb","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 30/03/23"
"4f154efa-a434-4f42-acc3-ebf4674a9361","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 04/04/23"
"36c5e612-cf49-4e64-a22f-893577373719","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 12/04/23"
"c88c539e-2885-4043-8140-b40ef80e9ad9","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 19/04/23"
"3d36467f-952e-4cc8-a650-df9d4bae36ed","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 26/04/23"
"6e14ae83-1d7b-4ab1-b456-ecefa5824977","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 04/05/23"
"fe7a0f7f-f9f6-40ff-ae44-84c613a7ff50","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 12/05/23"
"fac53a27-ab07-4217-9f3a-a3408de3651f","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 18/05/23"
"ac2ecfec-6f1d-4c0e-b4a9-49639429cf6b","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 25/5/23"
"8216fcee-bcec-433f-9889-9d7ab1fa17b7","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 02/06/23"
"773f73ed-fba1-4856-92a3-2c61aa63b83a","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 09/06/23"
"22a40283-4da3-4791-893b-2efe5b084ec1","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 15/06/2023"
"d287bdb1-2994-4222-b014-776c87484640","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 21/6/23"
"c8389fd7-ae6e-461a-a76c-90d06e2a7b6c","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 30/6/23"
"beeb3103-da03-433c-a0ab-eb3b984f6076","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 7/7/23"
"c7418191-aac8-4766-b3a0-82d20e254bb5","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 13/7/23"
"c5a3f7f9-db3e-45ee-9792-73c48ba203e3","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 21/7/23"
"5d7f62f1-e437-4f42-a10b-722e4d2e389c","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 28/07/23"
"d4a4587d-e186-4150-ac87-6cb1430bd031","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 04/08/23"
"95f6b95f-bf24-493f-bef8-e14544ced2c3","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 11/08/23"
"65b21287-e1dd-40c7-90ea-7481acf62d5d","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 18/8/23"
"8849ddb2-3d5f-4575-8eb0-a44717bf5af6","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 24/8/23"
"f62ca1ee-07ec-4e08-a032-dd5c44cc9f9a","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 1/09/23"
"f192c6b8-f221-4feb-9e8b-dd83edac137b","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 8/09/23"
"99cd4939-bfb3-4a9d-b7ba-bcde2aa0988c","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 15/09/23"
"aeb4eac8-13bc-4a0a-a14e-f218c3dccda8","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 22/09/2023"
"7c40504a-f396-4298-8a66-1d09b39f442a","","checklist-flat","","H&S - Site Toolbox Checklist","checklist-flat","FALSE","FALSE","H&S","Site Toolbox 29/09/2023"
"3089fc62-e0e9-44d7-a5e4-4689beee8fc0","","folder-normal","","","step","TRUE","FALSE","Site Instruction/Variations"
"3044b6ac-5b0f-4974-95a1-e23caa0099f9","","folder-normal","","","step","TRUE","FALSE","Site Instruction/Variations","Douw's Dayworks "
"dc197ee4-dbed-4997-a666-0bfed1498e65","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG001 - SMGLTD-SI-V-000113 - Transformer door and Louvre"
"816cac92-cdd2-4fb0-9b76-2bd81fa86065","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG002 - SMGLTD-SI-V-000224 - fill in peno`s"
"6431d090-ed82-483f-bda5-04354e003861","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG003- SMGLTD-SI-V-000233"
"503ef1a7-e49c-4a17-86be-fd3228197dae","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG004 - SMGLTD-SI-000382 - Shower mixer studs."
"f9c1336f-4482-40f3-ab54-4aa05c97acca","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG005 - SMGLTD-TRANSMIT-001672. - Cavity sliders Level 3 "
"96a5527d-78c9-4ab5-8d38-42378eb0ba41","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG006 - SMGLTD-SI-000234 - Gib to collums"
"3dab391d-812b-4fc3-b31d-5faff6f3fb0d","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG007 - SMGLTD-SI-V-000266 - Lift roof framing"
"832f3cb0-bb69-4787-8feb-7ac345492c88","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG008 - SMGLTD-SI-V-000263 - Fire rating downpipes"
"86aa308a-b0c0-4a20-8d0a-0e3412bb4fe2","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG009 - SMGLTD-SI-V-000349 Julliet Door Head Adjustment"
"be3c5b90-8ab8-446f-a78d-27e8f3391a94","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG010 - SMGLTD-SI-V-000351 - Steel-IT design changes item 3"
"af7e9a32-09c3-43b9-bbb6-8d48577d9597","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG011 - SMGLTD-SI-V-000351 - Steel-IT design changes item 4"
"88cb3cc7-44cc-489c-8d3a-a4caa27b7977","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG012 - SMGLTD-SI-V-000351 - Steel-IT design changes item 5 Additional fixings too Hip Trusses."
"e16b4028-2a95-4805-90aa-63a64fced3b4","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG013- SMGLTD-SI-V-000350 - Balcony waterproofing detail change  (Level5+6)"
"efac5a26-64c4-45ef-b0c1-e85b51a1c94c","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG014 - SMGLTD-SI-V-000348 - Hold Downs"
"2baddbc3-d112-4e75-8c2a-c61c411ed5ed","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG015a - SMGLTD-SI-V-000370 - Korok remedials "
"506f9e41-aa89-43d0-b3be-6bb6e9da3e65","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG0016 - SMGLTD-RFI-001156 - Ridge Detail"
"fb4c0ea6-f82a-4c65-88c4-4b16eb776476","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG017 - DGSE-CAN-000243 -  Level 7 corridor Gib and beam boxing"
"bf6db3e9-9aeb-4aaf-a8e1-d814cdf57555","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG018- SMGLTD-SI-V-000350 - Balcony waterproofing detail change (Level 7)"
"0f5b2eae-9fa3-4647-a540-aa7226a1d404","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG0019 - SMGLTD-RFI-001156 - Ridge Detail Zone 2 Level7"
"81a6d019-2b44-4eb4-97b9-c62a0e1fb401","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG0020 - DGSE-Transmit-000484"
"9737f92c-879f-4e94-a2a5-b1914bb493bf","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG021 - SMGLTD-SI-V-000370 - Korok remedials"
"93a52a9f-7672-48a8-836f-623ef18373bd","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG022 - DGSE-Transmit-000539-Gable infills for Truss connections on Canopy's."
"26da6aa1-519e-4b9d-93b1-96329de54bcd","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG023-SMGLTD-SI-V-000508-Wedge packer to balcony steel for flashing support"
"2b329c89-69e1-4d7d-8e21-8d5da34e5f87","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG024-SMGLTD-SI-V-000479- Steel IT alterations."
"36e83ef7-fc11-477b-8119-c1584df09eca","","checklist-flat","","SYS - Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG025-SMGLTD-SI-V-000526-Gable cut back and square off"
"855aabbb-af1f-4ab1-91da-d570c54cf201","","checklist-flat","","SYS - Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG026-SMGLTD-SI-V-000489-Timber framing for window water test."
"20ea27ef-120a-42e6-add0-d82647783d9c","","checklist-flat","","SYS - Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG027-SMGLTD-SI-V-000520-Korok fire rating in gables Zone 1&4"
"90629118-11fa-4bc5-ad67-afbe1baa9094","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG028-SMGLTD-SI-V-000479- Steel IT alteration- Gut back gable frame to align with fascia framing"
"cbe3e32b-2e76-45e7-993e-e62b2c0d9078","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG029-SMGLTD-SI-V-000479- Steel IT alterations - Cut T809 andT998. Pack  gable trusses for roof fixings"
"b0339df9-83c2-4efc-8df3-ad1e7e1d05e3","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG030-SMGLTD-SI-V-000479- Steel IT alterations."
"d6f0ec48-d08b-4e50-ab19-1ddcd99eec34","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Douw's Dayworks ","DG031-SMGLTD-SI-V-000572 - Cut back weatherline and nog  L3 East for waterproofing"
"8ac9aa7e-e1bc-44fe-bf14-4b54530fd290","","folder-normal","","","step","TRUE","FALSE","Site Instruction/Variations","Sam's Dayworks"
"9b060f1a-a752-4de1-aed2-09ff90fc0c56","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Sam's Dayworks","SJ#001 - Si-000399 Steel - iT Truss and wall installation (March-April)"
"ce8dd949-9033-43ab-8f41-44552a4932d4","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Sam's Dayworks","SJ#002 - Si-000369 Remove Timber Packer on Juliet Balconies "
"86e10a49-aa5e-421f-8fe7-c2e595afd9cd","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Sam's Dayworks","SJ#003 - Si-V-000291 Remove Fly Bracing on Level 3 Curtain Wall"
"121b2dbe-1408-488e-8563-bf20376316c6","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Sam's Dayworks","SJ#004 - Si-000368 Remove Mouldy Gib Building A"
"594cc626-3ab3-4dcb-8bfe-c6fb14de73e9","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Sam's Dayworks","SJ#005 - Si-000431 Steel - iT Truss and wall installation (April-May)"
"901c380a-ec02-477f-89c9-b76cad1522b3","","checklist-flat","","Add Dayworks Checklist","checklist-flat","FALSE","FALSE","Site Instruction/Variations","Sam's Dayworks","SJ#006 - Si-000341 Steel - iT Truss and wall frame alterations (April-May)"
