type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist-sectioned,ITP-022-CIV-BRUNT-SUBGRADE PREPARATION-GROUND IMPROVEMENT WORKS,itp,,,,Yes,ITP-022-CIV-BRUNT-SUBGRADE PREPARATION-GROUND IMPROVEMENT WORKS,8b3c83f4-9492-4b34-974e-01c36b4b52b5,,,,,,,,,,,
checkpoint-group,1. Referenced Documentation,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-CIV-BRUNT-SUBGRADE PREPARATION-GROUND IMPROVEMENT WORKS,,,,,,,,,,,,,,,,,,
label,ITP Description: BRUNT-SUBGRADE PREPARATION-GROUND IMPROVEMENT WORKS,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 28/02/2023,,,,,,,,,,,,,,,,,,
label,ITP created by: Jason Lee,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,,,,,,,,,,,,
checkpoint-status,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 204,,,,,,,,,,,,,,,,,,
checkpoint-status,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 173,,,,,,,,,,,,,,,,,,
checkpoint-status,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,
checkpoint-group,2. Preliminaries - Materials,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - N/A,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - N/A,,,,,,,,,,,,,,,,,,
label,Method - N/A,,,,,,,,,,,,,,,,,,
label,Frequency - N/A,,,,,,,,,,,,,,,,,,
