type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,ITP-035-STR-Brunt-CFA Piling,itp,,,,Yes,ITP-035-STR-Brunt-CFA Piling,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-035-STR-Brunt-CFA Piling,,,,,,,,,,,,,,,,,,
label,ITP Description: CFA Piling,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,
label,Revision Date: 5/05/2023,,,,,,,,,,,,,,,,,,
label,ITP created by: Yasna Naicker,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 607 March 2015,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 610 June 2019,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 611 November 2018,,,,,,,,,,,,,,,,,,
checkpoint,1.4 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - AS2159-2009,,,,,,,,,,,,,,,,,,
checkpoint,1.5 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - AS3810.1-2015,,,,,,,,,,,,,,,,,,
checkpoint,1.6 - Non Dependent,,,,,,,,,,,,,,,,,,
label,Reference - AS5100.3-2017,,,,,,,,,,,,,,,,,,
section,2. Preliminaries - Materials,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Concrete Mix,,,,,,,,,,,,,,,,,,
note,"Reference - 610.07, Table 610.071",,,,,,,,,,,,,,,,,,
note,Acceptance Criteria - Concrete Mix is Registered with VicRoads.,,,,,,,,,,,,,,,,,,
note,"• Concrete mix meets strength, grade, and maximum aggregate size as detailed on drawings.",,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,
note,Method - Document Review,,,,,,,,,,,,,,,,,,
note,"Frequency - Once, for each mix design, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,,,,,
note,Category - HP,,,,,,,,,,,,,,,,,,
note,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,
note,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,
