Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Overall Progress,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,Basement 5,,Basement 5,,,,,,
,,Basement 4,,Basement 4,,,,,,
,,Basement 3,,Basement 3,,,,,,
,,Basement 2,,Basement 2,,,,,,
,,Basement 1,,Basement 1,,,,,,
,,Ground Floor,,Ground Floor,,,,,,
,,Level 1,,Level 1,,,,,,
,,Level 2,,Level 2,,,,,,
,,Level 3,,Level 3,,,,,,
,,Level 4,,Level 4,,,,,,
,,Level 5,,Level 5,,,,,,
,,Level 6,,Level 6,,,,,,
,,Level 7,,Level 7,,,,,,
,,Level 8,,Level 8,,,,,,
,,Level 9,,Level 9,,,,,,
,,Level 10,,Level 10,,,,,,
,,Level 11,,Level 11,,,,,,
,,Level 12,,Level 12,,,,,,
,,Level 13,,Level 13,,,,,,
,,Level 14,,Level 14,,,,,,
,,Level 15,,Level 15,,,,,,
,,Level 16,,Level 16,,,,,,
,,Level 17,,Level 17,,,,,,
,,Level 18,,Level 18,,,,,,
,,Level 19,,Level 19,,,,,,
,,Level 20,,Level 20,,,,,,
,,Roof,,Roof,,,,,,
,Columns,,,,,,,,,
,,"Duct installed, sealed up & levelled",,"Duct installed, sealed up and levelled",,,,,,
,,Duct capped & sealed from weather,,Duct capped and sealed from weather,,,,,,
,,Over flashings on roof penetrations correctly installed & sealed,,Over flashings on all roof penetrations correctly installed and sealed,,,,,,
,,Cooling towers installed correctly,,Cooling towers installed correctly,,,,,,
,,Chemical dosing piped up & tested,,Chemical dosing piped up and tested,,,,,,
,,Heat pump boilers installed correctly,,Heat pump boilers installed correctly,,,,,,
,,Pumps installed & levelled up correctly,,Pumps installed and levelled up correctly,,,,,,
,,"Condenser water pipes installed, labelled & pressure tested",,"Condenser water pipes installed, labelled and pressure tested",,,,,,
,,Fan installed correctly,,Fan installed correctly,,,,,,
,,Check fan direction is correct,,Check fan direction is correct,,,,,,
,,Volume control & non-return dampers installed,,Volume control and non-return dampers installed,,,,,,   
,,Grilles & OBD’s installed,,Grilles and OBD’s installed,,,,,,
,,Volume control dampers installed,,Volume control dampers installed,,,,,,
,,Fire dampers installed & tested,,Fire dampers installed and tested,,,,,,
,,Fire penetrations & fire caulking completed,,Fire penetrations and fire caulking completed,,,,,,
,,Fire penetrations labelled & documented,,Fire penetrations labelled and documented,,,,,,
,,Lobby A/C correctly installed,,Lobby A/C correctly installed,,,,,,
,,Ground Floor – All A/C correctly installed,,All A/C correctly installed,,,,,,
,,A/C drain installed & tested,,A/C drain installed and tested,,,,,,
,,Ground Floor – A/C drains installed & tested,,A/C drains installed and tested,,,,,,
,,Lobby A/C drains installed & tested,,Lobby A/C drains installed and tested,,,,,,
,,Linear grilles installed with foam on boxes to avoid leakage,,Linear grilles installed with foam on boxes to avoid leakage,,,,,,
,,Condenser water pipes installed & pressure tested,,"Condenser water pipes installed, and pressure tested",,,,,,
,,Fans installed correctly,,Fans installed correctly,,,,,,
,,Fan direction is correct,,Fan direction is correct,,,,,,
,,MSSB installed,,MSSB installed,,,,,,
,,Roof - MSSB’s installed,,MSSB’s installed,,,,,,
,,Roof cleaned,,Roof cleaned,,,,,,
,,Builders works completed,,Builders works completed,,,,,,
