Type,Id,Name,Values,Prompting Name,Resource Id
checklist,,Tiling ITP,,Tiling ITP,7291579c-a02b-4384-9614-e2f46b21106b
section,,1. Check Drawing,,,
checkpoint,,"Confirm Drawing, specification and revision #",,,
note,771fc7c6-0533-5961-8aab-5f30ea7af078,Inspection: admin,,,
dropdown,708d54f9-7e7d-58dc-a948-ba39b5b8959d,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
section,,2. Substrate Prep - Wall,,,
checkpoint,,Inspect for wall quality to accept tiles and ensure that substrate free from debris,,,
note,3e04e220-7381-59db-a8bb-ee315341237b,Inspection: visual,,,
dropdown,28163313-12a9-53f7-bb7f-5a9e21d6f356,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Clean and dry,,,
note,867a744f-89fb-5344-b051-a7b624bf8ce6,Inspection: visual,,,
dropdown,651bb41a-dfa2-5a77-9d57-38046c98385c,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Joints Sealed,,,
note,28ecc26a-42ec-5f85-8dd5-c6d52a2928bb,Inspection: visual,,,
dropdown,8418f01f-3d4a-59cd-9629-e291963f6fa6,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
section,,3. Substrate Prep - Floor,,,
checkpoint,,Inspect concrete substrate free from debris Cracks >0.2mm to be filled with Polyurethane,,,
note,2a192dec-27eb-5c8c-9132-c8fe70a34be3,Inspection: visual,,,
dropdown,71fe2ba5-0f3c-589a-8141-06b03b1ee4c3,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Clean and dry,,,
note,45867f06-16cf-5329-aab2-9b013c5ab1dd,Inspection: visual,,,
dropdown,de2f9c30-c4d1-59e3-a6f1-a58b93f94590,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
section,,4. Tile Termination Points,,,
checkpoint,,Locate termination points and set for Angle location at door entry.,,,
note,20536554-c674-5bae-a156-b4e1b154b6a2,Inspection: visual / setout / laser,,,
dropdown,f974d1e8-b072-50cc-93e5-9a42650fe874,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Set angle / termination points under door leaf,,,
note,ec4b83c5-8f47-509b-a4a3-f9b472a26e50,Inspection: visual / setout / laser,,,
dropdown,a15327ea-fd7b-50ba-a8cb-4e82393cbf3e,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Correct RL as per architectural drawings,,,
