"Type","Id","Name","Values","Prompting Name","Usage Count","Resource Id"
"checklist",,"Add Time Sheet","","Time Sheet",0,"640c4356-14f2-40dc-8718-f3b7ed911fa4"
"section",,"Time Sheet",,,,
"checkpoint-no-value",,"Details",,,,
"date","358a9b47-ead9-5456-a1e1-ae811ee71b71","DATE:",,,,
"textbox","d73a027e-5c90-51d3-9784-3b0a684741bf","CLIENT:",,,,
"textbox","e62e95ab-9f04-5ebe-97f6-afd04857ca8f","SITE:",,,,
"textbox","70eff495-beac-57d1-91a6-7af04287f686","SITE INST. NO:",,,,
"checkpoint-no-value",,"DETAILS OF WORKS",,,,
"textbox","ed27d601-4483-56bf-b174-18b16c776384","Description of works carried out:",,,,
"textbox","dc12f911-273f-5fe2-b541-b2135d71d9af","Reasons for works that have been carried out:",,,,
"textbox","f07ec8bc-0c35-5373-aeac-06b9024f91a5","Areas where works have been carried out:",,,,
"checkpoint-no-value",,"Photo of area before works carried out",,,,
"checkpoint-no-value",,"Photo of area after works carried out",,,,
"checkpoint-no-value",,"LABOUR",,,,
"textbox","1ea12a43-9dfd-524f-8604-a708c032e591","(1) Dates:",,,,
"number","46db3fec-8a9c-5e31-9844-669bfc657069","(1) HOURS",,,,
"textbox","0f36567e-c9d5-5829-a961-98f8017df139","(2) Dates:",,,,
"number","2438ce9b-9eda-5355-8f66-032858081eff","(2) HOURS",,,,
"textbox","5bf328b0-b66d-57db-9bf0-12cd47868b96","(3) Dates:",,,,
"number","0f33c82c-e0bf-5d14-8e4d-ad0c21887fae","(3) HOURS",,,,
"textbox","37665a02-e163-568c-96e5-487c48d5ec3d","(4) Dates:",,,,
"number","50f58fb9-a620-5bf9-be5a-4156a407c782","(4) HOURS",,,,
"textbox","2102b37a-af2b-5569-86c6-187be10a90d7","(5) Dates:",,,,
"number","18a81e8e-40ae-5778-85ee-82fc1bc04f00","(5) HOURS",,,,
"textbox","6d905afa-d698-59cc-ba62-5496e5315cba","(6) Dates:",,,,
"number","d9ac01ea-f819-53c6-b59a-774dea903e19","(6) HOURS",,,,
"checkpoint-no-value",,"MATERIALS",,,,
"textbox","c1b7e367-227c-5bd7-9310-ba3f5894c07d","(1) MATERIAL USED",,,,
"number","a6565112-e2ed-545a-bfb7-6e35b1dc18ca","(1) QTY",,,,
"textbox","60820fde-1b46-5fa8-bc93-9ba3f40adf02","(2) MATERIAL USED",,,,
"number","18bf9512-d503-5d62-915b-b9a210dbd0e8","(2) QTY",,,,
"textbox","af4a4381-9318-5260-a6b6-e88942a13c43","(3) MATERIAL USED",,,,
"number","2548040c-251a-5a6a-9cb4-dbe8c3e99d57","(3) QTY",,,,
"textbox","8c799498-3036-5ddb-902e-53765a81737f","(4) MATERIAL USED",,,,
"number","c61dc077-2c0a-5a9f-84a6-8dd1dc276f38","(4) QTY",,,,
"textbox","357e4401-c30c-5745-9477-31b11b859fea","(5) MATERIAL USED",,,,
"number","7c5b5ea8-c194-5b56-a65f-5d87d92ec5d2","(5) QTY",,,,
"textbox","44036c4b-0b2f-597e-9b8d-7df90681da86","(6) MATERIAL USED",,,,
"number","b9a0fa8c-effa-5361-aa4b-e896fc6ad9c7","(6) QTY",,,,
"checkpoint-no-value",,"ACCEPTANCE",,,,
"note","d1b8bac4-f705-51ae-9022-52a9b3e699d9","Teammembers Project P/L",,,,
"textbox","2107e0ee-5b3c-5b98-8081-91c5c593d719","NAME",,,,
"signoff",,"SIGNATURE",,,,

