Type,Id,Name,Values,Prompting Name,Resource Id
checklist,,Tiling ITP,,Tiling ITP,c10325bf-6961-4230-af7c-9f185e8272d7
section,,1. CHECK DRAWING,,,
checkpoint,,"Confirm current drawing, specification and revision #",,,
note,bd9c64e1-3a92-5782-9e79-03c7e31f70f6,Inspection: admin,,,
dropdown,c185029d-cf35-5061-911f-48d4b1a8a1cd,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
section,,2. SUBSTRATE PREP - WALL,,,
checkpoint,,Inspect for wall quality to accept tiles and ensure that substrate free from debris,,,
note,4a9f1ff6-8bac-5280-a5e3-8d707b9b3e7b,Inspection: visual,,,
dropdown,7ab598c9-0651-5ab2-ae7a-99b797cd0aa5,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Clean and dry,,,
note,89c02653-cf6c-5f89-afe3-a046ed38a386,Inspection: visual,,,
dropdown,0eab6321-e88a-5db7-ad55-739e215ec53b,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Joints set and sealed,,,
note,c7df2387-679d-5b4a-a025-0432e33bbda1,Inspection: visual,,,
dropdown,eec84e6d-e662-5951-a7f7-d2efa4657547,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
section,,3. SUBSTRATE PREP - FLOOR,,,
checkpoint,,Check FFL from substrate,,,
note,5835b391-8e86-56ee-8af3-3ccb17983db4,Inspection: laser / visual,,,
dropdown,5c6a2be6-2ba6-597f-93fe-15f366657737,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Check angle termination position,,,
note,4cdcc87e-0908-5739-b9f6-0cc4a75bad8c,Inspection: visual,,,
dropdown,9f061ae1-2153-5c3d-a77d-0385c278416d,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
section,,4. SAND & CEMENT BEDDING,,,
checkpoint,,Floorwastes protected to prevent debris entering into drains with compressible sponges,,,
note,0ea88692-194c-5e8d-91c9-16110125be9e,Inspection: visual,,,
dropdown,35c61f09-4ed3-58a2-a1ec-0ba95a79301e,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang,Joe Cho",,
checkpoint,,Falls to waste as per drawing / isolate falls to waste,,,
note,ccd5f3ec-0446-5a22-847b-f96ab7d1e2b6,Inspection: visual,,,
