type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
checklist,ITP007 – Pavement Grooving,itp,,,,Yes,ITP007 – Pavement Grooving,,,,,,,,,
section,"1. Preliminary Activities – Permits, Documentation, Approvals, Survey Documentation",,,,,,,,,,,,,,,
checkpoint,1.1 - Check for correct documentation,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,,,,,,,,,
label,Acceptance Criteria - Current revision drawing is being used including the Subcontractor’s copy. Current revision to be obtained via Aconex.,,,,,,,,,,,,,,,
label,Reference Documents - Drawings and drawing registers on Aconex,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Visual inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,Responsibility - Project Engineer,,,,,,,,,,,,,,,
checkpoint,1.2 - Implementation of all measures and controls,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,,,,,,,,,
label,"Acceptance Criteria - All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, SWMS & WP",,,,,,,,,,,,,,,
label,"Reference Documents - PSP, EMP, TMP, SWMS, WP",,,,,,,,,,,,,,,
label,Inspection/ Test Method - Visual Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,Responsibility - Project Engineer,,,,,,,,,,,,,,,
checkpoint,1.3 - Definition of the work area,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,,,,,,,,,
label,Acceptance Criteria - Work area has been cleared and surveyed (marked on site). Limits of work clearly defined.,,,,,,,,,,,,,,,
label,Reference Documents - Drawings,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Visual Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,Responsibility - Project Engineer,,,,,,,,,,,,,,,
checkpoint,1.4 - Grooving Machine,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing any activity,,,,,,,,,,,,,,,
label,Acceptance Criteria - Details of proposed grooving machines to be submitted to Contract Administrator for approval.,,,,,,,,,,,,,,,
label,Reference Documents - Cl 20.3,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Verify,,,,,,,,,,,,,,,
label,Record of conformity - Aconex Correspondence,,,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,,,
label,Responsibility - Project Engineer Principal’s Representative,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,
section,2. Grooving,,,,,,,,,,,,,,,
checkpoint,2.1 - Pavement Conditions,,,,,,,,,,,,,,,
