"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"SP1 - Zone 1 North - Stage 1","dynamic","sp1","zone 1 north - stage 1"
,,"SP1 - Zone 1 North - Stage 2","dynamic","zone 1 north - stage 2","sp1"
,,"SP1 - Zone 1 South - Stage 1","dynamic","sp1","zone 1 south - stage 1"
,,"SP1 - Zone 1 South - Stage 2","dynamic","sp1","zone 1 south - stage 2"
,,"SP1 - Zone 2 North - Stage 1","dynamic","sp1","zone 2 north - stage 1"
,,"SP1 - Zone 2  North - Stage 2","dynamic","sp1","zone 2  north - stage 2"
,,"SP1 - Zone 2 South - Stage 1","dynamic","zone 2 south - stage 1","sp1"
,,"SP1 - Zone 2  South - Stage 2","dynamic","sp1","zone 2  south - stage 2"
,,"SP1 - Zone 3 North - Stage 1","dynamic","sp1","zone 3 north - stage 1"
,,"SP1 - Zone 3 North - Stage 2","dynamic","sp1","zone 3 north - stage 2"
,,"SP1 - Zone 3 South - Stage 1","dynamic","sp1","zone 3 south - stage 1"
,,"SP2 - Stage 1","dynamic","sp2","stage 1"
,,"SP2 - Stage 2","dynamic","sp2","stage 2"
,,"SP2 - Stage 3","dynamic","sp2","stage 3"
,,"SP2 - Stage 4","dynamic","sp2","stage 4"
,,"SP2 - TEMP WORKS","dynamic","sp2","temp works"
,"Columns"
,,"SECTION 1 – EARTHWORKS SUBGRADE",,"section 1 – earthworks subgrade"
,,"SECTION 1 – PRE-CONSTRUCTION - MATERIAL, PERSONNEL & THIRD PARTY APPROVALS",,"section 1 – pre-construction - material, personnel & third party approvals"
,,"SECTION 1 – PRE-CONSTRUCTION (P&G/ESTABLISHMENT)",,"section 1 – pre-construction (p&g / establishment)"
,,"SECTION 1 – PRE-CONSTRUCTION HOLD POINTS",,"section 1 – pre-construction hold points"
,,"SECTION 1 – PRE-CONSTRUCTION HOLD POINTS (MATERIAL TESTING & APPROVALS)",,"section 1 – pre-construction hold points (material testing & approvals)"
,,"SECTION 1 – PRE-CONSTRUCTION HOLD POINTS (MATERIAL & THIRD PARTY APPROVALS)",,"section 1 – pre-construction hold points (material & third party approvals)"
,,"SECTION 1 – PRE-CONSTRUCTION HOLD POINTS - MATERIAL, PERSONELL & THIRD PARTY APPROVALS",,"section 1 – pre-construction hold points - material, personell & third party approvals"
,,"SECTION 1 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL",,"section 1 – material, personnel & third party approval"
,,"SECTION 2 – CONSTRUCTION ACTIVITY",,"section 2 – construction activity"
,,"SECTION 2 – CONSTRUCTION ACTIVITY - LANDSCAPING",,"section 2 – construction activity - landscaping"
,,"SECTION 2 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL",,"section 2 – material, personnel & third party approval"
,,"SECTION 2 – PRE-CONSTRUCTION - MATERIAL, PERSONNEL & THIRD PARTY APPROVAL",,"section 2 – pre-construction - material, personnel & third party approval"
,,"SECTION 2 – SITE WON LANDSCAPING FILL",,"section 2 – site won landscaping fill"
,,"SECTION 2 – SUBSOIL DRAINS",,"section 2 – subsoil drains"
,,"SECTION 2 – CONSTRUCTION - STRUCTURAL FILL ON BERM AREA",,"section 2 – construction - structural fill on berm area"
,,"SECTION 2 – CONSTRUCTION - CUT SUBGRADE TESTING",,"section 2 – construction - cut subgrade testing"
,,"SECTION 2 – CONSTRUCTION - SUBSOIL DRAINS",,"section 2 – construction - subsoil drains"
,,"SECTION 2 - CONSTRUCTION OF UNBOUND AP20 LAYER",,"section 2 - construction of unbound ap20 layer"
,,"SECTION 3 – CONSTRUCTION ACTIVITIES - BLINDING & PRE-CAST POUR",,"section 3 – construction activities - blinding and pre-cast pour"
,,"SECTION 3 – CONSTRUCTION ACTIVITY",,"section 3 – construction activity"
,,"SECTION 3 – CONSTRUCTION - UNDERCUT TO WASTE & BACKFILL",,"section 3 – construction - undercut to waste & backfill"
,,"SECTION 3 – CONSTRUCTION : PLACEMENT OF GEOGRID AND GEOTEXTILE FABRIC",,"section 3 – construction : placement of geogrid and geotextile fabric"
,,"SECTION 3 – SETTLEMENT INSTALLATION & MONITORING",,"section 3 – settlement installation & monitoring"
,,"SECTION 3 – CUT SUBGRADE TESTING",,"section 3 – cut subgrade testing"
,,"SECTION 3 – PLACEMENT OF GEOGRID & GEOTEXTILE FABRIC",,"section 3 – placement of geogrid and geotextile fabric"
,,"SECTION 3 – CONSTRUCTIN - PLACEMENT OF GEOGRID AND GEOTEXTILE FABRIC",,"section 3 – constructin - placement of geogrid and geotextile fabric"
,,"SECTION 3 – POST CONSTRUCTION (HANDOVER)",,"section 3 – post construction (handover)"
,,"SECTION 3 – POST CONSTRUCTION (FINAL INSPECTION AND HANDOVER)",,"section 3 – post construction (final inspection and handover)"
,,"SECTION 3 – PRE-CONSTRUCTION HOLD POINTS",,"section 3 – pre-construction hold points"
,,"SECTION 3 – PRE-Construction - MATERIAL, PERSONELL & THIRD PARTY APPROVALS",,"section 3 – pre-construction - material, personell & third party approvals"
,,"SECTION 3 – CONSTRUCTION - SITE WON LANDSCAPING FILL",,"section 3 – construction - site won landscaping fill"
,,"SECTION 3 – CONSTRUCTION - 10Mpa LEAN MIX CONCRETE",,"section 3 – construction - 10mpa lean mix concrete"
