"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"599f4f8b-22f3-4d0e-b3f3-728ee02a2fd7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"8df70a0f-179e-4702-8704-0c7c1355c78d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Zone A (Building B)"
"b57776c5-d087-49bd-b43d-1d6eefec67dc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Basement 02"
"a37b4d08-ac8e-4274-b240-e2fd385e4550","","checklist-sectioned","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Standard"
"2042c8e7-c547-4937-af95-e909b7e8778e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated"
"0de96f13-05c6-4468-86aa-47c3d50e107d","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D1"
"6ab702ab-5e7d-45bd-9538-610415e76aeb","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D2"
"4e1f337d-2c6b-4119-9cab-d2c51937fc2d","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D3"
"2ae47705-f879-48d7-900a-c23017dbbe2d","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.001.D4"
"894536d7-7f0c-4485-8bf0-7c0ded28a31e","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.002.D1"
"a32ad42f-e691-4adc-92d9-f942acd6da7f","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.003.D1"
"f5f47ed3-47fa-4c82-9fa2-308988d55b92","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.005.D1"
"0e10c23b-e8f2-4a2f-866c-34dc62a6c0d1","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.008.D1"
"3852188a-7a39-47c8-8b55-80396e81eaad","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.009.D1"
"c849e666-a994-40f8-946a-2b7ccaa27e69","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.010.D1"
"343c8712-5501-4b10-8d8f-53be3f5e95b0","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.011.D1"
"e114ff9a-dff9-4773-b17d-76adb0c610f7","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.011.D2"
"574bc5bc-22c1-4233-ab39-a2ec4fb5995b","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.012.D1"
"27534bbe-a4ca-4f5e-bfe4-b082ebc5d174","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.013.D1"
"901fea0d-8954-409e-92f4-118d4468a802","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.013.D2"
"ae501809-46ff-4ba4-b064-444cbf434dd1","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated","B2.B.014.D1"
"a9ea0a31-b947-4e8a-a28b-4a7f1870914f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Basement 01"
"dc305e38-9876-4d2b-b764-ba819809b1a5","","checklist-sectioned","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Standard"
"049ad012-cf05-4070-95c4-41c587d6f3ac","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Basement 01","Lead Lined"
"17f25690-57ff-41b1-a05b-cb6283dcd2fb","","checklist-sectioned","not-started","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Lead Lined","B1.B.111.D1"
"1c6bfe39-13d8-4103-999f-bad7f8bcad19","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated"
"837f8a2f-2225-41f6-ad31-fabad6d4349c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.063.D1"
"364f51fc-e8f7-4cbf-a88c-00e7d36278a1","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.065.D1"
"2f8d8601-b266-48a0-9095-32b87ff83ed6","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.066.D1"
"2146eb8a-2f18-443e-97e1-01a8ea62bc38","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.103.D1"
"5c655d1b-2a66-4b26-ae98-a6fdda476aba","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.104.D1"
"d3d7b586-ea17-43d6-85e6-a8e05622c445","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.105.D1"
"e6cc034c-03ee-49b1-9867-650ee41fb09c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.125.D1"
"f795bc2c-c49f-46fc-8036-8219c0d03aa2","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.129.D1"
"ef76b1e1-0666-4b60-9039-cec7a52b6ead","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.129.D2"
"f1d047ea-40a2-41b1-9da8-a588877844ae","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.129.D3"
"7a94de96-ebcf-4011-a852-4c54662c4499","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.130.D1"
"4f855c20-9580-43bf-87f7-f61245d65171","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.130.D2"
"7d6f4370-a484-43d5-9198-d44035e351b4","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.131.D1"
"57fce537-42a0-45e7-9a91-086833efc768","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.131.D2"
"4f7ff7fe-501f-44be-be12-9b8ca39e14d3","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.132.D1"
"3e33a02e-2e82-4110-bb5c-4070f0c77e98","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.132.D2"
"de800cc4-2c5b-4690-8f00-d9af4a3d90a5","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.136.D1"
"03244334-0ea5-4348-965b-7b7e415603b8","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.139.D1"
"171fe9b4-7e92-4c77-86b0-ec4f1c046b5a","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.139.D2"
"5d485239-ec7e-45a1-a35f-a681ac52cde3","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.140.D1"
"99577709-0942-44a8-a784-cf49925f02e5","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.151.D1"
"e3465cbe-f4d4-4628-9a55-333c5183f641","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.152.D1"
"9c6e275d-27e7-4f75-b6fe-82344ff917b2","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.152.D2"
"57dd4d9c-8688-4710-af04-f52e1ef8b35a","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.158.D1"
"5fda0086-717b-4384-b743-ba7ec692dfb7","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.159.D1"
"ee2b579d-1b24-47d4-af4f-cd426629246a","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.159.D2"
"1289adaa-e09d-43e8-95f5-84cfb9a6a4ba","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.161.D1"
"de54f444-7845-4a35-ba6e-8c94494fb260","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.161.D2"
"491b079d-a9bf-4f57-9adb-5bc1848bcd48","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.164.D2"
"1062371e-3543-4166-983c-d08787a03b27","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.164.D4"
"8d954209-11a3-4129-9a30-b481dc1d32dd","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.165.D2"
"39f2a64d-d998-433b-bb53-4ce54e62efb2","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.172.D1"
"3e849e3e-9f7c-402b-9368-8ebf985722a2","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.173.D1"
"089399ca-14ba-4f44-b15d-e9efef0574dd","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.174.D1"
"9911d7a0-3514-4ab9-8cb1-610d495bb1e8","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.176.D1"
"cab54bc3-3127-4e6f-8085-1a6396ef9ca8","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.177.D1"
"5ebe31fd-d81a-43d1-bc13-2bfbe76ceba3","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.178.D1"
"2cad150e-bde6-4436-aecd-cac96b29757d","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.179.D1"
"136a667e-5a75-45b4-be0f-eac26b7132fc","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.181.D1"
"d4e0b12d-fae8-4a8e-b6f4-615646a284de","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.181.D2"
"ca62824e-bf44-4d0f-a58d-4a58625cb1c7","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.182.D1"
"844b2494-2be3-4d09-8834-b507925b7157","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.182.D2"
"b3dcd08f-992b-4097-a8bb-c5c02750ac83","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.184.D1"
"9d5100df-c02d-4b55-b8b5-ccfa48cb7e6e","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.185.D1"
"1f258561-6c47-4282-8d89-80991af3996e","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.185.D2"
"f0fdf2d3-fc5f-47bd-938d-133fc7066bd1","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.185.D3"
"44b6309b-9655-4b65-96ae-4bb80735704c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.187.D1"
"05e5974c-e9c7-49f8-a7e4-af2b35caf723","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.192.D1"
"bacebb56-de04-4c78-9ab5-0a151a346912","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.196.D1"
"9c52c481-7dcd-40d7-af46-b9fd7ef878b2","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.202.D1"
"380db39b-8232-4722-94cb-823a1a20c4df","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.202.D2"
"03cf22a7-ebff-4e11-91e1-ee89fe42fa95","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.202.D3"
"0edd0985-ae62-4171-9994-07f2232cc5df","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.203.D1"
"5c91f2bd-18d5-42a1-9f16-54be9b85e6f1","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.203.D2"
"532c36dc-161a-44fd-b14a-6a29b653be7c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.203.D3"
"8b36f22c-1e74-4e92-a431-d96562a7fcb9","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.204.D1"
