"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"85d4133d-8800-4c3e-b871-577cc9ab0a46","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"cdc311dc-72da-5aa1-bfcc-0d7e01d3f989","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"53ef8565-564c-5c90-8dcf-5795f4dc64e7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"3c2daaa4-19db-50da-b6c0-9b346cda75f9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"ae8ecdd4-a0af-5704-942b-a3a9c3f16b46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"a16198d9-cd06-5035-8902-42adac6f41c0","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"fdefab4b-f342-59b8-9c6f-3ce5b86abe69","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"ce7a483e-c0ee-4204-a563-3e398f17b1c4","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"b1835d45-c1b1-407f-a642-781e927d0bc8","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System"
"045e3414-e79f-4d55-9193-2562e9a55ab6","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01"
"d17337f9-6c79-49ca-9c96-898c49006db5","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Pre-Fit Off Checklist"
"94a6501f-b11f-5e60-b855-126e30e2e761","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"bd0f1801-d339-591d-bd5d-804de651237e","","holdpoint","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Pre-Fit Off Checklist","EMAIL PM"
"34d0e0c1-469c-556e-a4b3-58a253648d3b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"95ae6153-b376-41da-bfce-568bfadfdbe8","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Rail Checklist - UNRail 01"
"39318472-d0d1-58d5-b3fd-ab7fdf9de04e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Rail Checklist - UNRail 01","Photo taken of Engraved Line Plate / ID Tag"
"4fe63437-e26e-551c-9687-e7542f851e13","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Rail Checklist - UNRail 01","Video taken of system"
"93a7fa2c-b806-55a2-89dc-15eeea9a4314","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Rail Checklist - UNRail 01","Description input of location / person Rail systems shuttle left with"
"9c68622d-cb85-5b7e-bb8d-b64c4b58faaa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Rail Checklist - UNRail 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"e1f45260-bdf1-4723-9b74-e721661d0401","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02"
"9295baaf-88dc-44dc-b910-98bed6b8bb37","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Pre-Fit Off Checklist"
"e2a27ae8-89d1-5f19-88f3-42e305d27efe","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"94683451-17a9-5ec4-bc41-4d0f7fb3d492","","holdpoint","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Pre-Fit Off Checklist","EMAIL PM"
"a7aff6b8-7bad-5d9a-b7dc-0b7b918e2040","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
