type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-286-PSSD-Tactile Installation,itp,,,,,ITP-286-PSSD-Tactile Installation Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-286-CIV-PSSD-Tactile Installation,,,,,,,,,,,,,,
label,ITP Description: PSSD-Tactile Installation,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 286-CIV,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 16/06/2025,,,,,,,,,,,,,,
label,ITP created by: Laclan Shoemaker,,,,,,,,,,,,,,
label,ITP approved for use by: Romualdo Magpantay,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: AS1428.4.1,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 160.A9,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,2.1 Material Conformance,,,,,,,,,,,,,,
label,REFERENCE: AS1428.4.1 Section 2.2 & 2.3.1,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Tactile Indicators must conform with the requirements of AS1428.1.1 Section 2.2 & 2.3.1,,,,,,,,,,,,,,
label,○ Attach: TeamBinder Material Approval Ref No,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Prior to works start,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Conqa HP Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
section,Preliminaries - Documentations,,,,,,,,,,,,,,
checkpoint,3.1 Documentation Conformance,,,,,,,,,,,,,,
label,REFERENCE: DoT Handover Process,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Tactile to be black in colour, VicRoads approved as per design note RDN 06-05 and DDA Compliant",,,,,,,,,,,,,,
label,METHOD: Visual & Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Prior to works start,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,
checkpoint,4.1 Survey Set-out,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The required positions of the tactiles are clearly set out by a surveyor as per IFC Drawings.,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual",,,,,,,,,,,,,,
label,FREQUENCY: Per Lot,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE/Site Supervisor",,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Construction / Installation Activities,,,,,,,,,,,,,,
checkpoint,5.1 Installation,,,,,,,,,,,,,,
label,REFERENCE: AS1428.4.1 Section 2.3.3,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Notify Nominated Authority prior to installation.,,,,,,,,,,,,,,
label,Warning indicators shall be installed as follows: ,,,,,,,,,,,,,,
label, (a) For the full width of the path of travel ,,,,,,,,,,,,,,
label, (b) Perpendicular to the direction of travel when approaching the hazard. ,,,,,,,,,,,,,,
label, (c) Set back 300 +/-10 mm from the edge of the hazard except at railway platforms and wharves. ,,,,,,,,,,,,,,
label," (d) Where integrated warning TGSIs need to be detected by a person approaching at an angle to the continuous accessible path of travel, the TGSIs shall be arranged as shown in Figure 2.1 below, over a minimum depth of 600 mm to 800 mm from the direction of approach. ",,,,,,,,,,,,,,
label," (e) Where discrete warning TGSIs are used over a depth of 300 mm to 400 mm, the arrangement shall be as shown in Figure 2.1 below with a minimum of 6 discrete truncated cones in the direction of travel. ",,,,,,,,,,,,,,
label," (f) Where discrete warning TGSIs need to be detected by a person approaching at an angle to the continuous accessible path of travel, the TGSIs shall be arranged as shown in Figure 2.1 below with a minimum of 12 discrete truncated cones in the direction of travel. ",,,,,,,,,,,,,,
label,"○ Where required on a path of travel, warning indicators shall be located at both the top and bottom of stairways, ramps, escalators and moving walks",,,,,,,,,,,,,,
label,METHOD: Visual/Site Inspection & Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Per Lot,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Conqa HP Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,5.2 Laboratory and On-site measurement of luminance contrast,,,,,,,,,,,,,,
label,REFERENCE: AS1428.4.1 Appendix E,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Submit Test report to AS1428.4.1 E5.4: The following shall be reported: ,,,,,,,,,,,,,,
label, (a) Full description of the surfaces tested with product details where known. ,,,,,,,,,,,,,,
label, (b) The instrument being a luminance meter with a 1° measurement area corrected to approximate the CIE 1931 Standard Observer. ,,,,,,,,,,,,,,
label," (c) The location of the sample, if on-site. ",,,,,,,,,,,,,,
label, (d) The location of the sample of the measurements on the TGSI. ,,,,,,,,,,,,,,
label," (e) A description of the light source(s) illuminating the sample, including type, [e.g. fluorescent tube, incandescent, high pressure sodium discharge, metal halide, and colour (in general terms)]. ",,,,,,,,,,,,,,
label, (f) The mean luminous reflectance of the adjacent surrounds to the tactile indicator under the conditions set out in Paragraph E5.3 ,,,,,,,,,,,,,,
label, (g) The mean luminous reflectance of the tactile indicator under the conditions set out in Paragraph E5.3 ,,,,,,,,,,,,,,
label, (h) The luminance contrast with the surrounds on both sides of the tactile indicator. ,,,,,,,,,,,,,,
label," (i) A reference to this test method, i.e., AS/NZS 1428.4, Paragraph E5, Appendix E.",,,,,,,,,,,,,,
label,○ Attach: Laboratory Test report,,,,,,,,,,,,,,
label,METHOD: Visual/Site Inspection & Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Per Lot,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,5.3 Distance between tactiles and sleeve,,,,,,,,,,,,,,
label,REFERENCE: DoT Handover Process,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Distance between tactile and sleeve to be a minimum of 300mm as per note 1 of the Handover Process,,,,,,,,,,,,,,
label,"METHOD: Visual Inspection, Measure",,,,,,,,,,,,,,
label,FREQUENCY: Per Lot,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Post-construction / Post-installation Activities,,,,,,,,,,,,,,
checkpoint,6.1 As-built Survey,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings VR 160.A9,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: As-constructed’ information shall be progressively documented during the work under the Contract and shall be provided to the Superintendent in a neat and clean format Attach: Survey As-built / Survey Report,,,,,,,,,,,,,,
label,○ Attach: Survey Conformance Data/Report,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Per Lot,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,6.2 Non-conformance Report (NCR) Closure,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ensure that any NCRs pertaining to the lot / element / Work area that this ITP covers, have been closed.",,,,,,,,,,,,,,
