type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
checklist,ENT-001 - Inspection and Test Plan Schedule,,,,,,ENT-001 - Inspection and Test Plan Schedule,,,,,
section,Design,,,,,,,,,,,
checkpoint,Hydraulic Calculations,,,,,,,,,,,
label,Works By: Entire ,,,,,,,,,,,
label,Entire: Review/Approve & Submitted,,Gaseous System Design,,,,,,,,,
label,Consulting Engineer: Review/Approve,,Fire Electrical Detection,,,,,,,,,
label,Builder: Review/Approve,,,,,,,,,,,
label,Acceptance Criteria: AS:2118,,,,,,,,,,,
checkpoint,Gaseous System Design,,,,,,,,,,,
label,Works By: Entire ,,,,,,,,,,,
label,Entire: Review/Approve & Submitted,,,,,,,,,,,
label,Consulting Engineer: Review/Approve,,,,,,,,,,,
label,Builder: Review/Approve,,,,,,,,,,,
label,Acceptance Criteria: AS:14520,,,,,,,,,,,
checkpoint,Fire Electrical,,,,,,,,,,,
label,Entire: Review/Approve & Submitted,,,,,,,,,,,
label,Consulting Engineer: Review/Approve,,,,,,,,,,,
label,Builder: Review/Approve,,,,,,,,,,,
label,"Acceptance Criteria: AS:1670, AS:1668, AS:3000",,,,,,,,,,,
section,Drafting,,,,,,,,,,,
checkpoint,Drafting sprinkler,,,,,,,,,,,
label,Works By: Entire ,,,,,,,,,,,
label,Entire: Review/Approve & Submitted,,,,,,,,,,,
label,Consulting Engineer: Review/Approve,,,,,,,,,,,
label,Builder: Review/Approve,,,,,,,,,,,
label,Statutory Authority: Inspect & Review/Approve,,,,,,,,,,,
label,"Acceptance Criteria: AS:2419, AS:2441",,,,,,,,,,,
label,QC Form: Drawing Register,,,,,,,,,,,
checkpoint,Drafting Gaseous Suppression,,,,,,,,,,,
label,Works By: Entire ,,,,,,,,,,,
label,Entire: Review/Approve & Submitted,,,,,,,,,,,
label,Consulting Engineer: Review/Approve,,,,,,,,,,,
label,Builder: Review/Approve,,,,,,,,,,,
label,Statutory Authority: Inspect & Review/Approve,,,,,,,,,,,
label,Acceptance Criteria: AS:4214,,,,,,,,,,,
label,QC Form: Drawing Register,,,,,,,,,,,
checkpoint,Drafting Fire Electrical,,,,,,,,,,,
label,Works By: Entire ,,,,,,,,,,,
label,Entire: Review/Approve & Submitted,,,,,,,,,,,
label,Consulting Engineer: Review/Approve,,,,,,,,,,,
label,Builder: Review/Approve,,,,,,,,,,,
label,Statutory Authority: Inspect & Review/Approve,,,,,,,,,,,
label,"Acceptance Criteria: AS:1670, AS:1668, AS:3000",,,,,,,,,,,
label,QC Form: Drawing Register,,,,,,,,,,,
section,Samples,,,,,,,,,,,
checkpoint,Sample Tech Data,,,,,,,,,,,
label,Works By: Entire ,,,,,,,,,,,
label,Entire: Review/Approve & Submitted,,,,,,,,,,,
label,Consulting Engineer: Review/Approve,,,,,,,,,,,
label,Builder: Review/Approve,,,,,,,,,,,
label,Acceptance Criteria: Specification,,,,,,,,,,,
