type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,Roof Penetrations,,,,,,Roof Penetrations Checklist,,,
section,Material Inspection,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,
checkpoint,Dektite: #1,,,,,,,,,
checkpoint,Dektite: #3,,,,,,,,,
checkpoint,Dektite: #4,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Penetration: Hole cut to correct size to allow clearance.,,,,,,,,,
checkpoint,Roof sheets whethered correctly,,,,,,,,,
checkpoint,"Soaker flashing lapped, sealed and fixed correctly.",,,,,,,,,
checkpoint,Adequate support under soaker to prevent ponding.,,,,,,,,,
checkpoint,Side and front aprons / upstands formed to correct size ,,,,,,,,,
checkpoint,To fit the purpose,,,,,,,,,
checkpoint,Adequate support around penetration to prevent roof,,,,,,,,,
checkpoint,Sheet from buckling,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
checklist,Insulation,,,,,,Insulation Checklist,,,
section,Material Inspection,,,,,,,,,
checkpoint,Insulation: 145mm Glasswool on Medium Sarking,,,,,,,,,
checkpoint,Roof Safety Mesh,,,,,,,,,
checkpoint,25mm Top Hat,,,,,,,,,
