type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Metecnospan Sign off,,,,,,,
section,Material Inspection,,,,,,,
checkpoint,Panel: Metecnospan 80mm roof panel,,,,,,,
checkpoint,Internal liner colour: Surf Mist,,,,,,,
checkpoint,External liner colour: Surf Mist,,,,,,,
checkpoint,Trifixx fixings 14 x 150mm - bonded washer ,,,,,,,
section,Installation,,,,,,,
checkpoint,Internal flashings installed straight and close fitting - joins hidden,,,,,,,
checkpoint,Joins and fixings hidden,,,,,,,
checkpoint,Tbutyl Tape on top of Steel member prior to sheet installation,,,,,,,
checkpoint,Panels located correctly,,,,,,,
checkpoint,14g Tek Screws with washer to every rib as per specification,,,,,,,
checkpoint,Gun grade Butyl sealant to underside lap of panel 6mm,,,,,,,
section,Signoffs,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,
text,Checked and Signed by: ,,,,,,,
checkpoint,Inspected by Roberts & Co representative,,,,,,,
text,Checked and Signed by: ,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,
text,Date:,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,
text,Site Supervisor: ,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,
text,Client Representative:,,,,,,,
