"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"107b2f2f-e1c4-4bd3-bd8d-b975f16f40d1","","folder-normal","work-in-progress","","step","TRUE","FALSE","First Fix"
"4f6bfe39-17a6-4df5-9dbd-655d2d691661","","folder-normal","work-in-progress","","step","TRUE","FALSE","First Fix","Level G"
"0f74afed-441f-4db6-8ae5-7da4b25f1b53","","checklist-sectioned","work-in-progress","Ground Floor Waste","checklist","FALSE","FALSE","First Fix","Level G","Waste"
"1d793288-d277-426a-adbc-6149662ebed0","","checklist-sectioned","not-started","Ground Floor Water Main","checklist","FALSE","FALSE","First Fix","Level G","Water"
"18ac59cf-778a-41fb-877d-4fe06d87f28c","","checklist-sectioned","not-started","Ground Floor Toilet First Fix","checklist","FALSE","FALSE","First Fix","Level G","Public Bathrooms"
"5a7fa0b0-2e9e-4f22-b89d-e83d90a037ea","","checklist-sectioned","not-started","Ground Floor Toilet First Fix","checklist","FALSE","FALSE","First Fix","Level G","Commercial Laundry"
"6bac0cf1-7578-4f0b-83c1-859ba025541c","","checklist-sectioned","not-started","Ground Floor Toilet First Fix","checklist","FALSE","FALSE","First Fix","Level G","Unit G-01"
"7bd4b74a-3cfa-4bfb-9a51-5975fdaaa360","","checklist-sectioned","not-started","Ground Floor Toilet First Fix","checklist","FALSE","FALSE","First Fix","Level G","Unit G-02"
"65d7ffef-7fb7-4777-b593-b34b153a68e5","","folder-normal","pass","","step","TRUE","FALSE","First Fix","Level 1"
"87a5cb5d-7ef9-4b4a-8248-f125e0ce4b14","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-01"
"8d9c3440-4a0c-4def-8665-ae2581ab06f0","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-02"
"4d68f656-2e75-47e2-a79f-611540f9976e","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-03"
"52e301e8-20c9-4350-8ba2-4f73de577ae1","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-04"
"30243b67-1e19-4bc7-8c6d-c896046910d2","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-05"
"cb5143f5-012c-4d76-b1c0-0ce181d78637","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-06"
"e946927f-7c07-405f-8c91-6da5964957dc","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-07"
"6182df1f-2047-457c-a212-32eea62455df","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-08"
"fd87b43d-93c3-46bf-a84f-6f32beba5ede","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-09"
"d8d734a4-f5ec-4fb6-bd49-4bdcc102d230","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 1","1-10"
"42462086-ba21-4f8b-b6d1-f38de5bcf7ea","","folder-normal","pass","","step","TRUE","FALSE","First Fix","Level 2"
"5c9eec87-0ac1-4232-981d-a7290d7ec1d8","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-01"
"9b012e5e-9977-408e-8c51-a9eecff14e0c","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-02"
"e39244b2-021b-4a0f-ae57-505940165006","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-03"
"79bbcfb4-f583-42a6-944e-d5d336b4fe9d","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-04"
"d067a32f-4bfd-4092-a192-3e040727edbf","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-05"
"f96278f7-a07b-45c9-af0e-7fb32bd0fb01","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-06"
"accc6e9b-92ca-41c4-b68d-86145948d50d","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-07"
"3eff743d-93dd-4b34-8618-bb3e78f31b1d","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-08"
"efda586c-8a98-465f-8220-4f259f7679f1","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-09"
"49cae6c8-370f-4793-b5ff-66fd62ee2402","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 2","2-10"
"18c8c7a0-4dc1-4044-8d0b-1ee41fe25aa9","","folder-normal","pass","","step","TRUE","FALSE","First Fix","Level 3"
"849bc346-65dd-4702-904d-77bd9b34a073","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-01"
"bdba46ff-70c7-4e79-96ba-a78d245d0de7","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-02"
"4c036f21-924a-4a6d-bb21-ef04a154a0aa","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-03"
"4d2209a4-fbe1-4c35-a238-82c9ee5acade","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-04"
"39b67c50-e627-4901-8411-61b806acf7db","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-05"
"bfb55c87-6a67-43af-8d60-7693b755725e","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-06"
"f55b8a85-4496-4d04-be69-ae1a789ad3af","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-07"
"bfa0662c-2a2f-403d-8e3d-4087ac559c2e","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-08"
"824bfd5d-90c3-40cd-936a-ac9a0ee2c7ac","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-09"
"e9d2636f-9a97-49f2-abd1-bfb064ebde93","","checklist-sectioned","pass","Apartment First Fix","checklist","FALSE","FALSE","First Fix","Level 3","3-10"
"6f2ec3fe-195f-4ee8-abcd-cc1fd565b3ce","","folder-normal","not-started","","step","TRUE","FALSE","Second Fix"
"06f683ec-3cb3-4ebb-9c59-df2cac0f1b06","","folder-normal","not-started","","step","TRUE","FALSE","Second Fix","Level G"
"d5742026-a102-40d4-b975-25a27b19c7fd","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Accessible Bathroom"
"f959a49d-2728-4788-be46-b12000491952","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Public Bathrooms"
"8afad82c-0841-415c-a108-97b227e84a40","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Commercial Laundry"
"15792c1d-ae2f-4494-9661-94b7db31acae","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Unit G-01"
"a3cb41bb-e5d7-4a11-959c-5da203305b70","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Unit G-02"
"0efde9bc-3fd6-4738-922c-e836b2df4a1c","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Unit G-03"
"c4fac034-bbb9-4784-b2f3-252ee6b84ef8","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Unit G-04"
"1f4c65b9-f29c-48d6-af01-2784d66f48a6","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Unit G-05"
"fb8ae1b5-09b9-442a-96ab-32174bfc7025","","checklist-sectioned","not-started","Ground Floor Toilet Second Fix","checklist","FALSE","FALSE","Second Fix","Level G","Kitchen"
"3dad74be-c620-4b5f-b474-45d485c23ca0","","folder-normal","not-started","","step","TRUE","FALSE","Second Fix","Level 1"
"f1e5492f-25b4-4d13-bc73-9c3ccf933f1d","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-01"
"8c8405a6-ad4d-4fad-bd02-d4411a4b092f","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-02"
"49c1a4e7-2c6b-4635-baae-94024c56d397","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-03"
"29c19b3d-03bc-45f9-964e-012ecef3dd95","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-04"
"b17bb528-f397-4a18-86e9-b10ed634ef53","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-05"
"7abf8470-9f3b-4a3f-86d0-c83b1499e80b","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-06"
"fd392d85-a25f-4f60-b187-88d0f857e53a","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-07"
"5c9011e7-14e2-49d6-9e7b-f8b71fe72bb6","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-08"
"9e364c34-4d81-4585-8898-291b5e7f9b40","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-09"
"0f9ade93-4379-4048-aab7-61d7bc856a71","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 1","1-10"
"bde75056-6d0d-4bc8-b25d-960217026d3b","","folder-normal","not-started","","step","TRUE","FALSE","Second Fix","Level 2"
"66a0f9a7-a5ab-4fcc-ab82-d9a50cd60c8a","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-01"
"e0174871-9de5-4f5f-8b91-7d8db06ddf2f","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-02"
"107dd59b-7b25-4409-8d40-7bb48ccdfec8","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-03"
"d5180232-aa84-450e-8cb0-9a8ba6103625","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-04"
"3bca1c5a-7b3b-46e4-b1ae-1951b804dcef","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-05"
"bda841ad-b058-4989-9205-7406f77a6b1a","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-06"
"0c188a76-1adb-48f1-ac7c-98f76017cacb","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-07"
"963b64b0-4d44-44cd-8ab3-40a32b2bf24e","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-08"
"fafa469e-2100-45e1-aae5-476f90fee9ed","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-09"
"bdad31a3-046f-4803-93c5-a3d479b7f1ff","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 2","2-10"
"81fa532d-7edd-486c-99b8-e1cc09c7457c","","folder-normal","not-started","","step","TRUE","FALSE","Second Fix","Level 3"
"c4654e8c-b7b4-460c-881d-e509c6fc3f9a","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-01"
"89fdcd34-bd06-46ae-86c6-a3f1aaa12b93","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-02"
"2399144f-b10c-4df6-9c6b-d9aebd6935d0","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-03"
"d5356301-57ad-4843-9bae-df9c42dd4dca","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-04"
"98600938-765e-4802-8747-2bd8c7adffdc","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-05"
"644b2937-c2b2-4326-ab36-56a093455118","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-06"
"1b61f24a-3d0f-47d6-9764-fb9a5b6edd2a","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-07"
"c927aaef-0b85-436f-9ce0-2d23d4e62d24","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-08"
"91c1cd45-c5f6-439a-be6d-d7bd0fce7202","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-09"
"292933e5-39af-4730-b659-f51220707d38","","checklist-sectioned","not-started","Apartment Second Fix","checklist","FALSE","FALSE","Second Fix","Level 3","3-10"
