"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Suspended Drainage Services"
,"Scope",,
,"Rows"
,,"Storm Water (suspended)","dynamic","storm water (suspended)","installation","suspended drainage services"
,,"Sewer (suspended)","dynamic","sewer (suspended)","installation","suspended drainage services"
,,"Trade Waster (suspended)","dynamic","trade waster (suspended)","installation","suspended drainage services"
,"Columns"
,,"All works to be set out as per approved IFC drawings. Works set out to Drawing No.",,"all works to be set out as per approved ifc drawings. works set out to drawing no."
,,"All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized",,"all pipe work to be as per specifications & as3500.2.2015 or alternatively approved and appropriately sized"
,,"All pipework, material and fittings to be installed as per approved IFC Drawing No:",,"all pipework, material and fittings to be installed as per approved ifc drawing no:"
,,"All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings.",,"all pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved ifc drawings."
,,"Ensure acoustic lagging is installed if required to specification & acoustic engineers report.",,"ensure acoustic lagging is installed if required to specification & acoustic engineers report."
,,"As per AS 3500 test traps for leaks by discharging water into drains",,"as per as 3500 test traps for leaks by discharging water into drains"
,,"Ensure all excess material is removed from work area & leave clean & tidy.",,"ensure all excess material is removed from work area & leave clean & tidy."

"In-Ground Water Services"
,"Scope",,
,"Rows"
,,"Cold Water","dynamic","cold water","in-ground water services","installation"
,"Columns"
,,"All works to be set out as per approved  IFC Drawings No.",,"all works to be set out as per approved ifc drawings no."
,,"All pipe work to be as per specifications  & AS3500.2.2015 or alternatively  approved and appropriately sized",,"all pipe work to be as per specifications & as3500.2.2015 or alternatively approved and appropriately sized"
,,"All pipework, material and fittings to be  installed as per approved IFC Drawing  No:",,"all pipework, material and fittings to be installed as per approved ifc drawing no:"
,,"All pipework to be tested to 1500 kPA for  30 minutes as per AS 3500:1 clause  18.3.1",,"all pipework to be tested to 1500 kpa for 30 minutes as per as 3500:1 clause 18.3.1 & in accordance with specifications and requirements . ensure isolation from authority main, fixtures, tapware and appliances while undertaking testing."
,,"Ensure all excess material is removed  from work area & leave clean & tidy",,"ensure all excess material is removed from work area & leave clean & tidy"

"Suspended Water Services"
,"Scope",,
,"Rows"
,,"Cold Water","dynamic","cold water","suspended water services","installation"
,,"Hot Water","dynamic","hot water","suspended water services","installation"
,"Columns"
,,"All works to be set our as per approved IFC  drawings and penetrations to be installed to  - IFC Drawing No.",,"all works to be set our as per approved ifc drawings and penetrations to be installed to - ifc drawing no."
,,"All pipe work to be as per specifications &  AS3500.2.2015 or alternatively approved and appropriately sized",,"all pipe work to be as per specifications & as3500.2.2015 or alternatively approved and appropriately sized"
