"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4477977c-a4ab-4450-bce2-987d677ff259","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"f9366b58-4856-5b03-8891-dbf02abfddbf","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"4768ab25-5472-5d45-9aa2-b61f4a625b7a","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"0717c8e3-bf78-5fa8-a7fc-5c36b8a4d3e8","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"87e578da-0ddf-51e7-93c8-81571a9d63b0","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"b86c383b-3528-501e-9724-a143911192e9","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"56be1089-bb26-4294-8bea-c4caa208ba8a","","folder-normal","pass","","step","TRUE","FALSE","QA"
"03498ef9-d82e-49b7-b8d7-806ad9e35b10","","folder-normal","pass","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"6329662c-2768-4c0a-a171-e00ffc85d632","","folder-normal","pass","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","RSC Cable Systems"
"bd1347d2-6330-4083-bd7b-774db3583f27","","folder-normal","pass","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01"
"2cb8024c-f5bf-46c0-9f34-726c9de1d9d8","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Pre-Fit Off Checklist"
"30f3f6b1-34e1-54fa-92c6-36554f1e6ed0","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"36375e75-330c-56d4-8747-cdc36bb4d477","","holdpoint","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"8f29f33c-5ce6-5a21-a153-39fe17fc909d","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"670f7542-6994-58d9-b1dc-4b29534f4677","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Pre-Fit Off Checklist","Photos taken"
"f55de6fc-8404-4f41-86f2-c6b3be4cc5e6","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01"
"96fa040c-72c8-5bd8-953d-6c9aea98721d","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"a2bf7d34-893f-5c68-a305-03b32ecb1a28","","holdpoint","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"43e4f38c-bf83-5dcb-99b7-786f04d8cfb2","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"7b4ccddc-c118-5154-912e-fffe336cb2b7","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"13ae2015-7b0b-58f4-8d7e-437f7fadef4d","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"e54d903e-7987-5b82-9f14-ef98b3e78143","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"2052eb99-34b9-57f1-8c2b-6dd48709911b","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"ba182b46-4d9e-41c2-b478-f7eb442b5ebe","","folder-normal","pass","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02"
"ad380a4f-72e7-432f-be54-bd51bf14afef","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Pre-Fit Off Checklist"
"2232c440-aa81-565b-bfd5-0edf4d002bea","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"c809ddb4-b28d-5219-ba4d-fce5da3ccf5a","","holdpoint","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Pre-Fit Off Checklist","EMAIL PM"
"137d23d6-725e-5d8e-8645-7fd3d3faee9c","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"7d177270-b637-5139-a9cf-dac93d480f18","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Pre-Fit Off Checklist","Photos taken"
"e7979ba8-b49b-4add-a768-35804f17b6ba","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Fit Off Checklist - Line 02"
"1aaaca72-02d3-560f-8106-9a83ee871211","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"bfc8f24b-a8a8-55c3-b7ac-2a92cae2db55","","holdpoint","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"cb4c7a66-9bc3-5f93-96fa-103029bbb0cb","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test - 4 photos required"
"34f5d7dc-845a-5401-a200-e320329b51aa","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Fit Off Checklist - Line 02","Photo taken of Swages - 12 photos required"
"17d69908-dfbb-50e0-8f3d-97215c4f3aa8","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"000567a4-2689-543e-b015-b05781bf1aee","","checkpoint-status","pass","","","TRUE","TRUE","QA","RoofSafe Cable Systems","RSC Cable Systems","RSC Cable Systems - Line 02","Fit Off Checklist - Line 02","Video taken of system"
