Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,dynamic,Level 1,Site QA
,,Level 2,dynamic,Level 2,Site QA
,,Level 3,dynamic,Level 3,Site QA
,,Level 4,dynamic,Level 4,Site QA
,Columns,,,,
,,Wet Area Floor,,Wet Area Floor,
,,Wet Area Wall,,Wet Area Wall,
,,,,,
Detailed Progress (Wet Area Floor),,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,dynamic,Level 1,Site QA
,,Level 2,dynamic,Level 2,Site QA
,,Level 3,dynamic,Level 3,Site QA
,,Level 4,dynamic,Level 4,Site QA
,Columns,,,,
,,Confirm area of work accessible & acceptable to commence,,Confirm area of work is accessible & acceptable to commence (If not comment below),Wet Area Floor
,,Confirm all falls to drain shower are minimum 1:80,,Confirm all falls to drain shower are minimum 1:80,Wet Area Floor
,,Confirm all falls to drain in wet area are minimum 1:100,,Confirm all falls to drain in wet area are minimum 1:100,Wet Area Floor
,,Check finish floor level is at meter mark,,Check finish floor level is at meter mark,Wet Area Floor
,,Confirm floor wastes free of debris at tiling completion,,Confirm floor wastes are free of debris at tiling completion,Wet Area Floor
,,,,,
Detailed Progress (Wet Area Walls),,,,,
,Scope,,,,
,Rows,,,,
,,Level 1,dynamic,Level 1,Site QA
,,Level 2,dynamic,Level 2,Site QA
,,Level 3,dynamic,Level 3,Site QA
,,Level 4,dynamic,Level 4,Site QA
,Columns,,,,
,,Confirm area of work accessible & acceptable to commence,,Confirm area of work is accessible & acceptable to commence (If not comment below),Wet Area Wall
,,Check shower walls are waterproofed,,Check shower walls are waterproofed,Wet Area Wall
,,Confirm all wall tiles are trowelled & not spot fixed,,Confirm all wall tiles are trowelled and not spot fixed,Wet Area Wall
,,Check wall tiles are plumb & straight at tiling completion,,Check wall tiles are plumb and straight at tiling completion,Wet Area Wall
