type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist,ITP007a-VC235-Structural Concrete Checklist,itp,,,,,ITP007a-VC235-Structural Concrete Checklist,,,,,,,,
section,4.0 CONSTRUCTION ACTIVITIES – PREPOUR,,,,,,,,,,,,,,
checkpoint,4.1 - Incoming Inspection of Materials,,,,,,,,,,,,,,
label,"Acceptance Criteria - All materials conform to IFC drawings and specs- ferrules, galvanised dowels, drainage conduits etc.",,,,,,,,,,,,,,
button,Check Box,"Yes,No,N/A",,,,,,,,,,,,,
label,Verification Record - Delivery Dockets Compliance Certificates,,,,,,,,,,,,,,
holdpoint,Project Engineer (HP),,,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (1),,,,,,,,,,,,,,
label,"Acceptance Criteria - Type, size, position, chairs, cover all as specified & within tolerance; laps and splices as specified; tack welds not undercut",,,,,,,,,,,,,,
button,Check Box,"Yes,No",,,,,,,,,,,,,
label,Verification Record - Reinforcement Schedule,,,,,,,,,,,,,,
holdpoint,Project Engineer (HP),,,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (2),,,,,,,,,,,,,,
label,Acceptance Criteria - Ensure starter bars match precast stitch bars (if applicable),,,,,,,,,,,,,,
button,Check Box,"Yes,No,N/A",,,,,,,,,,,,,
label,Verification Record - Survey Report,,,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (3),,,,,,,,,,,,,,
label,"Acceptance Criteria - Placement, size and configuration as per drawings ± 5mm position.",,,,,,,,,,,,,,
button,Check Box,"Yes,No",,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (4),,,,,,,,,,,,,,
label,"Acceptance Criteria - Cover (including tire wire) specified in drawings 0mm, + 5mm. Cover checked to FSL.",,,,,,,,,,,,,,
button,Check Box,"Yes,No",,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (5),,,,,,,,,,,,,,
label,"Acceptance Criteria - Surface condition free from thick rust, grease, mud etc",,,,,,,,,,,,,,
button,Check Box,"Yes,No",,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (6),,,,,,,,,,,,,,
label,Acceptance Criteria - Min lap lengths:,,,,,,,,,,,,,,
label,N12  –  300mm  N24  –  1000mm N16  –  500mm,,,,,,,,,,,,,,
label,N28  –  1250mm N20 – 750mm N32 – 1500mm,,,,,,,,,,,,,,
button,Check Box,"Yes,No",,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (7),,,,,,,,,,,,,,
label,Acceptance Criteria - Tack Welding not within 50mm of bends,,,,,,,,,,,,,,
button,Check Box,"Yes,No,N/A",,,,,,,,,,,,,
checkpoint,4.6 - Reinforcement (8),,,,,,,,,,,,,,
label,Acceptance Criteria - Mechanical splices (couplers or similar) fully engaged and installed as per manufacturers recommendations.,,,,,,,,,,,,,,
button,Check Box,"Yes,No,N/A",,,,,,,,,,,,,
