"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a5b4da2b-1a19-4cd7-a1bb-fad33a4a6b69","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"9b688154-9d15-405f-aba7-0ef9d6d61f3f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"69a01e8c-5bc4-431d-995d-a0bebe5af9aa","","folder-normal","not-started","","step","TRUE","FALSE","QA","Sayfa Raptor Rail"
"74a39de4-0241-4c12-8072-59fe06d010ea","","folder-normal","not-started","","step","TRUE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 38m - Rail 01"
"9f103490-8acc-439b-87e8-e3ffae66d94d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 38m - Rail 01","Pre-Fit Off Checklist"
"332d3c46-ec24-4cd9-9b03-8092f4ee00cf","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 38m - Rail 01","Rail Checklist  - Rail 01"
"76efd643-de6f-46ae-9e41-a51fc6b793a1","","folder-normal","not-started","","step","TRUE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 17m - Rail 02"
"e290bd8c-a308-483e-b5a9-f3b52544fad9","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 17m - Rail 02","Pre-Fit Off Checklist"
"5e3cfe98-7e70-43c3-8ec7-31c0e30b14d4","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 17m - Rail 02","Rail Checklist - Rail 02"
"93d43d07-731a-4a49-89e7-47119f5228a6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 6m - Rail 03"
"d1bf4328-a7bb-442a-ba25-3608547c118a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 6m - Rail 03","Pre-Fit Off Checklist"
"7ffb92eb-f21e-4314-89f0-f49722d38843","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 6m - Rail 03","Rail Checklist - Rail 03"
"7c9f70df-7b39-4423-941f-9797a2e83d7d","","folder-normal","not-started","","step","TRUE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 17m - Rail 04"
