"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3386b09-ded9-4fd6-b1ac-16b0c37e2da8","","pass","Prestart Inspections","checklist","FALSE","FALSE","Prestart Inspections"
"2d7b37d4-46a7-4efc-846b-96f61dad5875","","work-in-progress","","folder","TRUE","FALSE","T5"
"d6574b75-6b82-453f-904c-9243d7c93f5d","","pass","Wall/Floor Preparation","checklist","FALSE","FALSE","T5","QA- Wall/floor prep"
"5d994102-69b0-481f-930a-2f1639154429","","work-in-progress","QA - Tiling Installation","checklist","FALSE","FALSE","T5","QA - Tiling Installation"
"27643ef1-3b1a-4846-baef-ed67d288eb97","","pass","QA-Other Information","checklist","FALSE","FALSE","T5","QA- Other Information"
"bc0f9202-69a2-42b1-8879-cc4fd70970b2","","not-started","Final Sign Off for Invoicing","checklist","FALSE","FALSE","T5","QA- Final sign off"
"4dfb6c35-9d42-4f13-bb3f-cc7b1030b8f9","","work-in-progress","","folder","TRUE","FALSE","T6"
"a95943a9-5145-4e6b-880d-543df9a1c460","","pass","Wall/Floor Preparation","checklist","FALSE","FALSE","T6","QA- Wall/floor prep"
"8a669f50-f4c1-4270-96b2-fd92f9f999c0","","work-in-progress","QA - Tiling Installation","checklist","FALSE","FALSE","T6","QA - Tiling Installation"
"b3ad2f84-0cfe-4e32-aaf4-6be84d8452e1","","not-started","QA-Other Information","checklist","FALSE","FALSE","T6","QA- Other Information"
"717693be-70b3-46f3-96eb-4f4267e98d8c","","not-started","Final Sign Off for Invoicing","checklist","FALSE","FALSE","T6","QA- Final sign off"
"edcc69d5-1a68-459e-b937-decdb4932af2","","work-in-progress","","folder","TRUE","FALSE","Brick Slip Install"
"22035ce2-2d77-4a27-9bd7-a13212dfe0d3","","pass","Wall/Floor Preparation","checklist","FALSE","FALSE","Brick Slip Install","QA- Wall/floor prep"
"360dd955-864b-49f2-87cd-e7624cf699cf","","pass","QA - Tiling Installation","checklist","FALSE","FALSE","Brick Slip Install","QA - Tiling Installation"
"9e2e43ab-3fa7-4e9e-8e1f-75381e59e161","","not-started","QA-Other Information","checklist","FALSE","FALSE","Brick Slip Install","QA- Other Information"
"312cacb3-ff5f-40d5-b029-3848a0acc19c","","not-started","Final Sign Off for Invoicing","checklist","FALSE","FALSE","Brick Slip Install","QA- Final sign off"
