"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b03ea85-c407-4c63-b34a-ef7dc1007c54","","work-in-progress","","folder","TRUE","FALSE","Male Amenities"
"5b696499-2e43-4ef1-a0ba-0790c3e25cfd","","pass","Rough In","checklist","FALSE","FALSE","Male Amenities","Rough In"
"3110c94b-aca7-4f92-b40c-ea24c6664c84","","pass","Drains","checklist","FALSE","FALSE","Male Amenities","Drains."
"1e5a84a9-6f79-46af-9629-fa2a7db2f67b","","not-started","Fit Off (Male)","checklist","FALSE","FALSE","Male Amenities","Fit Off"
"519ceeaa-19c2-43db-a18d-98a38d235087","","not-started","Commissioning","checklist","FALSE","FALSE","Male Amenities","Commissioning"
"f55044a4-c9a8-4ff3-998d-c5ab2c25fe46","","work-in-progress","","folder","TRUE","FALSE","Female Amenities"
"8cf862cf-121e-4c90-b9f4-e747243c8bb4","","pass","Rough In","checklist","FALSE","FALSE","Female Amenities","Rough In"
"adcfc561-04dc-40a0-8e41-dbeb675d554e","","pass","Drains","checklist","FALSE","FALSE","Female Amenities","Drains."
"81631332-582e-45a6-b501-6bb8b77c8bd0","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","Female Amenities","Fit Off"
"8d40d7df-9633-4e3f-a2b2-95f499503718","","not-started","Commissioning","checklist","FALSE","FALSE","Female Amenities","Commissioning"
"dd319e13-2513-4e50-baa2-d1b4c97fdcd7","","work-in-progress","","folder","TRUE","FALSE","DDA 1"
"a31cc0a5-9399-4d24-a613-63460f13c04c","","pass","Rough In","checklist","FALSE","FALSE","DDA 1","Rough In"
"c8ab0d7f-e2ba-4304-a4c0-99750f456dbc","","work-in-progress","Drains","checklist","FALSE","FALSE","DDA 1","Drains."
"50bef5ed-4314-44cd-8950-9d54e8766f8c","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","DDA 1","Fit Off"
"d6de453a-4579-47bf-bd82-54ad57680783","","not-started","Commissioning","checklist","FALSE","FALSE","DDA 1","Commissioning"
"13ee0816-d969-4135-bec1-55d2104be11c","","work-in-progress","","folder","TRUE","FALSE","DDA 2"
"765649d9-8743-4abd-a24e-d655d2ff3d5a","","pass","Rough In","checklist","FALSE","FALSE","DDA 2","Rough In"
"92ffcc7f-01a0-404c-b535-982448e88969","","not-started","Drains","checklist","FALSE","FALSE","DDA 2","Drains."
"1301525e-e665-490f-afb7-900d9a828f87","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","DDA 2","Fit Off"
"85c06586-51c7-4f2c-ac3a-ba590332af64","","not-started","Commissioning","checklist","FALSE","FALSE","DDA 2","Commissioning"
"8f42251c-c456-481d-90e3-02f19ebdc636","","work-in-progress","","folder","TRUE","FALSE","Parents WC"
"c93558c1-7044-44f5-b514-dc948900e878","","work-in-progress","Rough In","checklist","FALSE","FALSE","Parents WC","Rough In"
"8957b1ca-ee5f-43e6-b681-85b689c38080","","work-in-progress","Drains","checklist","FALSE","FALSE","Parents WC","Drains."
"48391454-5c4f-4635-bb72-52e3b8db2a83","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","Parents WC","Fit Off"
"3a558d9a-010b-4f5a-9317-49cc56fe87cb","","not-started","Commissioning","checklist","FALSE","FALSE","Parents WC","Commissioning"
"ba02dcde-ce40-4c86-a593-bd3dc116e728","","work-in-progress","","folder","TRUE","FALSE","Parents Room"
"48d8025b-3cb2-4c98-b557-84db97cd1f30","","work-in-progress","Rough In","checklist","FALSE","FALSE","Parents Room","Rough In"
"17787c38-31d8-469e-8910-98b04ef116fa","","work-in-progress","Drains","checklist","FALSE","FALSE","Parents Room","Drains."
"ab586721-02e2-4924-b170-2a4e8c51b747","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","Parents Room","Fit Off"
"284d1521-c5c7-4fd4-8e72-829af1d061e0","","not-started","Commissioning","checklist","FALSE","FALSE","Parents Room","Commissioning"
"ca3f94c7-b67a-43e5-994f-a6d56b4238ec","","work-in-progress","","folder","TRUE","FALSE","All Genders 1"
"2bf022ee-cd88-42ae-93ae-0e8506a64237","","work-in-progress","Rough In","checklist","FALSE","FALSE","All Genders 1","Rough In"
"4caeefb3-6ca9-471b-b043-5926c902c53b","","work-in-progress","Drains","checklist","FALSE","FALSE","All Genders 1","Drains."
"548f84f0-5029-4a25-84a0-b6dab09b12d6","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","All Genders 1","Fit Off"
"c7693d36-d456-4fed-8323-8271dc1d8ce6","","not-started","Commissioning","checklist","FALSE","FALSE","All Genders 1","Commissioning"
"ef5046ab-f571-4526-8cda-b8dd66385363","","work-in-progress","","folder","TRUE","FALSE","All Genders 2"
"f7d17646-b961-4851-8add-ef49abef3f3e","","work-in-progress","Rough In","checklist","FALSE","FALSE","All Genders 2","Rough In"
"414659a4-d377-463d-9c87-fd5ad8c743e0","","work-in-progress","Drains","checklist","FALSE","FALSE","All Genders 2","Drains."
"ec6ed439-730a-434a-84f8-0c578103d069","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","All Genders 2","Fit Off"
"89a33465-3e70-496d-994d-15a97666d03e","","not-started","Commissioning","checklist","FALSE","FALSE","All Genders 2","Commissioning"
"0b9b5730-e616-40ed-86fb-d4c8c9169641","","work-in-progress","","folder","TRUE","FALSE","Cleaners Room"
"1ba997ef-b220-4082-af2d-e418f4ea2b7e","","pass","Rough In","checklist","FALSE","FALSE","Cleaners Room","Rough In"
"5f88822f-0ca6-4864-b08a-8ba29eb987b0","","pass","Drains","checklist","FALSE","FALSE","Cleaners Room","Drains."
"2b07561a-c493-4cf9-adc3-ab5787700ac0","","not-started","Fit Off (Male)","checklist","FALSE","FALSE","Cleaners Room","Fit Off"
"741b918b-be2e-4841-870d-f532847e795d","","not-started","Commissioning","checklist","FALSE","FALSE","Cleaners Room","Commissioning"
"8024ee4d-25ff-4e17-845e-4dc45b8aea7a","","work-in-progress","","folder","TRUE","FALSE","Hot Water Service"
"f964ebf3-3645-4154-b9aa-225629bb4873","","pass","Rough In","checklist","FALSE","FALSE","Hot Water Service","Rough In"
"5fa8eb31-ee66-405e-ba5f-94cf8e486213","","not-started","Plant and Equipment","checklist","FALSE","FALSE","Hot Water Service","Plant and Equipment"
