"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e165698e-5a7f-4c94-b00f-d41b6ed9d3e2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"09bb6d48-54b8-419f-aeff-2ed4760c089f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations"
"82ea0af4-59f7-47d4-9420-61eb36e4d425","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A"
"cd9a533c-8f20-456d-9654-2b17a069f052","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings"
"1b201aef-dbb9-4a9d-964d-5661923ed023","Child Concrete - Pre Pour(37a3351c-6c92-59ff-9e57-48aba8f6ec77) -- Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17"
"37a3351c-6c92-59ff-9e57-48aba8f6ec77","Child Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour"
"be2005d7-e4ad-5526-b96b-31bf9e2434b9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Area Accessible & Approval to start"
"ad009dec-7e7c-5862-a6eb-85d60e645822","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"b0170dbe-0667-5321-9753-5ac002a4f587","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"ca802d93-9298-54db-85d7-d7e81ded6dbc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"48a13611-3c71-5e30-8eb7-349f800f1b79","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"3253a35a-f604-5216-abf6-5134105ea885","DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Reinforcing checked and correct"
"f04ee3d7-b636-5b32-8338-528ae876d367","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Waterproofing (checked and correct)"
"c503d342-a0f8-5fe7-82d6-cdfae5b4af8f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"be50b05c-00bb-5cb6-8777-e99fc948721f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"6485739d-14e8-5bbd-88c7-978ddebfb11c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pour /Post Pour"
