"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2a0f52a2-fd31-47da-8c2c-90bff6121276","","folder-normal","fail","","step","FALSE","FALSE","Site QA"
"4152aa3b-436b-4151-bfb0-c18164fd9515","","checklist-flat","pass","Site Establishment Checklist","checklist-flat","FALSE","FALSE","Site QA","Site Establishment Checklist"
"e9f94a8d-6c7e-400d-b2cf-d4c3db139a8f","","checklist-flat","not-started","Setout / Surveying Checklist","checklist-flat","FALSE","FALSE","Site QA","Setout / Surveying Checklist"
"541003e6-0905-4b33-9e66-af29eb5ed611","","checklist-flat","not-started","Bulk Excavation Checklist","checklist-flat","FALSE","FALSE","Site QA","Bulk Excavation Checklist"
"6b71d0d6-4105-44ab-bd2f-e7ec047b350e","","checklist-flat","not-started","Backfill Checklist","checklist-flat","FALSE","FALSE","Site QA","Backfill Checklist"
"732a33aa-191b-4560-ac14-489f9635e595","","checklist-flat","not-started","Asbestos Removal Checklist","checklist-flat","FALSE","FALSE","Site QA","Asbestos Removal Checklist"
"bc585817-c092-4b29-9575-be5d319df1a6","","checklist-sectioned","not-started","Demolition Checklist","checklist","FALSE","FALSE","Site QA","Demolition Checklist"
"970d521f-cb54-4c92-a65a-eb1c9a77d559","Child Pour Details(9ec746d7-86fb-5d5a-96ad-453e73a2678b): Data not allowed on checkpoint-group: Area to be poured:(fd7c8a17-9ed2-5df9-89ef-16eb621e8932), Date of pour:(740ddf9d-1c8c-5a84-9eb3-76ceddec9a83)
Child Concrete Supplier Specifics(80916a42-30b4-58cd-ae83-c5661d8bd24d): Data not allowed on checkpoint-group: Supplier Name:(7d3496a7-521c-5a47-abfa-2fc501393245), Specified concrete strength:(06f55d7a-2af3-55e9-8d41-b870f1ba7eb7), Concrete strength ordered:(89220adb-d7c6-5354-b951-e2aa287a6a6e), Concrete quantity ordered:(4336e09b-fd39-54dd-80c5-1b73c1ed05b1)
Child Placement Method(4cdc2644-52dc-5765-9cb6-cb045bb2fc40) -- Heights and falls checked/confirmed before placement(7462faef-3c5e-5792-9047-efb86f6b0fdf): DataPoint Is the cover correct to specification(6961cd39-9908-56df-a74e-46d79c5ee55c) is missing 'button' values","checklist-sectioned","work-in-progress","Foundation","checklist","FALSE","FALSE","Site QA","Foundation"
"22995862-cd81-442b-8dea-91d4ee03bf9e","","checklist-sectioned","fail","Structural Steel","checklist","FALSE","FALSE","Site QA","Structural Steel"
"6e955212-92b2-407b-9020-90957b1377c3","","checklist-sectioned","not-started","Timber Framing","checklist","FALSE","FALSE","Site QA","Timber Framing"
"0b69d0a8-591e-4e4b-a637-4b0cb793f3c1","","checklist-sectioned","not-started","Services First Fix Checklist","checklist","FALSE","FALSE","Site QA","Services First Fix Checklist"
"8b0d558e-9789-413a-8804-5056bad2b1a8","","checklist-sectioned","not-started","Wall lining","checklist","FALSE","FALSE","Site QA","Wall lining"
"c3de7e24-0f55-4457-9a1f-0085eaa234f5","","checklist-sectioned","not-started","Services Second Fix Checklist","checklist","FALSE","FALSE","Site QA","Services Second Fix Checklist"
"2289f0e4-4f29-4e0c-b549-369b5a0ab407","","checklist-sectioned","not-started","Finishing and Painting","checklist","FALSE","FALSE","Site QA","Finishing and Painting"
"34eec17c-5f0d-4909-aee8-24baf2df8d91","","checklist-sectioned","not-started","External Work","checklist","FALSE","FALSE","Site QA","External Work"
"a364a1d2-3e4e-496e-bbe6-ae3ba88335c1","","checklist-sectioned","not-started","Finishing and Painting","checklist","FALSE","FALSE","Site QA","Finishing and Painting"
"3a2fea25-b2e8-4c0a-b796-571d863aaf10","","checklist-sectioned","not-started","Compliance certificate","checklist","FALSE","FALSE","Site QA","Compliance certificate"
"03a7de59-e474-4e78-9d61-8191e2fd8621","","checklist-sectioned","not-started","WINDOWS & DOORS Installation","checklist","FALSE","FALSE","Site QA","Window & Door Installation"
