checklist-flat,PRE - S - Steel Stud Framing,
checkpoint,Steel Stud Dimensions / locations checked & accurate,
checkpoint,"Steel Studs have been installed square, straight and plumb ",
checkpoint,Fixings are correct to specification including any seismic/bracing requirements,
checkpoint,"All Nogs (Service/Specialty) & penetrations - installed, checked & correct (ensure acoustic & fire rating requirements achieved)",
checkpoint,All Steel Stud framing completed correctly to specification & within tolerance in respective area(s) ,
checkpoint,Door Timber studs and lintels installed and level,
checkpoint,"Window Timber studs, lintels and still installed and level",
checkpoint,Inspections completed and issued to Foreman,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,
,,
checklist-flat,PRE - S - Suspended ceiling grids ,
checkpoint,Ceiling Height confirmed,
checkpoint,"Bulkheads plumb, level and square (if required)",
checkpoint,Battens running in correct directions and orientation for critical light,
checkpoint,Batten joins offset,
checkpoint,Batten joins flush,
checkpoint,All hangers and clips installed,
checkpoint,Corners fixed correctly,
checkpoint,Appropriate fixings used and installed as per required specification,
checkpoint,Angles correct to fix plasterboard,
checkpoint,Any seismic requirements and bracing elements installed,
checkpoint,Suspended ceiling installation completed and acceptable ,
checkpoint,Inspections completed and issued to Foreman,
holdpoint,CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS,
,,
checklist-flat,ITP - R - Tanking/Waterproofing,
checkpoint,"All subcontractor QA uploaded, attached, and meets ITP requirements.",
checkpoint,PASS to confirm work has started.,
checkpoint,PASS to confirm expectations have been set for all contractors.,
checkpoint,"Verify application of waterproofing, joint laps, thickness and number of layers as is specified.",
checkpoint,Monitor installation and adequacy of protective linings during backfilling operations,
checkpoint,Subcontractor to provide photo evidence of applied membranes,
checkpoint,Sign off completed areas as per the agreed method PRIOR TO follow-on trades commencing their work.,
checkpoint,Flood test conducted,
checkpoint,PS3 received from subcontractor confirming application of membrane is in accordance with manufacturers recommendations,
checkpoint,Engineer inspection completed and approved,
button,Note remedial work needed,"None, Minor, Major"
holdpoint,Raise remedial as required.,
checkpoint,Council inspection completed and approved,
button,Note remedial work needed,"None, Minor, Major"
holdpoint,Raise remedial as required.,
checkpoint,"Confirm CANs implemented as directed, including external sign off as required.  (n/a response if blank above)",
text,Record details of Consultant Advice Notices issued relating to this work (CAN Ref numbers and Consultant),
