resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,step,,,Distribution Boards and Sub Circuits,,,,,,,,
,,,,,,,,,,step,,,,Building A - IPU ,,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,Sub DB JEN-2 LLG,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L00-DRC3.2,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L01-DRC3.2,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L02-DRC3.1,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L02-DRC3.2,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L03-DRC3.1,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L03-DRC3.2,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L04-DRC3.1,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-L05-DRC3.3,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-1A-LB1-DRC0.4,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-2A-L00-DRC4.1,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-2A-L00-DRC4.2,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-2A-L00-EM4.1,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-2A-L01-DRC4.1,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-2A-L01-DRC4.2,,,,,,
AE-ITCX-015 - Mandatory Test Results (Rev 1 +Names),AE-ITCX-018 - DB Fit Off Sheet (Rev 0 +Names),AE-ITCX-006 - Distribution Board Visual Inspection (Rev 0 +Names),AE-ITCX-029 - Rough-In Checklist (Rev 1 +Names),AE-ITCX-030 - Cut-Out Sheet (Rev 1 +Names),AE-ITCX-031 - Fit-Off General Checklist (Rev 1 +Names),AE-ITCX-032 - Electrical Commissioning Checklist (Rev 1 +Names),AE-ITCX-025 AS:3003 - Appendix E Body Protected CL (Rev 0 +Names),AE-ITCX-026 AS:3003- Appendix F Cardiac Protected CL (Rev 0 +Names),AE-ITCX-027 AS:3003-Table B1 Patient Area CL (Rev 0),folder-with-checklists,,,,,DB-2A-L01-EM4.1,,,,,,
