"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99144987-a511-419a-a393-37a312fdaed5","","checklist-flat","no-status-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"26902986-54d3-4668-a21b-1941e78b0bcd","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"911c4560-129c-46ee-a7c6-8dc698e24d0f","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01"
"99811f23-c156-4908-b4c0-65f0c3e030d5","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01","Pre-Pour Checklist"
"2041684e-de1e-463d-8424-28bf2bbcbef6","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01","Concrete Delivery Checklist"
"acfbfc3b-26ba-4f61-869f-cb45dce5498b","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P02"
"64c18f6f-3a34-4d33-8218-da080ae1763c","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P02","Pre-Pour Checklist"
"25246618-41c7-4df7-8cfc-a0bd296e976c","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P02","Concrete Delivery Checklist"
"307b997a-f8ae-4f66-be90-430ef9b59e52","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P03"
"ae669aff-7d7c-4f2b-a624-171f4158cd12","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P03","Pre-Pour Checklist"
"4683a5f2-73f3-4245-ab5c-bcc98d40edd1","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P03","Concrete Delivery Checklist"
"e2004168-da53-43fa-8497-c3b636a20f4a","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P04"
"9397f257-0cc9-4065-8e69-f71727b1651c","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P04","Pre-Pour Checklist"
"598121e6-bfa3-4990-a9d1-7b14cb993b80","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P04","Concrete Delivery Checklist"
"6c09e166-dc1c-41cd-9312-5d2c062b790f","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P05"
