Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Pre-Pour - Certificate Of Compliance Matrix,,,,,,
,Scope,,,pre-pour & concrete delivery,,
,Rows,,,,,
,,Panel ID No.,dynamic,pre-pour & concrete delivery,,
,Columns,,,,,
,,Weight (Tonnes),Weight,pre-pour checklist,details,Product Detail
,,Length (MM),length,check length,pre-pour checklist,
,,Width (MM),width,check width,pre-pour checklist,
,,Thickness (MM),thickness,pre-pour checklist,check thickness,
,,Lifter Type,Lifter Type,lifter type correct,pre-pour checklist,
,,Inspector Sign Off Attached Below?,,inspector sign off attached below,pre-pour checklist,
,,,,,,
Concrete Delivery - Certificate Of Compliance Matrix,,,,,,
,Scope,,,pre-pour & concrete delivery,,
,Rows,,,,,
,,Panel ID No.,dynamic,pre-pour & concrete delivery,,
,Columns,,,,,
,,Pour Date,Pour Date,details,concrete delivery checklist,
,,Time Batched,Time Batched,details,concrete delivery checklist,
,,Strength (MPA),Concrete Strength,mpa match the order sheet,concrete delivery checklist,
,,Inspector Sign Off Attached Below?,,inspector sign off attached below,concrete delivery checklist,
