resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,step,,,Block B01 - Louisvilles,,,,,,,,
,,,,,step,,,,Entry,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Tiling Checklist,,,,,checklist,,,,,FLORRING,,,,,,
,,,,,step,,,,Unit 200 - Lower,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Screeding Checklist (B01),FLC Checklist,Waterproofing Checklist,Tiling Checklist,,folder-with-checklists,,,,,BATHROOM ,,,,,,
Tiling Checklist,,,,,checklist,,,,,W.C.,,,,,,
Splashback,,,,,checklist,,,,,KITCHEN,,,,,,
,,,,,step,,,,Unit 201 - Upper,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Screeding Checklist (B01),Acoustic Checklist,FLC Checklist,Waterproofing Checklist,Tiling Checklist,folder-with-checklists,,,,,BATHROOM ,,,,,,
Acoustic Checklist,Waterproofing Checklist,Tiling Checklist,,,folder-with-checklists,,,,,W.C.,,,,,,
Acoustic Checklist,Waterproofing Checklist,Tiling Checklist,,,folder-with-checklists,,,,,LAUNDRY,,,,,,
Splashback,,,,,checklist,,,,,KITCHEN,,,,,,
,,,,,step,,,,Unit 202 - Upper,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Screeding Checklist (B01),Acoustic Checklist,FLC Checklist,Waterproofing Checklist,Tiling Checklist,folder-with-checklists,,,,,BATHROOM ,,,,,,
Acoustic Checklist,Waterproofing Checklist,Tiling Checklist,,,folder-with-checklists,,,,,W.C.,,,,,,
Acoustic Checklist,Waterproofing Checklist,Tiling Checklist,,,folder-with-checklists,,,,,LAUNDRY,,,,,,
Splashback,,,,,checklist,,,,,KITCHEN,,,,,,
,,,,,step,,,, Unit 203 - Lower,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Screeding Checklist (B01),FLC Checklist,Waterproofing Checklist,Tiling Checklist,,folder-with-checklists,,,,,BATHROOM ,,,,,,
Tiling Checklist,,,,,checklist,,,,,W.C.,,,,,,
Splashback,,,,,checklist,,,,,KITCHEN,,,,,,
,,,,,step,,,Block B221 - Louisvilles,,,,,,,,
,,,,,step,,,,Entry,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Tiling Checklist,,,,,checklist,,,,,FLORRING,,,,,,
,,,,,step,,,, Unit 204 - Lower,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Screeding Checklist (B01),FLC Checklist,Waterproofing Checklist,Tiling Checklist,,folder-with-checklists,,,,,BATHROOM ,,,,,,
Tiling Checklist,,,,,checklist,,,,,W.C.,,,,,,
Splashback,,,,,checklist,,,,,KITCHEN,,,,,,
,,,,,step,,,,Unit 205 - Upper,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Screeding Checklist (B01),Acoustic Checklist,FLC Checklist,Waterproofing Checklist,Tiling Checklist,folder-with-checklists,,,,,BATHROOM ,,,,,,
Acoustic Checklist,Waterproofing Checklist,Tiling Checklist,,,folder-with-checklists,,,,,W.C.,,,,,,
Acoustic Checklist,Waterproofing Checklist,Tiling Checklist,,,folder-with-checklists,,,,,LAUNDRY,,,,,,
Splashback,,,,,checklist,,,,,KITCHEN,,,,,,
,,,,,step,,,,Unit 206 - Upper,,,,,,,
Unit Substrate Inspection Checklist,,,,,checklist,,,,,SUBSTRATE INSPECTION,,,,,,
Screeding Checklist (B01),Acoustic Checklist,FLC Checklist,Waterproofing Checklist,Tiling Checklist,folder-with-checklists,,,,,BATHROOM ,,,,,,
Acoustic Checklist,Waterproofing Checklist,Tiling Checklist,,,folder-with-checklists,,,,,W.C.,,,,,,
