type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Cable Tray,,,,,,Cable Tray
checkpoint,Unistrutt Filed & Painted,,,,,,
checkpoint,Hangers Spaced as Specified,,,,,,
checkpoint,Correct Size Ladder / Tray Installed,,,,,,
checkpoint,Tray Joined Correctly,,,,,,
checkpoint,Hangers Seismically Restrained as per Design,,,,,,
checkpoint,Tray Fastened to Hangers,,,,,,
checkpoint,Correct Anchors used fixing to Ceiling / Walls,,,,,,
checkpoint,Cable Tray Bonded,,,,,,
checkpoint,Covers / Shrouds Fitted as Required,,,,,,
checkpoint,Covers / Shrouds / Drill holes Painted as Necessary,,,,,,
checkpoint,Photos,,,,,,
