"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Switchboards"
,"Scope",,
,"Rows"
,,"Switchboards","grouping","switchboards"
,,"MSB","expanded","msb","switchboards"
,,"DBLL","expanded","dbll","switchboards"
,,"DB-T01","expanded","db-t01","switchboards"
,,"DB-T02","expanded","db-t02","switchboards"
,,"DB-T03","expanded","switchboards","db-t03"
,,"DB-T04","expanded","db-t04","switchboards"
,,"DB-T05","expanded","db-t05","switchboards"
,,"DC-1","expanded","dc-1","switchboards"
,,"DC-2","expanded","dc-2","switchboards"
,,"DC-3","expanded","switchboards","dc-3"
,,"DC-4","expanded","dc-4","switchboards"
,"Columns"
,,"Fixings installed in wall correctly if board is wall mounted",,"fixings installed in wall correctly if board is wall mounted"
,,"All clearances sighted to ensure location is compliant",,"all clearances sighted to ensure location is compliant"
,,"All cables correctly installed in protection device and earth and neutral bars and fully secured",,"all cables correctly installed in protection device and earth and neutral bars and fully secured"
,,"Cables neatly dressed",,"cables neatly dressed"
,,"Phase tabs on chassy covered",,"phase tabs on chassy covered"
,,"All earths and neutrals labelled to match phase numbers",,"all earths and neutrals labelled to match phase numbers"
,,"Switchboard is clean on the inside and outside",,"switchboard is clean on the inside and outside"
,,"Masking blanks installed",,"masking blanks installed"
,,"Feisst label on the door installed",,"feisst label on the door installed"
,,"Switchboard Tested & Passed, results uploaded to drive via iPad",,"switchboard tested & passed, results uploaded to drive via ipad"
,,"DB legend installed",,"db legend installed"

"Cable Tray"
,"Scope",,
,"Rows"
,,"Cable Tray","grouping","cable tray"
,,"Ground Floor","expanded","ground floor","cable tray"
,,"Level 1","expanded","level 1","cable tray"
,,"Level 2","expanded","cable tray","level 2"
,,"Level 3","expanded","cable tray","level 3"
,,"Level 4","expanded","level 4","cable tray"
,,"Level 5","expanded","level 5","cable tray"
,,"Level 6","expanded","cable tray","level 6"
,,"Level 7","expanded","cable tray","level 7"
,,"Level 8","expanded","level 8","cable tray"
,,"Level 9","expanded","level 9","cable tray"
,,"Level 10","expanded","cable tray","level 10"
,"Columns"
,,"Unistrutt Filed & Painted",,"unistrutt filed & painted"
,,"Hangers Spaced as Specified",,"hangers spaced as specified"
,,"Correct Size Tray Installed",,"correct size tray installed"
,,"Tray Joined Correctly",,"tray joined correctly"
,,"Hangers Seismic Restrained as per Design",,"hangers seismic restrained as per design"
,,"Tray Fastened to Hangers",,"tray fastened to hangers"
,,"Correct Anchors used fixing to Ceiling",,"correct anchors used fixing to ceiling"
,,"Cable Tray Bonded",,"cable tray bonded"
,,"Photos uploaded",,"photos uploaded"

"First Fix"
,"Scope",,
,"Rows"
,,"Ground level","grouping","ground level"
,,"Unit GF A","expanded","ground level","unit gf a","first fix"
,,"Unit GF B","expanded","ground level","unit gf b","first fix"
,,"Unit GF C","expanded","unit gf c","ground level","first fix"
,,"Unit GF D","expanded","unit gf d","ground level","first fix"
,,"Unit GF E","expanded","ground level","unit gf e","first fix"
,,"Unit GF F","expanded","ground level","unit gf f","first fix"
,,"Unit GF G","expanded","unit gf g","ground level","first fix"
,,"Level 1","grouping","level 1"
,,"Unit 1A","grouping","level 1","unit 1a","first fix"
,,"Unit 1B","expanded","level 1","unit 1b","first fix"
,,"Unit 1C","expanded","level 1","unit 1c","first fix"
,,"Unit 1D","expanded","unit 1d","level 1","first fix"
,,"Unit 1E","expanded","level 1","unit 1e","first fix"
,,"Unit 1F","expanded","level 1","unit 1f","first fix"
,,"Unit 1G","expanded","level 1","unit 1g","first fix"
,,"Level 2","expanded","level 2"
,,"Unit 2A","grouping","unit 2a","level 2","first fix"
,,"Unit 2B","expanded","level 2","unit 2b","first fix"
,,"Unit 2C","expanded","level 2","unit 2c","first fix"
,,"Unit 2D","expanded","unit 2d","level 2","first fix"
,,"Unit 2E","expanded","unit 2e","level 2","first fix"
,,"Unit 2F","expanded","level 2","unit 2f","first fix"
,,"Unit 2G","expanded","level 2","unit 2g","first fix"
,,"Level 3","grouping","level 3"
,,"Unit 3A","expanded","unit 3a","level 3","first fix"
,,"Unit 3B","expanded","unit 3b","level 3","first fix"
,,"Unit 3C","expanded","level 3","unit 3c","first fix"
,,"Unit 3D","expanded","unit 3d","level 3","first fix"
,,"Unit 3E","expanded","unit 3e","level 3","first fix"
,,"Unit 3F","expanded","unit 3f","level 3","first fix"
,,"Unit 3G","expanded","level 3","unit 3g","first fix"
,,"Level 4","grouping","level 4"
,,"Unit 4A","expanded","level 4","unit 4a","first fix"
,,"Unit 4B","expanded","level 4","unit 4b","first fix"
,,"Unit 4C","grouping","level 4","unit 4c","first fix"
,,"Unit 4D","expanded","level 4","unit 4d","first fix"
,,"Unit 4E","expanded","level 4","unit 4e","first fix"
,,"Unit 4F","expanded","level 4","unit 4f","first fix"
,,"Unit 4G","expanded","level 4","unit 4g","first fix"
,,"Level 5","grouping","level 5"
,,"Unit 5A","expanded","level 5","unit 5a","first fix"
,,"Unit 5B","expanded","level 5","unit 5b","first fix"
,,"Unit 5C","expanded","level 5","unit 5c","first fix"
,,"Unit 5D","expanded","unit 5d","level 5","first fix"
,,"Unit 5E","expanded","level 5","unit 5e","first fix"
,,"Unit 5F","grouping","level 5","unit 5f","first fix"
,,"Unit 5G","expanded","level 5","unit 5g","first fix"
,,"Level 6","grouping","level 6"
