"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8098532f-cb6f-485c-a62e-5a45da594cef","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"04577b1a-4b9b-4c7d-8bb3-5994b7b49b4f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing"
"5bba1af1-bc95-4b69-838b-00775aa19c91","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18"
"fe9aebbf-c968-47b0-a6c3-b60a88b378f1","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18","Rough-in"
"7b52c525-6d7f-4d49-89b2-d0f724e735cd","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"ec748e2c-9355-488a-9529-52746097934d","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Rough-in","WG Install Water/Gas Rough-ins"
"5b2d8d79-8702-4654-9765-3844e1f805b0","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18","Fit-off"
"c858dd75-786b-44d0-95d4-a45375ace093","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"3287a999-6e3c-4cd6-9ce0-4b978c44a2c2","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Dishwasher"
"edfda87f-5db3-4bd6-b1f0-a84b26a1460c","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Gas Appliance"
"a4696c6a-6150-4ca6-8482-96293da7b4a1","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Laundry Trough & Tapware"
"baf6f320-d266-4c0c-9022-88b71ad3fe87","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Washing Machine Stops"
"39c83b8d-bb92-427d-b697-49893d957206","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Toilet & Cistern"
"92ed30c0-c859-4891-a151-01f5dd521a98","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Wash Basin & Tapware"
"da9db6ba-4bf6-47bb-8f39-918e06f3de92","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Shower & Tapware"
"b268476d-6a35-406e-b0bf-46bc704531c4","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Fit-off","FO Fit-off Hot Water Unit"
"6c53b68c-8e80-46b5-a529-0c00d1765826","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18","Testing"
"77717340-ab45-45ff-b364-d1c303bb99db","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Testing","TST Test Water Service Pipework"
"22e4404d-ef2a-4c14-9a99-ea6287d174c5","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Testing","TST Test Gas Services Pipework"
"b428299d-0b4c-47f9-b2ad-7f9b2d4f896c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18","Commissioning"
"7ac7644a-1d69-40d0-9279-ee8250ebea2a","","work-in-progress","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Commissioning","COM Commission Water Meter"
"088b415a-c188-4a0e-9f11-a3d3efa861a2","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Commissioning","COM Commission Hot Water Unit"
"9289a207-d340-43ab-bf36-8ffbf9221b70","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Commissioning","COM Commission Gas Appliance"
"3e3cb528-6e8c-47d7-b46b-f18528f19a67","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 18","Commissioning","COM Commissioning Final Handover"
"c01b9466-3756-4990-988a-f48509697d97","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 19"
"304d36fd-8b2f-4881-8ef2-c144b4f7363a","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 19","Rough-in"
"6be2a663-2fe6-46a1-9127-76c3b7b46da9","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"b44ac87a-1d2a-4d65-ae7e-5cffa8d0e3c6","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Rough-in","WG Install Water/Gas Rough-ins"
"844fa0d9-ceff-44a9-959a-502f1fbac156","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 19","Fit-off"
